model,seed,bytes,sha256,file
bandrp_gate,2020,11072137,6d46edf6fb7b86f17e436a436d54f288ffedfc18ea2a20bdb264582c5cdacaa6,bandrp_gate_seed2020.pt
bandrp_gate,2021,11072137,7b7d7536ac675c22fc15b5d40d5b3d1d86baf349f10dc57799c4755ad2f5a63f,bandrp_gate_seed2021.pt
bandrp_gate,2022,11072137,b99f90a8a316727db2a5bd241b1bea4dacbbf889b0cd3f2a4b64d69f1a164070,bandrp_gate_seed2022.pt
bandrp_gate,2023,11072137,2fe939e83a026dd6fa81ffd67e04c9d414ac24e6aa58a41005dc059a10c68bdd,bandrp_gate_seed2023.pt
bandrp_gate,2024,11072137,24e470ac8fc59b0aa62bfaa443dd3358d3bbb39a2bf5a5876c2b308cdcdabcac,bandrp_gate_seed2024.pt
bcgdrp,2020,11173505,01ec039f821e6769d8903065f2e19484194bf8dcf1b5227a3fdd3e2c4df3bb32,bcgdrp_seed2020.pt
bcgdrp,2021,11173505,1e19c0083fd723ad0eb4d610dba3164c413ff3ef6bc5767557af520abfb0fef5,bcgdrp_seed2021.pt
bcgdrp,2022,11173505,204da3c04f8aa43429e9854d4d2e1aca1d7922d68d7d2e9182b90155730171b9,bcgdrp_seed2022.pt
bcgdrp,2023,11173505,5e11152dd9b2a813881631a755eadcb3a453b476db52b6804766db83514ec512,bcgdrp_seed2023.pt
bcgdrp,2024,11173505,b7b7ccfd5b26ae83ef25245740d5ad855166692a293ee8e4c8e20a4fbe798be6,bcgdrp_seed2024.pt
