compound_id,compound_uid,compound_name,pubchem,inchikey,smiles
4856,PDBC00191,"1,9-Pyrazoloanthrone",8515,,
8291,PDBC00558,16-beta-bromoandrosterone,,,
8564,PDBC00401,"1S,3R-RSL-3",,,
17388,PDBC01989,3-Cl-AHPC,9866186,,
23375,PDBC00173,5-Fluorouracil,3385,,
27257,PDBC01900,968,,,
27347,PDBC00355,AA-COCF3,5280436,,
27365,PDBC00550,AC55649,1714884,,
27431,PDBC00418,AGK-2,2130404,,
27490,PDBC00226,AM-580,2126,,
27666,PDBC02016,AT7867,11175137,,
27683,PDBC01905,AZ-3146,56973724,,
27702,PDBC00456,AZD-7545,16741245,,
27715,PDBC00054,AZD6482,44137675,,
27717,PDBC00022,AZD7762,11152667,,
27719,PDBC00049,AZD8055,25262965,,
27732,PDBC00466,Abt-737,11228183,,
27929,PDBC00462,Adavosertib,24856436,,
27954,PDBC00031,Afatinib,10184653,,
27991,PDBC01880,Alisertib,24771867,,
28441,PDBC00244,Austocystin D,5470400,,
28453,PDBC00021,Axitinib,6450551,,
28457,PDBC00695,Azacitidine,9444,,
28514,PDBC01967,Azd4547,51039095,,
28587,PDBC00459,BEC,2225,,
28595,PDBC00127,BI-2536,11364421,,
28599,PDBC00346,BIBR-1532,9927531,,
28607,PDBC00407,BIX-01294,25150857,,
28612,PDBC01939,BMS-195614,445091,,
28613,PDBC01966,BMS-270394,445455,,
28615,PDBC02010,BMS-345541 free base,9926054,,
28632,PDBC01892,BRD-A02303741,,,
28633,PDBC01953,BRD-A02303741:carboplatin (1:1 mol/mol),,,
28637,PDBC01916,BRD-A71883111,,,
28640,PDBC01800,BRD-A94377914,,,
28643,PDBC01844,BRD-K02251932,,,
28644,PDBC01830,BRD-K02492147,,,
28646,PDBC01998,BRD-K03536150,,,
28647,PDBC01977,BRD-K03911514,,,
28648,PDBC01836,BRD-K04800985,,,
28650,PDBC01940,BRD-K07442505,,,
28652,PDBC02000,BRD-K09587429,,,
28654,PDBC01995,BRD-K13185470,,,
28655,PDBC01826,BRD-K13999467,,,
28656,PDBC01822,BRD-K14844214,,,
28657,PDBC01978,BRD-K16130065,,,
28658,PDBC01848,BRD-K16147474,,,
28659,PDBC01855,BRD-K17060750,,,
28660,PDBC01838,BRD-K19103580,,,
28661,PDBC01888,BRD-K20514654,,,
28662,PDBC01886,BRD-K24690302,,,
28664,PDBC01991,BRD-K27188169,,,
28665,PDBC01997,BRD-K27188169:navitoclax (2:1 mol/mol),,,
28666,PDBC01821,BRD-K27224038,,,
28667,PDBC01852,BRD-K27986637,,,
28668,PDBC01889,BRD-K28456706,,,
28669,PDBC01849,BRD-K29086754,,,
28670,PDBC01877,BRD-K29313308,,,
28671,PDBC01839,BRD-K30019337,,,
28673,PDBC01850,BRD-K33199242,,,
28675,PDBC01895,BRD-K34099515,,,
28676,PDBC01999,BRD-K34222889,,,
28677,PDBC01847,BRD-K34485477,,,
28678,PDBC01941,BRD-K35604418,,,
28679,PDBC01853,BRD-K37390332,,,
28680,PDBC01846,BRD-K41334119,,,
28681,PDBC01824,BRD-K41597374,,,
28683,PDBC01841,BRD-K44224150,,,
28685,PDBC01834,BRD-K48334597,,,
28687,PDBC01829,BRD-K49290616,,,
28688,PDBC01854,BRD-K50799972,,,
28691,PDBC01851,BRD-K52037352,,,
28693,PDBC01845,BRD-K55116708,,,
28695,PDBC01990,BRD-K58730230,,,
28697,PDBC01825,BRD-K63431240,,,
28698,PDBC01843,BRD-K64610608,,,
28699,PDBC01819,BRD-K66453893,,,
28700,PDBC01817,BRD-K66532283,,,
28702,PDBC01887,BRD-K70511574,,,
28703,PDBC01832,BRD-K71781559,,,
28706,PDBC01842,BRD-K75293299,,,
28707,PDBC01837,BRD-K78574327,,,
28708,PDBC01914,BRD-K79669418,,,
28709,PDBC01816,BRD-K80183349,,,
28710,PDBC01840,BRD-K84807411,,,
28711,PDBC01869,BRD-K85133207,,,
28712,PDBC01833,BRD-K86535717,,,
28713,PDBC01865,BRD-K88742110,,,
28715,PDBC01803,BRD-K92856060,,,
28719,PDBC01831,BRD-K96431673,,,
28721,PDBC01827,BRD-K96970199,,,
28722,PDBC01912,BRD-K97651142,,,
28724,PDBC01915,BRD-K99584050,,,
28726,PDBC00503,BRD1812,,,
28727,PDBC01823,BRD1835,,,
28728,PDBC00535,BRD4132,7326481,,
28730,PDBC00423,BRD6340,1641662,,
28731,PDBC00398,BRD8899,,,
28732,PDBC00491,BRD8958,,,
28733,PDBC00350,BRD9647,1242560,,
28734,PDBC00539,BRD9876,613000,,
28765,PDBC02013,Barasertib,11497983,,
28767,PDBC00245,Bardoxolone methyl,400010///400769,,
28784,PDBC00304,Bax Channel Blocker,2729026,,
28797,PDBC01813,Bendamustine,65628,,
29345,PDBC01450,Betulinic acid,64971,,
29348,PDBC00097,Bexarotene,82146,,
29385,PDBC01987,Birinapant,49836020,,
29586,PDBC00327,Blebbistatin,3476986,,
29588,PDBC00098,Bleomycin a2,54608728,,
29596,PDBC00095,Bms-754807,24785538,,
29633,PDBC00037,Bortezomib,387447,,
29636,PDBC00019,Bosutinib,5328940,,
29648,PDBC00185,Brefeldin A,5287620,,
29660,PDBC01860,Brivanib,11234052,,
29864,PDBC00480,CAY10594,25105715,,
29865,PDBC00257,CAY10618,44819697,,
29942,PDBC00305,CCT036477,3634881,,
29948,PDBC00405,CD-1530,13290751,,
29949,PDBC00412,CD-437,2758573,,
29976,PDBC00461,CHEMBL1222381,19582717,,
29978,PDBC00472,CHEMBL374350,2858523,,
29983,PDBC00235,CHM-1,375860,,
29985,PDBC00538,CI-976,122327,,
30143,PDBC01808,CID-5951923,5951923,,
30145,PDBC00347,CIL41,,,
30146,PDBC00442,CIL55,,,
30147,PDBC00494,CIL55A,,,
30148,PDBC00369,CIL56,654092,,
30149,PDBC00392,CIL70,5493381,,
30178,PDBC00400,CR-1-31B,23976,,
30198,PDBC02008,Cabozantinib,25102847,,
30282,PDBC01857,Canertinib,156414,,
30362,PDBC00263,Carboplatinum,38904,,
30465,PDBC00227,Ch-55,6184667,,
30738,PDBC00077,Chir-99021,9956119,,
30741,PDBC00768,Chlorambucil,2708,,
30833,PDBC00778,Ciclopirox,2749,,
30840,PDBC00779,Cimetidine,2756,,
30894,PDBC01961,Clofarabine,119182,,
30958,PDBC00413,Compound 1541A,,,
30959,PDBC00488,Compound 23 citrate,,,
30960,PDBC00481,Compound 7d-cis,,,
31064,PDBC00114,Crizotinib,54613769,,
31101,PDBC00180,Curcumin,969516,,
31229,PDBC00177,Cyclophosphamide,2907,,
31236,PDBC00215,Cyclosporin A,5280754///6435893,,
31253,PDBC00006,Cytarabine,5351180,,
31266,PDBC00195,Cytochalasin B,5311281,,
31315,PDBC01806,DBeQ,676352,,
31368,PDBC00814,DTIC-Dome,5353562,,
31388,PDBC00470,Daporinad,6914657,,
31392,PDBC00424,Darinaparsin,11683005,,
31394,PDBC00119,Dasatinib,3062316,,
31418,PDBC01342,Decitabine,451668,,
31428,PDBC01982,Degrasyn,11222830,,
31493,PDBC00169,Dexamethasone,5743,,
32393,PDBC00038,Doramapimod,,,
32404,PDBC00068,Doxorubicin,32874,,
32517,PDBC00440,ELCPK,,,
32564,PDBC00513,EX-527,5113032,,
32610,PDBC02007,Elocalcitol,11396600,,
32704,PDBC00307,Erastin,11214940,,
32728,PDBC00001,Erlotinib,176871,,
34022,PDBC00417,Etomoxir,123823,,
34023,PDBC00069,Etoposide,36462///6918092,,
34111,PDBC00361,FGIN-1-27,132496,,
