experiment_id,pharmacodb_cell_id,cell_uid,cell_name,depmap_id,in_gdsc_train,in_gdsc_val_or_test,in_gdsc_response,pharmacodb_compound_id,compound_uid,ctrp_compound_name,gdsc_pubchem_id,gdsc_drug_name,match_type,aac,resistance_rank,ic50,ec50,hs,einf,dss1,dss2,dss3
561,4,SNU478_1466_2019,SNU-478,ACH-000377,False,False,False,23375,PDBC00173,5-Fluorouracil,3385,5-Fluorouracil,pubchem,0.33910062,-0.33910062,,0.0578329,2.43742044,54.45765166,,,
1058,5,SNU869_1485_2019,SNU-869,ACH-000182,False,False,False,23375,PDBC00173,5-Fluorouracil,3385,5-Fluorouracil,pubchem,0.13162431,-0.13162431,,3.45561433,0.35711565,66.42671099,,,
4363,8,HuCCT1_635_2019,HuCC-T1,ACH-000976,False,True,True,23375,PDBC00173,5-Fluorouracil,3385,5-Fluorouracil,pubchem,0.14850995,-0.14850995,345.22282077,53.10663189,0.41578041,27.0405746,,,
6953,9,HuH28_638_2019,HuH-28,ACH-000808,False,False,False,23375,PDBC00173,5-Fluorouracil,3385,5-Fluorouracil,pubchem,0.0046312,-0.0046312,,128.63969449,4.0,73.125,,,
9004,10,SNU1079_1439_2019,SNU-1079,ACH-000209,False,False,False,23375,PDBC00173,5-Fluorouracil,3385,5-Fluorouracil,pubchem,0.2464137,-0.2464137,32.55436209,32.55436209,0.37100547,0.0,,,
10969,11,SNU1196_1442_2019,SNU-1196,ACH-000461,False,False,False,23375,PDBC00173,5-Fluorouracil,3385,5-Fluorouracil,pubchem,0.0883881,-0.0883881,,3.80357566,3.11914694,74.06044046,,,
14804,13,SNU308_1454_2019,SNU-308,ACH-000141,False,False,False,23375,PDBC00173,5-Fluorouracil,3385,5-Fluorouracil,pubchem,0.00963782,-0.00963782,,56.23298291,4.0,88.20159171,,,
17967,16,253J_14_2019,253J,ACH-000011,False,False,False,23375,PDBC00173,5-Fluorouracil,3385,5-Fluorouracil,pubchem,0.15164384,-0.15164384,29.74691168,29.74691168,1.33989962,0.0,,,
21888,18,5637_20_2019,5637,ACH-000905,True,False,True,23375,PDBC00173,5-Fluorouracil,3385,5-Fluorouracil,pubchem,0.42450189,-0.42450189,1.48129403,1.09575724,0.61773116,8.49576982,,,
24511,19,639V_24_2019,639V,ACH-000973,True,False,True,23375,PDBC00173,5-Fluorouracil,3385,5-Fluorouracil,pubchem,0.05671359,-0.05671359,,20.56847125,4.0,68.12263713,,,
27232,20,647V_25_2019,647V,ACH-000896,True,False,True,23375,PDBC00173,5-Fluorouracil,3385,5-Fluorouracil,pubchem,0.07816844,-0.07816844,1327.88872474,29.85315775,1.19829461,49.47036694,,,
29881,22,BC3C_80_2019,BC-3C,ACH-000593,False,False,False,23375,PDBC00173,5-Fluorouracil,3385,5-Fluorouracil,pubchem,0.17475502,-0.17475502,,3.01323011,0.63518199,53.30450705,,,
34278,24,BFTC909_89_2019,BFTC-909,ACH-000792,True,False,True,23375,PDBC00173,5-Fluorouracil,3385,5-Fluorouracil,pubchem,0.11010188,-0.11010188,,7.80251357,1.28981076,59.72532006,,,
37032,25,CAL29_169_2019,CAL-29,ACH-000142,True,False,True,23375,PDBC00173,5-Fluorouracil,3385,5-Fluorouracil,pubchem,0.06914598,-0.06914598,,14.52468924,4.0,67.30199624,,,
40195,27,HT1197_627_2019,HT-1197,ACH-000547,True,False,True,23375,PDBC00173,5-Fluorouracil,3385,5-Fluorouracil,pubchem,0.08164482,-0.08164482,,3.03640198,1.96610011,77.4779836,,,
43979,30,J82_675_2019,J82,ACH-000396,True,False,True,23375,PDBC00173,5-Fluorouracil,3385,5-Fluorouracil,pubchem,0.14494904,-0.14494904,,5.78560461,0.87015549,52.82094844,,,
46564,32,JMSU1_710_2019,JMSU-1,ACH-000753,False,False,False,23375,PDBC00173,5-Fluorouracil,3385,5-Fluorouracil,pubchem,0.08024489,-0.08024489,,16.36895282,4.0,59.86497433,,,
48649,33,KMBC2_754_2019,KMBC-2,ACH-000862,False,False,False,23375,PDBC00173,5-Fluorouracil,3385,5-Fluorouracil,pubchem,0.0,-0.0,,60.73211354,0.52281327,100.0,,,
50645,34,KU1919_794_2019,KU-19-19,ACH-000486,True,False,True,23375,PDBC00173,5-Fluorouracil,3385,5-Fluorouracil,pubchem,0.09063255,-0.09063255,,2.23702656,4.0,76.87706283,,,
56439,37,RT4_1334_2019,RT-4,ACH-000242,True,False,True,23375,PDBC00173,5-Fluorouracil,3385,5-Fluorouracil,pubchem,0.16966352,-0.16966352,59.74038768,6.1070235,0.90804751,43.696165,,,
59217,39,SCaBER_1351_2019,SCaBER,ACH-000839,False,False,False,23375,PDBC00173,5-Fluorouracil,3385,5-Fluorouracil,pubchem,0.13503943,-0.13503943,480.77638721,480.77638721,0.34043706,0.0,,,
61150,41,SW1710_1534_2019,SW1710,ACH-000566,False,True,True,23375,PDBC00173,5-Fluorouracil,3385,5-Fluorouracil,pubchem,0.02683313,-0.02683313,,49.66797414,1.69124129,73.96573078,,,
66042,43,T24_1554_2019,T24,ACH-000018,True,False,True,23375,PDBC00173,5-Fluorouracil,3385,5-Fluorouracil,pubchem,0.16483112,-0.16483112,,1.84655343,0.50752384,61.02051235,,,
68401,44,TCCSUP_1570_2019,TCCSUP,ACH-000720,True,False,True,23375,PDBC00173,5-Fluorouracil,3385,5-Fluorouracil,pubchem,0.12308759,-0.12308759,471.32483096,36.74147466,0.5303901,37.08153453,,,
71061,45,UBLC1_1625_2019,U-BLC1,ACH-000741,False,False,False,23375,PDBC00173,5-Fluorouracil,3385,5-Fluorouracil,pubchem,0.04744454,-0.04744454,,10.61036668,4.0,80.37567243,,,
73131,46,UMUC1_1642_2019,UM-UC-1,ACH-000834,False,False,False,23375,PDBC00173,5-Fluorouracil,3385,5-Fluorouracil,pubchem,0.14284531,-0.14284531,,1.66090746,1.33507872,66.06041818,,,
74984,47,UMUC3_1643_2019,UM-UC-3,ACH-000522,True,False,True,23375,PDBC00173,5-Fluorouracil,3385,5-Fluorouracil,pubchem,0.05681238,-0.05681238,315.97706865,58.6406676,1.24645289,43.87305845,,,
76087,48,VMCUB1_1654_2019,VM-CUB-1,ACH-000545,False,False,False,23375,PDBC00173,5-Fluorouracil,3385,5-Fluorouracil,pubchem,0.20153998,-0.20153998,26.46416521,9.04639303,0.71510619,26.7940242,,,
