pubchem_id,GDSC_id,drug_name,TARGET,TARGET_PATHWAY
176870,1,Erlotinib,EGFR,EGFR signaling
5284616,3,Rapamycin,MTORC1,PI3K/MTOR signaling
5329102,5,Sunitinib,"PDGFR, KIT, VEGFR, FLT3, RET, CSF1R",RTK signaling
10461815,6,PHA-665752,MET,RTK signaling
462382,9,MG-132,"Proteasome, CAPN1",Protein stability and degradation
36314,11,Paclitaxel,Microtubule stabiliser,Mitosis
442972,17,Cyclopamine,SMO,Other
11676786,29,AZ628,BRAF,ERK MAPK signaling
216239,30,Sorafenib,"PDGFR, KIT, VEGFR, RAF",RTK signaling
5494449,32,Tozasertib,"AURKA, AURKB, AURKC, others",Mitosis
5291,34,Imatinib,"ABL, KIT, PDGFR","Other, kinases"
16038120,35,NVP-TAE684,ALK,RTK signaling
11626560,37,Crizotinib,"MET, ALK, ROS1",RTK signaling
10302451,38,Saracatinib,"ABL, SRC","Other, kinases"
76044,41,S-Trityl-L-cysteine,KIF11,Mitosis
16760646,45,Z-LLNle-CHO,gamma-secretase,Other
3062316,51,Dasatinib,"ABL, SRC, Ephrins, PDGFR, KIT",RTK signaling
5311510,52,GNF-2,BCR-ABL,ABL signaling
644215,53,CGP-60474,"CDK1,CDK2,CDK5,CDK7,CDK9, PKC",Cell cycle
24825971,54,CGP-082996,CDK4,Cell cycle
9549184,55,A-770041,"LCK, FYN","Other, kinases"
11844351,56,WH-4-023,"SRC, LCK","Other, kinases"
49821040,59,WZ-1-84,BMX,"Other, kinases"
11364421,60,BI-2536,"PLK1, PLK2, PLK3",Cell cycle
135440466,62,BMS-536924,"IGF1R, IR",IGF1R signaling
20635522,63,BMS-509744,ITK,"Other, kinases"
16663089,64,CMK,RSK2,"Other, kinases"
4993,71,Pyrimethamine,Dihydrofolate reductase (DHFR),Other
49836027,83,JW-7-52-1,MTOR,PI3K/MTOR signaling
10172943,86,A-443654,"AKT1, AKT2, AKT3",PI3K/MTOR signaling
9826308,87,GW843682X,PLK1,Cell cycle
4261,88,Entinostat,"HDAC1, HDAC3",Chromatin histone acetylation
7251185,89,Parthenolide,HDAC1,Chromatin histone acetylation
11626927,91,GSK319347A,IKK,"Other, kinases"
9907093,94,TGX221,PI3Kbeta,PI3K/MTOR signaling
387447,104,Bortezomib,Proteasome,Protein stability and degradation
46844147,106,XMD8-85,"ERK5, BET",Other
160355,110,Seliciclib,"CDK2, CDK7, CDK9",Cell cycle
5717801,111,Salubrinal,EIF2A,Other
208908,119,Lapatinib,"EGFR, ERBB2",RTK signaling
16095342,127,GSK269962A,"ROCK1, ROCK2",Cytoskeleton
31703,133,Doxorubicin,Anthracycline,DNA replication
36462,134,Etoposide,TOP2,DNA replication
60750,135,Gemcitabine,Pyrimidine antimetabolite,DNA replication
5746,136,Mitomycin-C,DNA crosslinker,DNA replication
5311497,140,Vinorelbine,Microtubule destabiliser,Mitosis
92577,147,NSC-87877,"SHP-1 (PTPN6), SHP-2 (PTPN11)",Other
2375,150,Bicalutamide,AR,Hormone-related
4263900,151,QS11,ARFGAP1,Other
44551660,152,CP466722,ATM,Genome integrity
9829523,153,Midostaurin,"PKC, PPK, FLT1, c-FGR, others",Other
9956119,154,CHIR-99021,"GSK3A, GSK3B",WNT signaling
24826799,155,Ponatinib,"ABL, PDGFRA, VEGFR2, FGFR1, SRC, TIE2, FLT3","Other, kinases"
44137675,156,AZD6482,PI3Kbeta,PI3K/MTOR signaling
25222038,157,JNK-9L,"JNK2, JNK3",JNK and p38 signaling
11713159,158,PF-562271,"FAK, FAK2",Cytoskeleton
53302361,159,HG6-64-1,BRAF,ERK MAPK signaling
46907787,163,JQ1,"BRD2, BRD3, BRD4, BRDT",Chromatin other
6918878,164,JQ12,"HDAC1, HDAC2",Chromatin histone acetylation
560326,165,DMOG,HIF-PH,Metabolism
3005532,166,FTI-277,Farnesyl-transferase (FNTA),Other
10027278,167,OSU-03012,PDK1 (PDPK1),Metabolism
5208,170,Shikonin,not defined,Other
135398501,171,AKT inhibitor VIII,"AKT1, AKT2, AKT3",PI3K/MTOR signaling
3218,172,Embelin,XIAP,Apoptosis regulation
3463933,173,FH535,"PPARgamma, PPARdelta",Other
135421197,175,PAC-1,"Procaspase-3, Procaspase-7",Apoptosis regulation
521106,176,IPA-3,PAK1,Cytoskeleton
25022668,177,GSK650394,"SGK2, SGK3","Other, kinases"
10200390,178,BAY-61-3606,SYK,"Other, kinases"
3385,179,5-Fluorouracil,Antimetabolite (DNA & RNA),Other
446378,180,Thapsigargin,SERCA,Other
11404337,182,Obatoclax Mesylate,"BCL2, BCL-XL, BCL-W, MCL1",Apoptosis regulation
24785538,184,BMS-754807,"IGF1R, IR",RTK signaling
11640390,185,Linsitinib,IGF1R,IGF1R signaling
82146,186,Bexarotene,Retinioic X receptor (RXR) agonist,Other
5360373,190,Bleomycin,dsDNA break induction,DNA replication
54676905,192,LFM-A13,BTK,"Other, kinases"
11617559,193,GW-2580,CSF1R,RTK signaling
135539077,194,Luminespib,HSP90,Protein stability and degradation
8249,196,Phenformin,Biguanide agent,Other
5280757,197,Bryostatin 1,PKC,Other
10113978,199,Pazopanib,"CSF1R, KIT,  PDGFRA, PDGFRB",RTK signaling
6445533,200,Dacinostat,HDAC1,Chromatin histone acetylation
448013,201,Epothilone B,Microtubule stabiliser,Mitosis
25124816,202,GSK1904529A,"IGF1R, IR",RTK signaling
9813758,203,BMS-345541,"IKK1, IKK2","Other, kinases"
159324,204,Tipifarnib,Farnesyl-transferase (FNTA),Other
46883536,205,Avagacestat,"Amyloid beta20, Amyloid beta40",Other
