,pc1,pc2,split,modality
ACH-000680,-6.49843878115874,-2.4660860187584963,train,expression
ACH-000849,-0.8699240699266606,3.9333860350492698,train,expression
ACH-000816,13.905858594944684,2.9110810878940514,train,expression
ACH-000315,20.672913007703904,-13.772741973318178,train,expression
ACH-000380,7.3212651209328445,-14.125274815254503,train,expression
ACH-000970,-0.6081656486910949,2.8874010964207466,train,expression
ACH-000716,-0.12886383988978767,4.507839353188719,train,expression
ACH-001190,-3.288629671922319,1.1603491015430532,train,expression
ACH-000470,-9.072385886045577,-5.128653657025522,train,expression
ACH-000792,-7.503675719788929,0.7319289035270176,train,expression
ACH-000147,-3.8340974896912767,-0.18393269078324695,train,expression
ACH-000740,-7.775852022403283,1.6151127511404713,train,expression
ACH-000636,18.311173007580862,-9.938813955437318,train,expression
ACH-000371,9.166319913373277,-20.43568768813085,train,expression
ACH-000999,-1.1803492172676087,2.313679241179645,train,expression
ACH-000323,-2.2291677022441,8.030665216471991,train,expression
ACH-000859,3.274105306553505,8.85507842931232,train,expression
ACH-000441,-2.687713627840758,4.8299075402495335,train,expression
ACH-000254,-19.809918575202346,-2.2817759031329543,train,expression
ACH-000730,-5.966865283420404,1.334693771115316,train,expression
ACH-000733,-6.386713908511788,1.5913155655407463,train,expression
ACH-000981,16.3865489902202,-12.031926110719922,train,expression
ACH-000330,-0.39616774299209384,0.18449327222477424,train,expression
ACH-000818,0.9853040686074495,4.502333026910104,train,expression
ACH-000694,-4.648442531440987,2.8554472439104406,train,expression
ACH-000573,-1.3097497736714456,4.751379207611012,train,expression
ACH-000906,-11.601970256081781,-2.4811364247162397,train,expression
ACH-000953,24.001317145630736,-7.404621325550145,train,expression
ACH-000793,-3.225916126242019,2.2552308575718465,train,expression
ACH-000815,4.717918396915369,-9.506745171509962,train,expression
ACH-000055,9.470827934505701,1.274819261273808,train,expression
ACH-000708,-8.232924217974736,-3.0297800385363693,train,expression
ACH-000120,8.88863051516015,10.897956181869153,train,expression
ACH-000766,-6.284461833146809,0.344783448507199,train,expression
ACH-000527,-12.772233954198855,-0.8826105267800611,train,expression
ACH-000704,-10.242719479505542,1.2839790924370418,train,expression
ACH-000881,-5.798211007431445,2.769761505760079,train,expression
ACH-000714,13.192777106644316,-5.211080746889063,train,expression
ACH-000065,4.923011753494133,-16.558497779986972,train,expression
ACH-000548,-6.957484177868488,0.7234446769154582,train,expression
ACH-000099,7.827254541969141,0.8858973275595712,train,expression
ACH-000656,10.145344942163907,-21.30023887923069,train,expression
ACH-000610,19.52607006868418,9.42367524102497,train,expression
ACH-000585,-10.11645905473495,0.6357171858523964,train,expression
ACH-000605,0.9642850647659295,2.2456805690968347,train,expression
ACH-000258,5.34303372936303,-0.07124670982376287,train,expression
ACH-000536,2.813632601142205,6.815311346930416,train,expression
ACH-000697,-0.8588134014841782,-12.751495037797403,train,expression
ACH-000075,-4.393871880422337,5.6664681468204225,train,expression
ACH-000235,-13.8538424474115,-2.2846507089460677,train,expression
ACH-000948,-2.7803285842824486,2.0863320140220463,train,expression
ACH-000725,-2.372418547143776,3.3084761003238823,train,expression
ACH-000929,-5.80368106757516,2.2275907097611634,train,expression
ACH-000121,-2.723796715197372,6.167778523188669,train,expression
ACH-000447,-0.04867777302475961,9.10489697004807,train,expression
ACH-000062,-5.793007908630683,5.9394441433165985,train,expression
ACH-000052,10.198696154445335,5.940856146243928,train,expression
ACH-000417,-4.884091132472917,2.7181291379833405,train,expression
ACH-000142,-7.63102481313426,4.971332113447476,train,expression
ACH-000438,-4.089256335797814,0.7293331274909935,train,expression
ACH-000790,7.520735863520408,2.0950040988300356,train,expression
ACH-000843,1.511056617194343,4.639803499461098,train,expression
ACH-000361,-9.251574638148153,0.19136247844322235,train,expression
ACH-000196,0.06519645213758363,-0.4521780630585599,train,expression
ACH-000364,7.070048139088266,8.642667502619354,train,expression
ACH-000783,2.558901872842965,3.324182955493318,train,expression
ACH-000061,9.491872700345898,-12.267415954161072,train,expression
ACH-000518,-8.348430146505487,2.0389251258986447,train,expression
ACH-000684,-26.912244841270454,-8.045017430425704,train,expression
ACH-000966,-1.1241448003639483,3.7656297612061276,train,expression
ACH-000009,2.053812378451806,6.65734114078898,train,expression
ACH-000242,-1.8487706110462745,1.7141596999915893,train,expression
ACH-000105,20.778948103210894,-12.731217201329613,train,expression
ACH-000920,18.699630330585876,-10.799805414083036,train,expression
ACH-000599,-9.175111263190532,-3.028103865024844,train,expression
ACH-000050,-4.900338403339734,-19.40858927495216,train,expression
ACH-000963,-0.6719821091616849,-1.6483628090664182,train,expression
ACH-000876,-9.31225734548775,-0.1753440784906448,train,expression
ACH-000007,-10.669066495777107,-5.462194818274617,train,expression
ACH-000911,-12.79528703834219,-3.4239147271591537,train,expression
ACH-000596,-5.134519926508207,-0.7076421307365682,train,expression
ACH-000132,-10.654726140949053,0.26038300457450053,train,expression
ACH-000227,15.273855813698992,3.709081234853667,train,expression
ACH-000681,-8.617674931065933,3.0595616223626014,train,expression
ACH-000882,-5.011818718010452,0.8366135075067126,train,expression
ACH-000073,11.735077773201438,-15.95991146889905,train,expression
ACH-000432,10.898374189152317,-19.594188899242553,train,expression
ACH-000386,18.78616261539986,-11.049724385999792,train,expression
ACH-000067,0.026305337783172584,10.495261332071566,train,expression
ACH-000018,2.457275997487733,7.459622700111076,train,expression
ACH-000365,3.2350841599287805,-25.994203059779444,train,expression
ACH-000945,0.05057985502154701,3.3152655591770297,train,expression
ACH-000225,12.76303037433009,3.740260503237423,train,expression
ACH-000091,-8.995191975016471,-0.19581556126824,train,expression
ACH-000334,17.803085433825157,-14.303500871800374,train,expression
ACH-000969,-8.927581802046031,-7.433070163634624,train,expression
ACH-000244,-0.4792890845250646,11.297385274004373,train,expression
ACH-000236,-3.1582305015820267,2.5714420005507215,train,expression
ACH-000665,-7.795328882786887,4.197396877871246,train,expression
ACH-000401,-5.216310155053659,3.9691940105319845,train,expression
ACH-000359,-3.8200292998766114,4.1569412556282295,train,expression
ACH-000434,-9.416826492081732,-3.592419736545896,train,expression
ACH-000775,2.2332340933395125,4.524044101304597,train,expression
ACH-000303,-6.575555057296841,1.282394586037569,train,expression
ACH-000383,-8.310776792655144,-0.018235080012007705,train,expression
ACH-000786,13.149289632410074,-21.99280240097101,train,expression
ACH-000805,-3.5469515934650544,2.4744061461125564,train,expression
ACH-000452,4.311591384750138,9.491782261203491,train,expression
ACH-000968,-12.84718301439052,-1.7304979223946606,train,expression
ACH-000504,1.331460055183429,12.592940698342757,train,expression
ACH-000932,2.365400198855273,0.8590529074996708,train,expression
ACH-000295,7.617419660697312,-13.646040943682483,train,expression
ACH-000780,22.183077419889983,8.403399015353912,train,expression
ACH-000144,7.006472279016304,8.45831470542965,train,expression
ACH-000486,-8.032841150807295,-0.12281484763400875,train,expression
ACH-000351,-1.3844094783783671,5.941442143699767,train,expression
ACH-000375,1.121226863129232,3.9269219258378616,train,expression
ACH-000579,-3.363143955748031,1.5639194037126156,train,expression
ACH-000826,-5.744661394827922,1.6441409823426545,train,expression
ACH-000489,-18.381896435302465,-7.91889552837504,train,expression
ACH-000381,-6.567949248195025,-0.3001519859099216,train,expression
ACH-000169,11.444608207934493,12.101001495727523,train,expression
ACH-000226,2.208083696651196,-7.831944578943604,train,expression
ACH-000551,5.598419074443101,-8.297943970995723,train,expression
ACH-000304,2.2661938767200915,9.23802940363666,train,expression
ACH-000189,-11.501082456527357,1.5824379646933322,train,expression
ACH-000322,-3.390154640591322,5.464592372241256,train,expression
ACH-000506,14.232184260987736,4.128187840891931,train,expression
ACH-000825,-16.64625623192125,-1.3182529703932442,train,expression
ACH-000546,-8.035430777337309,1.5221229473306686,train,expression
ACH-000759,-8.696074709725835,1.3879132263827312,train,expression
ACH-000174,-1.7297799545127472,0.48932164821298374,train,expression
ACH-000218,3.8459580440350667,-18.075839243726602,train,expression
ACH-000348,-1.9783366139949965,6.990329739003278,train,expression
ACH-000346,2.980910907962965,-16.729808800670646,train,expression
ACH-000394,16.187111588240647,5.934485717233909,train,expression
ACH-000867,-5.675473630582891,0.6988973548916861,train,expression
ACH-000155,-12.8438084001946,-3.018900090203689,train,expression
ACH-000663,-22.179570891770958,-7.2215372206842545,train,expression
ACH-000532,-22.40353501979943,-8.92256413290236,train,expression
ACH-000973,4.4316092120526465,5.149193923930133,train,expression
ACH-000245,13.887604225792405,-18.965007210147586,train,expression
ACH-000611,15.146262907925095,-19.275436288510278,train,expression
ACH-000647,-0.3402192521791667,7.043619017556967,train,expression
ACH-000555,-15.079308391784794,0.3187208884126546,train,expression
ACH-000755,-16.41786556413485,-5.962823883948031,train,expression
ACH-001307,-0.683219458261769,7.019226715019005,train,expression
ACH-000778,-6.496171994448947,2.0043418337325236,train,expression
ACH-000558,-1.0914735788867227,8.832694575071422,train,expression
ACH-000852,-2.916591321909379,2.4257552259926856,train,expression
ACH-000639,14.601308519809749,5.596675947140678,train,expression
ACH-000811,2.855841293628428,9.877587216488639,train,expression
ACH-000595,1.9227899504830703,9.844279038472564,train,expression
ACH-000090,-19.62540171023521,-4.765614125959118,train,expression
ACH-000292,1.8133841234629298,4.18385095182351,train,expression
ACH-000496,-2.120357548852762,5.50138142622713,train,expression
ACH-000985,-2.09011797227082,-2.2292538637569637,train,expression
ACH-000129,12.841484048999295,8.965032755811313,train,expression
ACH-000228,-11.079001770727205,2.665623892591415,train,expression
ACH-000568,-12.465014646724503,-5.756567162323047,train,expression
ACH-000574,-0.8551180969519245,3.949483847257521,train,expression
ACH-000521,-4.737745214607096,4.245760945567539,train,expression
ACH-000770,12.710385861399145,-11.728357281035066,train,expression
ACH-000318,-11.326967273552244,-2.726647477341274,train,expression
ACH-000528,-1.493700283357496,4.388512285579995,train,expression
ACH-000806,3.1206445104223937,-11.399551739674623,train,expression
ACH-000092,-1.935544816097511,6.725886993885489,train,expression
ACH-000672,-3.3718982176179266,2.8564070217727733,train,expression
ACH-000392,-18.50076518057133,-5.211690495865416,train,expression
ACH-000560,12.123289009680308,4.593336131268623,train,expression
ACH-000305,-10.70978864637261,0.8008011428450345,train,expression
ACH-000896,-8.001251263795686,0.9176674163256184,train,expression
ACH-000308,2.1739291056265144,6.037806918091063,train,expression
ACH-000660,17.919402869943628,-14.478883651307909,train,expression
ACH-000617,-13.894554074983713,-1.9031821201320278,train,expression
ACH-000250,-3.5221185087517326,4.128970390996937,train,expression
ACH-000864,11.098955131193103,2.286546872011838,train,expression
ACH-000200,-3.6280979488234477,8.214269569838933,train,expression
ACH-000301,3.476099513459801,-13.721746725287817,train,expression
ACH-000472,-21.97675888930574,-7.64832673331653,train,expression
ACH-000589,-10.355237994514805,-3.3492491036657848,train,expression
