,pc1,pc2,split,modality
ACH-000680,-1.6021742309093299,-1.7160910009207815,train,methylation
ACH-000849,-2.0282426424529034,-0.8457704956017944,train,methylation
ACH-000816,-9.422125991751885,0.8122843819219192,train,methylation
ACH-000315,14.109593305573654,-10.07497594662505,train,methylation
ACH-000380,6.557517779474773,-11.609906106422603,train,methylation
ACH-000970,5.571890847446248,-9.608182411559467,train,methylation
ACH-000716,-2.0634843227682724,-2.2747401647847005,train,methylation
ACH-001190,-7.426874781810677,-0.37261738477633594,train,methylation
ACH-000470,1.9026755445947245,-2.911540480460504,train,methylation
ACH-000792,0.17783829950900562,2.1504510312778624,train,methylation
ACH-000147,-3.8588938783373763,1.0945824991354198,train,methylation
ACH-000740,7.137042271578927,5.8630972323953445,train,methylation
ACH-000636,29.927632441370278,9.82568448493896,train,methylation
ACH-000371,36.24493074576208,14.099260074790562,train,methylation
ACH-000999,-7.033939980584846,-0.3631902807295188,train,methylation
ACH-000323,-1.8836851190127202,-2.1682303149679614,train,methylation
ACH-000859,4.260697664878013,7.234210013400122,train,methylation
ACH-000441,-2.2410363026666644,-2.376866144088785,train,methylation
ACH-000254,-2.2587857731888215,-0.03922916104562983,train,methylation
ACH-000730,-7.118936351831048,0.5182794559231705,train,methylation
ACH-000733,0.2601246146986668,-2.3110516247001747,train,methylation
ACH-000981,21.138739054181347,-10.269269277415205,train,methylation
ACH-000330,-3.6919031454642663,-4.102094332899572,train,methylation
ACH-000818,-4.982598304295848,-2.4114459268299573,train,methylation
ACH-000694,-1.817620704146414,-1.2615593826122615,train,methylation
ACH-000573,-4.85231649764797,0.5908431883950539,train,methylation
ACH-000906,-3.63518364153577,-3.2884396692873223,train,methylation
ACH-000953,19.252085963150908,-11.5560044964119,train,methylation
ACH-000793,-0.2382734092962308,-8.088266696442602,train,methylation
ACH-000815,17.71890543845052,-10.45111792305224,train,methylation
ACH-000055,-5.499033068676646,-0.8349547922281214,train,methylation
ACH-000708,-3.0110109477974114,-0.7619946814689419,train,methylation
ACH-000120,-6.468396030688995,2.626544413676138,train,methylation
ACH-000766,-6.337995837289452,-1.1480295335403183,train,methylation
ACH-000527,-3.6426278822225333,-1.7270833820436005,train,methylation
ACH-000704,-3.20151424345728,-2.255685603068785,train,methylation
ACH-000881,-4.852345964681981,-2.289921878769303,train,methylation
ACH-000714,3.490754082959647,-6.056706631175908,train,methylation
ACH-000065,1.4301360763699906,-3.4992740625109726,train,methylation
ACH-000548,-1.1004759323304054,-0.05122396303738737,train,methylation
ACH-000099,-7.435753756015309,0.7264157811421024,train,methylation
ACH-000656,37.11542957261812,-3.1913458171657747,train,methylation
ACH-000610,-8.327174618876846,2.737732651634845,train,methylation
ACH-000585,-5.279047691766015,0.6985026066253014,train,methylation
ACH-000605,-0.05379067075801598,-2.7543869324081323,train,methylation
ACH-000258,0.2836197954638418,-7.508854049265456,train,methylation
ACH-000536,2.7091488794371514,-6.470248294444891,train,methylation
ACH-000697,-3.398756711696089,-3.1903092117607277,train,methylation
ACH-000075,-3.376082005563662,-0.5560703974959874,train,methylation
ACH-000235,-0.8193083349615653,-3.3139986707369964,train,methylation
ACH-000948,3.3125298348475014,3.8350121006272158,train,methylation
ACH-000725,-6.421010075173648,-1.6733896776708679,train,methylation
ACH-000929,-3.136537396516331,1.8165147308998328,train,methylation
ACH-000121,-7.503952471619434,-1.3524355037389835,train,methylation
ACH-000447,2.7709463237332184,9.05711881674664,train,methylation
ACH-000062,-8.670703894426243,1.3610380550010808,train,methylation
ACH-000052,-6.7730739207783435,0.7244206145563117,train,methylation
ACH-000417,0.4640982538122708,-6.202660425004539,train,methylation
ACH-000142,-8.365781235837947,-0.9853493566592196,train,methylation
ACH-000438,-0.7188212121340658,-5.7891268325533405,train,methylation
ACH-000790,-1.677701309100547,-1.4431878706885912,train,methylation
ACH-000843,-0.09001025584507072,6.262364499791474,train,methylation
ACH-000361,-5.343581957317635,-2.402159762060535,train,methylation
ACH-000196,-6.218799283131082,-0.11976929213875358,train,methylation
ACH-000364,-1.4541438269857792,-2.4200655984150496,train,methylation
ACH-000783,-3.067624979134553,-4.705583202970512,train,methylation
ACH-000061,12.98448612191391,-11.794110280895183,train,methylation
ACH-000518,-2.1613298435160737,-2.2045977661810494,train,methylation
ACH-000684,-5.8417511776259605,-1.0247287001386454,train,methylation
ACH-000966,-6.370829725740644,-1.7914880814750882,train,methylation
ACH-000009,-0.11239323920071334,-0.0008156327996059446,train,methylation
ACH-000242,-3.4090783844383585,0.28176048906025736,train,methylation
ACH-000105,28.919823088894677,-18.406265412717236,train,methylation
ACH-000920,27.285719734478242,9.03759296100378,train,methylation
ACH-000599,2.7711142371987445,-6.308478853280732,train,methylation
ACH-000050,-2.6187750163406407,-3.627949122634714,train,methylation
ACH-000963,-4.396957620654487,-4.133370147081804,train,methylation
ACH-000876,-6.540814277946291,4.202443914005468,train,methylation
ACH-000007,4.54595846973135,-2.3523316537588754,train,methylation
ACH-000911,-3.25091202515328,-4.163926209618859,train,methylation
ACH-000596,-0.39540243912416917,-2.8907017533024146,train,methylation
ACH-000132,-8.750527687148413,-0.8587217820110661,train,methylation
ACH-000227,-5.832289124642183,3.7193165763227873,train,methylation
ACH-000681,1.855074832007604,10.922922870479233,train,methylation
ACH-000882,-3.9321720046849413,0.09408722897878852,train,methylation
ACH-000073,4.219205982848972,6.138563754780921,train,methylation
ACH-000432,25.823500192804534,-14.144944127573199,train,methylation
ACH-000386,-4.194593507108304,-0.8556104856535652,train,methylation
ACH-000067,-10.581783474433541,0.4252566550130315,train,methylation
ACH-000018,-0.5595421437416083,3.4602091800079617,train,methylation
