,pc1,pc2,split,modality
ACH-000680,-1.0168217335437608,0.9631744319761946,train,mutation
ACH-000849,-1.9731736548942405,0.2509520949453013,train,mutation
ACH-000816,-0.6319166525368679,2.099017407483737,train,mutation
ACH-000315,-1.9109631535507,0.8895864030248788,train,mutation
ACH-000380,-3.5062684010658063,-1.0547549939919052,train,mutation
ACH-000970,24.10882050757863,-7.141591192563905,train,mutation
ACH-000716,-4.33825835262235,-0.5010323073044683,train,mutation
ACH-001190,3.1278608129032297,-3.858239167097968,train,mutation
ACH-000470,-2.316449279182723,1.3280793525649874,train,mutation
ACH-000792,-2.8667277398492064,-0.08507243909024187,train,mutation
ACH-000147,-5.337939245270475,0.22202288599148048,train,mutation
ACH-000740,-1.3844815151130017,-0.6359134883947795,train,mutation
ACH-000636,-0.28613937464011757,0.16192596230793402,train,mutation
ACH-000371,-2.660046620447947,1.0154593358452344,train,mutation
ACH-000999,87.54684148079579,1.5120513559331916,train,mutation
ACH-000323,-3.7426765035093643,-0.1731921937115823,train,mutation
ACH-000859,-2.5506616534733104,-1.055155833587873,train,mutation
ACH-000441,-3.3064894098377917,0.4012738946574044,train,mutation
ACH-000254,-4.189301929886919,0.1528722130077292,train,mutation
ACH-000730,-2.5184293164465457,-0.8227435443344812,train,mutation
ACH-000733,-0.37183458492660804,-1.146330263534249,train,mutation
ACH-000981,22.385569743426885,-2.206216769675085,train,mutation
ACH-000330,-3.0418365872145854,0.25465718707980334,train,mutation
ACH-000818,-0.5005007616475913,2.5891455932742216,train,mutation
ACH-000694,-0.42418631335402424,0.2885268165349568,train,mutation
ACH-000573,-2.32308728208378,1.8308593465221634,train,mutation
ACH-000906,-0.6554006201253623,0.9994204535963956,train,mutation
ACH-000953,16.70054770788925,-4.29836743581763,train,mutation
ACH-000793,-1.7291819949524212,0.13962798985416391,train,mutation
ACH-000815,2.0648314994882155,-0.5949819563452429,train,mutation
ACH-000055,-4.679254583540686,1.0645597055609777,train,mutation
ACH-000708,-3.6655826762537242,0.13564649221115152,train,mutation
ACH-000120,-5.539015333866495,0.7292320374091706,train,mutation
ACH-000766,-0.8735589433475693,-0.8083551251815336,train,mutation
ACH-000527,-1.391805348620134,-0.009022108100920514,train,mutation
ACH-000704,-4.4549972731701635,-0.13408892384353613,train,mutation
ACH-000881,2.821825923385597,0.04749512379915353,train,mutation
ACH-000714,-0.5584090677175505,-1.3896555690092895,train,mutation
ACH-000065,-4.198538735815823,0.6776671947251477,train,mutation
ACH-000548,-3.056047283688209,0.21470387496872065,train,mutation
ACH-000099,-4.738072279418219,0.4068314633410469,train,mutation
ACH-000656,-2.373802499460775,0.4246862719693955,train,mutation
ACH-000610,-1.581771449735761,-0.019305132449675366,train,mutation
ACH-000585,-3.6189786506465143,-0.5702736281219913,train,mutation
ACH-000605,-1.6789761407569557,-1.0261130861515668,train,mutation
ACH-000258,-2.981511577325898,-0.426267130699821,train,mutation
ACH-000536,-0.4558355943809827,1.7283528954942036,train,mutation
ACH-000697,3.1349986095199043,0.22593103159124542,train,mutation
ACH-000075,-4.910238212190775,0.1713947888514809,train,mutation
ACH-000235,-4.386452383932135,1.010806219517097,train,mutation
ACH-000948,17.65920532162301,-4.530201590090624,train,mutation
ACH-000725,-1.2967685981560158,0.6912051702375566,train,mutation
ACH-000929,6.892093811868939,-1.0465025323777453,train,mutation
ACH-000121,-4.335275415885535,1.463975719677633,train,mutation
ACH-000447,-2.604390073629396,2.3947414267157807,train,mutation
ACH-000062,-4.483325095471945,-0.0655173755447689,train,mutation
ACH-000052,-4.5596853445525385,-0.05799223456079977,train,mutation
ACH-000417,-4.796572083759185,0.8895177410862011,train,mutation
ACH-000142,-4.694846690357012,0.9540651004959467,train,mutation
ACH-000438,-2.3607881030897553,1.6235590406044411,train,mutation
ACH-000790,1.8419392281390323,-2.681257756214052,train,mutation
ACH-000843,0.6188454897592808,-0.7676109633164756,train,mutation
ACH-000361,-5.430591422028787,0.7320075064107973,train,mutation
ACH-000196,-3.648124043432385,-0.46548195803611514,train,mutation
ACH-000364,-4.473810563549279,-0.15244846345411556,train,mutation
ACH-000783,-2.2166286847098617,0.29477831423900586,train,mutation
ACH-000061,-4.1519051655465695,0.3286434667586724,train,mutation
ACH-000518,-3.13994780092866,0.7891360486339136,train,mutation
ACH-000684,-2.5017812189937745,1.2477461531787282,train,mutation
ACH-000966,25.39058717163253,-12.544014355776387,train,mutation
ACH-000009,-3.1358207031874388,1.527242330122447,train,mutation
ACH-000242,-4.565883061850171,0.742685895807183,train,mutation
ACH-000105,-4.578361735210387,0.7868114207144794,train,mutation
ACH-000920,18.635644142233712,-5.713718242942011,train,mutation
ACH-000599,-2.2746872912244696,0.6263382113181887,train,mutation
ACH-000050,-3.885963986087651,-0.6111164952428759,train,mutation
ACH-000963,24.187347319057654,-1.495864136957591,train,mutation
ACH-000876,1.8649579597907677,-1.70956800274541,train,mutation
ACH-000007,-2.1107321478316976,0.12174164203807782,train,mutation
ACH-000911,6.024935532882018,0.30757927046146977,train,mutation
ACH-000596,-2.9469755401858166,-0.7220384296614036,train,mutation
ACH-000132,-3.5501648890049613,0.21920275486499524,train,mutation
ACH-000227,-4.083457163168081,0.3441516384903125,train,mutation
ACH-000681,-2.1993815678394544,-0.05424474386397928,train,mutation
ACH-000882,2.8961896882457068,-2.243810870763958,train,mutation
ACH-000073,-4.867414613732727,1.4918828654663692,train,mutation
ACH-000432,-3.437730437149174,0.09005687248976228,train,mutation
ACH-000386,-3.4258097550468185,1.3700637973987428,train,mutation
ACH-000067,-4.900386424215852,0.9739312266822625,train,mutation
ACH-000018,-4.586345670657591,-0.018579345891633268,train,mutation
ACH-000365,-3.07347396817676,1.4576302509843473,train,mutation
ACH-000945,13.436037670061054,-1.1139692516063888,train,mutation
ACH-000225,-3.6927607447484863,0.1980612320589349,train,mutation
ACH-000091,-3.531608328457234,0.6680816098834351,train,mutation
ACH-000334,-1.928711767358691,2.009310753453788,train,mutation
ACH-000969,27.64260178770837,-8.567732195273974,train,mutation
ACH-000244,-4.362980336153038,-0.2578325452110072,train,mutation
ACH-000236,-3.47564147386834,0.7180609971236228,train,mutation
ACH-000665,-3.3605756342546083,-0.015246728334374572,train,mutation
ACH-000401,-3.37274513786834,0.8538802646867453,train,mutation
ACH-000359,-4.603528652565698,1.0138003271993141,train,mutation
ACH-000434,-3.230643892552245,-0.07822326713142146,train,mutation
ACH-000775,-1.1741858690676767,0.8943100263599932,train,mutation
ACH-000303,-3.6818531177953666,1.046336991312597,train,mutation
ACH-000383,-4.20003364220067,0.39030851704298447,train,mutation
ACH-000786,68.53867191895405,58.21692352076211,train,mutation
ACH-000805,0.27787195329135306,-1.7871738250023614,train,mutation
ACH-000452,-2.199808373687505,0.2455605501591498,train,mutation
ACH-000968,9.02287672416668,-7.233881148192413,train,mutation
ACH-000504,-3.7650879877183585,-0.14270358063403757,train,mutation
ACH-000932,11.744333711435138,-2.9836572095001137,train,mutation
ACH-000295,-4.967491111391017,0.6373780597836209,train,mutation
ACH-000780,-0.34703991192915135,0.8989590825656212,train,mutation
ACH-000144,-3.508620968257771,-1.2257797894385574,train,mutation
ACH-000486,-2.2391288188595513,1.0079019310068473,train,mutation
ACH-000351,-2.2902282555352467,0.5651978390791976,train,mutation
ACH-000375,-5.165688311479455,0.7252784533545733,train,mutation
ACH-000579,-2.8700981414692865,-1.4177182029842599,train,mutation
ACH-000826,-0.6490726324517085,-0.3314393721894406,train,mutation
ACH-000489,-1.5999959912662183,0.03234178155530092,train,mutation
ACH-000381,-3.453956664835381,0.05666587536446271,train,mutation
ACH-000169,-4.086128028111147,1.258365116001044,train,mutation
ACH-000226,-4.291993908566209,-0.5799711596002908,train,mutation
ACH-000551,-2.746927691026421,0.3421237789613827,train,mutation
ACH-000304,-2.770096642953481,0.8636217155871927,train,mutation
ACH-000189,-3.7013250431947937,0.33893516323298034,train,mutation
ACH-000322,-3.58789162020521,-0.6669485211532604,train,mutation
ACH-000506,-2.6481070883943465,-0.6423550529323582,train,mutation
ACH-000825,-0.9432276067230746,1.9440667302696957,train,mutation
ACH-000546,-0.34372788128584025,-0.7189871014556065,train,mutation
ACH-000759,-3.5360023079380425,0.6350005962731499,train,mutation
ACH-000174,-4.114737620811925,0.4296758931191452,train,mutation
ACH-000218,-3.050541308627829,0.5070285120024365,train,mutation
ACH-000348,-3.9368821601888873,-0.16499096093299453,train,mutation
ACH-000346,-2.803100530069823,-0.6502106847107332,train,mutation
ACH-000394,-2.160864225178312,0.3697869248400789,train,mutation
ACH-000867,0.5034992814700361,2.8165747522452085,train,mutation
ACH-000155,-4.263207909561943,2.0098787398656124,train,mutation
