,pc1,pc2,split,modality
ACH-000680,4.216610851096039,-10.70079556832851,train,pathway
ACH-000849,6.395776930556843,0.6115952047903053,train,pathway
ACH-000816,-20.49943747401675,1.2668156200228542,train,pathway
ACH-000315,-20.043890651478616,8.890257906192957,train,pathway
ACH-000380,-25.129157812568746,-4.1363698915747635,train,pathway
ACH-000970,1.1088031684281519,1.2166059396939377,train,pathway
ACH-000716,3.290444024093309,9.719084120596232,train,pathway
ACH-001190,-3.620731396348249,-7.923014700740167,train,pathway
ACH-000470,5.242340623783271,-16.426092434967558,train,pathway
ACH-000792,11.607044125692694,-0.4446527873575307,train,pathway
ACH-000147,2.9124490428053753,1.870609285080572,train,pathway
ACH-000740,12.028620853206688,-3.70045591225585,train,pathway
ACH-000636,-24.666887363729092,3.9865822907871267,train,pathway
ACH-000371,-18.96721764726211,4.8775665357049505,train,pathway
ACH-000999,11.155053756372666,3.5396704084152724,train,pathway
ACH-000323,15.31496889570094,10.499305945579206,train,pathway
ACH-000859,15.47917807596876,16.19009378917435,train,pathway
ACH-000441,9.8407804284533,12.76310949777025,train,pathway
ACH-000254,21.734680121766786,-19.334585919365505,train,pathway
ACH-000730,2.082542509741954,-3.1984255048931374,train,pathway
ACH-000733,12.08306176851015,-8.253956056638966,train,pathway
ACH-000981,-7.721112366539236,16.063897610484148,train,pathway
ACH-000330,3.086713819695195,3.40437098601226,train,pathway
ACH-000818,10.150213778383533,3.8938507472756294,train,pathway
ACH-000694,5.8287465626314425,-4.889295829826703,train,pathway
ACH-000573,-1.5701772748590848,-4.820630902016876,train,pathway
ACH-000906,14.603921017292071,-5.131128928214048,train,pathway
ACH-000953,-24.948704405943747,9.47052257133934,train,pathway
ACH-000793,11.377022825543404,10.280152303423868,train,pathway
ACH-000815,-11.98493855918926,-3.23339209007119,train,pathway
ACH-000055,-21.44237429148305,-5.230099111521229,train,pathway
ACH-000708,5.9774087097860376,-11.989732640018964,train,pathway
ACH-000120,-2.4813231174324586,11.48295136150978,train,pathway
ACH-000766,1.2082908728023356,-22.43139768508952,train,pathway
ACH-000527,8.46137486344381,-16.13998406608678,train,pathway
ACH-000704,18.10934975526567,5.934834230483581,train,pathway
ACH-000881,15.830661169999654,8.485139933282044,train,pathway
ACH-000714,-21.889267009422,1.4094799072784447,train,pathway
ACH-000065,-20.22337777154343,-6.916597172256883,train,pathway
ACH-000548,6.68464611794169,-11.951821507542972,train,pathway
ACH-000099,-10.459471769688687,4.310306551712998,train,pathway
ACH-000656,-23.706849935895853,-3.674836434365426,train,pathway
ACH-000610,-8.34754968778447,26.447474151209704,train,pathway
ACH-000585,14.599103884449608,-10.861453439594126,train,pathway
ACH-000605,-4.6987758768884,-4.036670218547104,train,pathway
ACH-000258,-4.634163132805123,3.474777653533291,train,pathway
ACH-000536,12.894096157241584,20.818135320600913,train,pathway
ACH-000697,-9.37833196895823,-6.154662560500692,train,pathway
ACH-000075,19.62062048882695,12.678135832596356,train,pathway
ACH-000235,14.334144743622916,-14.320578579834377,train,pathway
ACH-000948,11.099367287800156,5.514148576199025,train,pathway
ACH-000725,-3.9364216760287567,-7.355345680419117,train,pathway
ACH-000929,14.505392992509488,2.39173846311061,train,pathway
ACH-000121,13.567734918698273,0.8377125052593483,train,pathway
ACH-000447,7.488611095501427,-6.8244377480336045,train,pathway
ACH-000062,10.873166003386135,-12.230095813801901,train,pathway
ACH-000052,-16.29092593583893,4.441946904403793,train,pathway
ACH-000417,14.110732657429612,1.7848783782181605,train,pathway
ACH-000142,24.35989578439398,-0.3145933789546197,train,pathway
ACH-000438,3.560262402056436,5.266382159473388,train,pathway
ACH-000790,-17.643320929530613,-0.054394087828776104,train,pathway
ACH-000843,-4.822378932226439,10.105576646984673,train,pathway
ACH-000361,13.995476163476562,-6.441747789301018,train,pathway
ACH-000196,-5.002648102452644,-1.4026058139060136,train,pathway
ACH-000364,-4.598140405536992,6.5175735449128815,train,pathway
ACH-000783,6.182281553115163,12.362436484467656,train,pathway
ACH-000061,-21.189257765150067,2.054933302647945,train,pathway
ACH-000518,8.908038871032158,-16.96761476902296,train,pathway
ACH-000684,8.529716178641332,-21.145823258684395,train,pathway
ACH-000966,10.069240509514515,5.359819082737387,train,pathway
ACH-000009,2.8287373712050914,5.765114960742388,train,pathway
ACH-000242,5.543336546598453,5.285164045590441,train,pathway
ACH-000105,-23.4837413922687,6.869005950646641,train,pathway
ACH-000920,-16.090436749842436,9.366501793190134,train,pathway
ACH-000599,-0.46193878411695277,-6.093606583826921,train,pathway
ACH-000050,-15.437476500115787,-16.389772499691762,train,pathway
ACH-000963,-14.339803537989646,-11.098694214642462,train,pathway
ACH-000876,2.6159291675019927,-14.50297504192281,train,pathway
ACH-000007,-4.019921689644057,-24.34926384779745,train,pathway
ACH-000911,4.1019565680609995,-11.028514061950851,train,pathway
ACH-000596,9.053853616550512,-13.174425521314035,train,pathway
ACH-000132,8.737664767130768,-9.601282420622185,train,pathway
ACH-000227,-16.960728783628085,11.172490973505662,train,pathway
ACH-000681,12.524902916413314,-3.5555957708643287,train,pathway
ACH-000882,3.5809110481035193,1.491594446531182,train,pathway
ACH-000073,-22.816771770011762,-8.99482224449618,train,pathway
ACH-000432,-24.553028908428963,-9.103164853872082,train,pathway
ACH-000386,-22.59967153856476,2.326690918476026,train,pathway
ACH-000067,16.578111464171183,15.517197098782768,train,pathway
ACH-000018,10.057493238172134,27.97451119059205,train,pathway
ACH-000365,-14.964887763542112,-3.019936730743293,train,pathway
ACH-000945,7.667161363294658,6.91021027483078,train,pathway
ACH-000225,-5.0187205833254795,19.4968616418242,train,pathway
ACH-000091,10.32784212165556,-12.121963212672341,train,pathway
ACH-000334,-19.889001675062225,11.63690010486113,train,pathway
ACH-000969,-11.996603901907413,-17.556144834698568,train,pathway
ACH-000244,20.113234887967803,11.886776953353905,train,pathway
ACH-000236,1.6196234877719216,-10.145827743868006,train,pathway
ACH-000665,14.735691296437608,-13.014545446190587,train,pathway
ACH-000401,16.27444979499143,7.504584081156152,train,pathway
ACH-000359,9.93804484850975,5.485949814493788,train,pathway
ACH-000434,-0.7720179927961117,-1.2649159825418563,train,pathway
ACH-000775,3.6228271797602947,8.284689390662313,train,pathway
ACH-000303,6.215126530384544,5.301959108389504,train,pathway
ACH-000383,6.27654404433289,-12.084668764031152,train,pathway
ACH-000786,-25.83847205444029,-5.472496647431266,train,pathway
ACH-000805,3.6783709971821614,11.323383174812701,train,pathway
ACH-000452,15.020660456145974,18.906673787470588,train,pathway
ACH-000968,18.19243691703883,3.9589766442643124,train,pathway
ACH-000504,23.96194765725451,17.48840033265763,train,pathway
ACH-000932,-7.729746678690854,12.808779179048537,train,pathway
ACH-000295,-22.889964015360714,-2.2096992765836316,train,pathway
ACH-000780,-18.73608593567857,19.530972795569863,train,pathway
ACH-000144,2.08330010339496,13.870443977479683,train,pathway
ACH-000486,10.089357937138717,-11.287743499852166,train,pathway
ACH-000351,13.018236839489852,2.6873746686755706,train,pathway
ACH-000375,-4.465834411032783,1.2896350788504127,train,pathway
ACH-000579,0.5202192130114834,5.387072771302707,train,pathway
ACH-000826,12.777968959107564,-0.7917204556430413,train,pathway
ACH-000489,2.9331160572810657,-27.611842163336952,train,pathway
ACH-000381,3.1800271833797584,-11.714006187125397,train,pathway
ACH-000169,-3.621288967026686,19.042196142844013,train,pathway
ACH-000226,-11.639239316267897,-8.178525300472451,train,pathway
ACH-000551,-17.564573176642295,-2.990425858740375,train,pathway
ACH-000304,18.02571534570343,14.588738309034602,train,pathway
ACH-000189,21.458555037177685,-5.003471435152822,train,pathway
ACH-000322,14.279863492202088,16.83895497940574,train,pathway
ACH-000506,-8.522167011403935,18.258941378294246,train,pathway
ACH-000825,21.696578325613473,-10.873476050268042,train,pathway
ACH-000546,9.523337951901276,-16.404670395562874,train,pathway
ACH-000759,15.05172959170327,-0.2538245039699717,train,pathway
ACH-000174,-3.0621231082306384,7.475124256946751,train,pathway
