drug_name,modality,n_train,n_test,spearman,pearson,alpha
Lestaurtinib,expression,420,53,0.7060957910014514,0.7647268702295223,1519.9110829529332
Lestaurtinib,methylation,420,53,0.5787776165134656,0.6134824165514067,1519.9110829529332
Lestaurtinib,mutation,420,53,0.1690856313497823,0.1904859150445216,1519.9110829529332
Lestaurtinib,pathway,420,53,0.6968230930495082,0.7343604948362483,4328.761281083057
Lestaurtinib,expression+methylation,420,53,0.6849701661022415,0.7342050843855883,1519.9110829529332
Lestaurtinib,all four,420,53,0.7082728592162554,0.7464263569924459,4328.761281083057
SB216763,expression,423,54,0.5015818562988373,0.5785891906567393,1519.9110829529332
SB216763,methylation,423,54,0.4194015627977891,0.5053774003101996,1519.9110829529332
SB216763,mutation,423,54,0.06910615589860872,0.010978795324083884,1519.9110829529332
SB216763,pathway,423,54,0.4381551362683438,0.5167932981616417,12328.467394420659
SB216763,expression+methylation,423,54,0.4751286449399656,0.5647079278361684,1519.9110829529332
SB216763,all four,423,54,0.504631217838765,0.5636964514664553,4328.761281083057
Tanespimycin,expression,420,53,0.33075310433801,0.37742268536760737,1519.9110829529332
Tanespimycin,methylation,420,53,0.12199645218513142,0.1540686582976376,1519.9110829529332
Tanespimycin,mutation,420,53,-0.025721657797129496,-0.011886020807772485,12328.467394420659
Tanespimycin,pathway,420,53,0.33551040154813744,0.3536693737202199,4328.761281083057
Tanespimycin,expression+methylation,420,53,0.28616352201257855,0.36410153941707457,1519.9110829529332
Tanespimycin,all four,420,53,0.3923560716013546,0.4100205911127994,4328.761281083057
Vinorelbine,expression,421,53,0.6654571843251088,0.6511865544208225,533.6699231206308
Vinorelbine,methylation,421,53,0.543138203515562,0.5285094382784041,1519.9110829529332
Vinorelbine,mutation,421,53,0.14755684567005323,0.20169873176957454,1519.9110829529332
Vinorelbine,pathway,421,53,0.6475568456700532,0.6250070859182751,4328.761281083057
Vinorelbine,expression+methylation,421,53,0.627721335268505,0.6053694997610296,1519.9110829529332
Vinorelbine,all four,421,53,0.6465086276407032,0.6479084343168167,4328.761281083057
Motesanib,expression,420,53,0.7922915658764716,0.6596670242096285,1519.9110829529332
Motesanib,methylation,420,53,0.5957910014513789,0.5733276861118306,1519.9110829529332
Motesanib,mutation,420,53,0.02620545073375262,0.009403508624744657,1519.9110829529332
Motesanib,pathway,420,53,0.8057571359458151,0.6958753905391161,4328.761281083057
Motesanib,expression+methylation,420,53,0.7572165779712949,0.6360439050602384,1519.9110829529332
Motesanib,all four,420,53,0.7716497339138849,0.6590916861574037,4328.761281083057
KU-55933,expression,422,54,0.5704974271012005,0.6265122587651946,1519.9110829529332
KU-55933,methylation,422,54,0.511492281303602,0.5288019537379431,1519.9110829529332
KU-55933,mutation,422,54,0.24878978463884122,0.2887813733303465,1519.9110829529332
KU-55933,pathway,422,54,0.615704211930627,0.62946847647441,4328.761281083057
KU-55933,expression+methylation,422,54,0.5582237469029921,0.5997683245077399,1519.9110829529332
KU-55933,all four,422,54,0.603278063655422,0.6437006238749614,4328.761281083057
Elesclomol,expression,81,14,0.8813186813186813,0.745362812219307,1519.9110829529332
Elesclomol,methylation,81,14,0.6967032967032967,0.7220919526819227,1519.9110829529332
Elesclomol,mutation,81,14,-0.07692307692307693,-0.11100210589071191,65.79332246575679
Elesclomol,pathway,81,14,0.7054945054945055,0.6502897806564671,12328.467394420659
Elesclomol,expression+methylation,81,14,0.8373626373626375,0.8080612383490071,1519.9110829529332
Elesclomol,all four,81,14,0.832967032967033,0.7489693792726512,12328.467394420659
Afatinib,expression,425,54,0.5089765580331617,0.41275151225886614,1519.9110829529332
Afatinib,methylation,425,54,0.5009719839908519,0.37209550821753845,4328.761281083057
Afatinib,mutation,425,54,0.14335810939584523,0.13073334571592332,1519.9110829529332
Afatinib,pathway,425,54,0.4582046883933676,0.37445749970803255,4328.761281083057
Afatinib,expression+methylation,425,54,0.5763674480655612,0.4482758760650575,4328.761281083057
Afatinib,all four,425,54,0.4848103678292357,0.37881992046949037,4328.761281083057
Vismodegib,expression,420,53,0.6630382196419932,0.671616340131079,4328.761281083057
Vismodegib,methylation,420,53,0.5562006128043864,0.6293119550587237,1519.9110829529332
Vismodegib,mutation,420,53,0.1368327689082406,0.2554302144024111,4328.761281083057
Vismodegib,pathway,420,53,0.6965811965811965,0.6944583499199942,4328.761281083057
Vismodegib,expression+methylation,420,53,0.6376390904692791,0.6923081085796212,4328.761281083057
Vismodegib,all four,420,53,0.6308659893565554,0.6801264316686149,12328.467394420659
PLX-4720,expression,423,54,0.7144272917857822,0.7400778370555748,1519.9110829529332
PLX-4720,methylation,423,54,0.5586049170954831,0.6387604740304749,1519.9110829529332
PLX-4720,mutation,423,54,0.13161806746712404,0.16676146096758498,1519.9110829529332
PLX-4720,pathway,423,54,0.6744806556127311,0.7443783875903874,1519.9110829529332
PLX-4720,expression+methylation,423,54,0.6272917857823517,0.722789786774442,1519.9110829529332
PLX-4720,all four,423,54,0.6822565275395462,0.7337192851063505,4328.761281083057
BX795,expression,81,14,0.432967032967033,0.43688074750585726,1519.9110829529332
BX795,methylation,81,14,0.4813186813186813,0.46028189121277674,533.6699231206308
BX795,mutation,81,14,0.1252747252747253,0.12298586747321451,4328.761281083057
BX795,pathway,81,14,0.47252747252747257,0.431218577635827,4328.761281083057
BX795,expression+methylation,81,14,0.5296703296703297,0.48192452799755486,1519.9110829529332
BX795,all four,81,14,0.621978021978022,0.4829810286121437,4328.761281083057
NU7441,expression,417,53,0.6444928237381068,0.6044306429301795,1519.9110829529332
NU7441,methylation,417,53,0.4760522496371553,0.46282796179900954,1519.9110829529332
NU7441,mutation,417,53,0.19190453152717302,0.18023933760735844,1519.9110829529332
NU7441,pathway,417,53,0.5655539429124334,0.5731116729956904,4328.761281083057
NU7441,expression+methylation,417,53,0.6286889211417513,0.585392527791768,1519.9110829529332
NU7441,all four,417,53,0.6374778261570715,0.6012226492267845,4328.761281083057
SL0101,expression,81,14,0.6439560439560439,0.7216287322129327,1519.9110829529332
SL0101,methylation,81,14,0.43736263736263736,0.4079092849871352,4328.761281083057
SL0101,mutation,81,14,0.3362637362637363,0.25410743407382874,4328.761281083057
SL0101,pathway,81,14,0.6571428571428571,0.7241247905929247,4328.761281083057
SL0101,expression+methylation,81,14,0.6439560439560439,0.6902734194344784,1519.9110829529332
SL0101,all four,81,14,0.6879120879120879,0.7092006416385501,4328.761281083057
Pevonedistat,expression,421,54,0.7007813988946062,0.636973246674926,533.6699231206308
Pevonedistat,methylation,421,54,0.6832475700400228,0.5744183477016107,533.6699231206308
Pevonedistat,mutation,421,54,0.18010291595197253,0.1419571696097974,4328.761281083057
Pevonedistat,pathway,421,54,0.7154183342862587,0.6406361146947959,1519.9110829529332
Pevonedistat,expression+methylation,421,54,0.7501048218029349,0.6478537975796775,1519.9110829529332
Pevonedistat,all four,421,54,0.7303602058319039,0.597445516814754,1519.9110829529332
Sapitinib,expression,426,54,0.42496664760815694,0.40220111229330746,533.6699231206308
Sapitinib,methylation,426,54,0.49693157995044784,0.41738020987243774,1519.9110829529332
Sapitinib,mutation,426,54,0.24840861444635026,0.2232815026518443,1519.9110829529332
Sapitinib,pathway,426,54,0.3599390127692014,0.32441517645516355,1519.9110829529332
Sapitinib,expression+methylation,426,54,0.4839717934057556,0.454403949866393,1519.9110829529332
Sapitinib,all four,426,54,0.46125404993329516,0.40862251915108977,1519.9110829529332
Doramapimod,expression,422,54,0.46887745378311413,0.48721860877042455,1519.9110829529332
Doramapimod,methylation,422,54,0.42580522203163707,0.45109690234974276,1519.9110829529332
Doramapimod,mutation,422,54,0.0324375833809796,0.029403561667538894,100000.0
Doramapimod,pathway,422,54,0.49212883552506187,0.4799526408080717,4328.761281083057
Doramapimod,expression+methylation,422,54,0.46094911377930237,0.47882158239537204,1519.9110829529332
Doramapimod,all four,422,54,0.49007051648561073,0.4897046516190834,4328.761281083057
JNK Inhibitor VIII,expression,418,54,0.6041166380789023,0.617782253658643,1519.9110829529332
JNK Inhibitor VIII,methylation,418,54,0.5307794930436438,0.5272805677559402,1519.9110829529332
JNK Inhibitor VIII,mutation,418,54,-0.014751286449399657,0.11088021817801401,4328.761281083057
JNK Inhibitor VIII,pathway,418,54,0.608919382504288,0.6234383722306203,4328.761281083057
JNK Inhibitor VIII,expression+methylation,418,54,0.6095292548122736,0.5845863937615864,1519.9110829529332
JNK Inhibitor VIII,all four,418,54,0.6011435105774727,0.6148900310124135,4328.761281083057
Uprosertib,expression,396,54,0.435029540689918,0.43968543141734256,533.6699231206308
Uprosertib,methylation,396,54,0.3004764627406137,0.18839841342301938,1519.9110829529332
Uprosertib,mutation,396,54,0.25717552887364203,0.19131579855850375,1519.9110829529332
Uprosertib,pathway,396,54,0.4537068801219744,0.4397028347965134,1519.9110829529332
Uprosertib,expression+methylation,396,54,0.440670859538784,0.32952657300762755,1519.9110829529332
Uprosertib,all four,396,54,0.3973699256718124,0.37748561189414825,1519.9110829529332
LCL161,expression,393,53,0.5248347040799871,0.5689800749167151,4328.761281083057
LCL161,methylation,393,53,0.37437510079019515,0.48637473209527904,1519.9110829529332
LCL161,mutation,393,53,0.05289469440412837,0.01928500691167876,1519.9110829529332
LCL161,pathway,393,53,0.5187872923721981,0.5707554875065103,4328.761281083057
LCL161,expression+methylation,393,53,0.45920012901144974,0.5504172584741662,1519.9110829529332
LCL161,all four,393,53,0.488388969521045,0.592982991916025,4328.761281083057
Wee1 Inhibitor,expression,420,54,0.7360777587192681,0.6761252341153643,1519.9110829529332
Wee1 Inhibitor,methylation,420,54,0.5152277491900132,0.46108910582255924,533.6699231206308
Wee1 Inhibitor,mutation,420,54,0.15113398132266054,0.11739233270414887,1519.9110829529332
Wee1 Inhibitor,pathway,420,54,0.6682294644558794,0.6416399412859104,4328.761281083057
Wee1 Inhibitor,expression+methylation,420,54,0.6663998475319229,0.6185245125647932,1519.9110829529332
Wee1 Inhibitor,all four,420,54,0.7427863541071088,0.6685000733267881,1519.9110829529332
Nutlin-3a (-),expression,427,54,0.7634457785401181,0.7542040048724779,533.6699231206308
Nutlin-3a (-),methylation,427,54,0.6282828282828282,0.6201946750881318,1519.9110829529332
Nutlin-3a (-),mutation,427,54,0.31785782351820085,0.3721650232732866,533.6699231206308
Nutlin-3a (-),pathway,427,54,0.8033161806746711,0.8055790853046728,1519.9110829529332
Nutlin-3a (-),expression+methylation,427,54,0.7459119496855345,0.7313195941021771,533.6699231206308
Nutlin-3a (-),all four,427,54,0.7921097770154373,0.7838259980457988,1519.9110829529332
Lapatinib,expression,425,54,0.40125786163522004,0.3560013006484921,1519.9110829529332
Lapatinib,methylation,425,54,0.31396988755479316,0.2191653618078041,1519.9110829529332
Lapatinib,mutation,425,54,0.2396417000190585,0.32585075151699505,1519.9110829529332
Lapatinib,pathway,425,54,0.3206022489041356,0.30973367403202523,4328.761281083057
Lapatinib,expression+methylation,425,54,0.3621497998856489,0.31601679596670795,1519.9110829529332
Lapatinib,all four,425,54,0.3986659043262817,0.36355010987348524,4328.761281083057
PD173074,expression,426,54,0.5605107680579378,0.6145895404352697,1519.9110829529332
PD173074,methylation,426,54,0.5031065370688012,0.5315498232060974,1519.9110829529332
PD173074,mutation,426,54,0.10226796264532112,0.18540854292754463,4328.761281083057
PD173074,pathway,426,54,0.5679817038307603,0.6080547088387294,4328.761281083057
PD173074,expression+methylation,426,54,0.5164474938059843,0.5562736097314909,1519.9110829529332
PD173074,all four,426,54,0.5625690870973888,0.6004667165980339,4328.761281083057
ZM447439,expression,417,53,0.6650540235445895,0.6139238989207063,1519.9110829529332
ZM447439,methylation,417,53,0.45097564908885657,0.5039875090621294,1519.9110829529332
ZM447439,mutation,417,53,0.052007740686985965,0.12231040385776634,1519.9110829529332
ZM447439,pathway,417,53,0.6297371391711015,0.6358754163519951,4328.761281083057
ZM447439,expression+methylation,417,53,0.6115142718916304,0.5868430754252727,1519.9110829529332
ZM447439,all four,417,53,0.6178842122238348,0.6159116976614225,4328.761281083057
Alisertib,expression,419,52,0.5825151541022795,0.64108185569334,1519.9110829529332
