fold,predictor,n_test_cells,n,RMSE,MAE,R2,PCC,SCC
0,NaivePredictor,107,16331,2.700806485002158,2.092569430401014,-0.0009037124018942411,,
0,NaiveDrugMeanPredictor,107,16331,1.5618185602342207,1.1762222874737696,0.6652916678583194,0.8161724979772819,0.7633966160838512
1,NaivePredictor,107,16226,2.7314438768220803,2.077766167014087,-0.008630251580656889,,
1,NaiveDrugMeanPredictor,107,16226,1.5454837618338753,1.158921362640974,0.6770938478336712,0.8279883702289417,0.7836667278412
2,NaivePredictor,107,16290,2.7320296217943034,2.124517632865151,-0.0016216591134847747,,
2,NaiveDrugMeanPredictor,107,16290,1.5454545108607483,1.1601334233296687,0.6794872189578349,0.8254599467508528,0.7759838555997793
3,NaivePredictor,107,16349,2.65891511842425,2.0491833677213496,-0.0004851686630131802,,
3,NaiveDrugMeanPredictor,107,16349,1.520065591895978,1.1443749782617652,0.6730161032727706,0.8207278057673594,0.7695851535694014
4,NaivePredictor,108,16271,2.6968093896298417,2.0808108603111974,-5.330159018601677e-07,,
4,NaiveDrugMeanPredictor,108,16271,1.5687978710342831,1.168070286092438,0.6615973846541557,0.8135014830338347,0.7671399600419132
