drug,mean_lnIC50_visible_cells,n_visible,mean_lnIC50_other_urinary,n_other_urinary,rank_visible_cell_mean,rank_other_urinary_mean
Daporinad,-3.3246265067114096,298,-4.4544505999999995,5,1,1
Vinblastine,-3.2911501250000006,416,-3.260531153846154,13,2,2
Elesclomol,-1.6098754901960786,102,0.018695,1,3,3
TW 37,1.447536015,200,1.54422725,4,4,4
Tozasertib,2.1471900145985403,137,4.331383,1,5,11
Piperlongumine,2.2064317745098037,102,3.409943,1,6,7
IOX2,2.3232980294117644,102,2.87546,1,7,5
GSK269962A,2.621265437956205,137,2.938107,1,8,6
BX795,2.714324578431373,102,3.437438,1,9,8
AZD6482,3.463187058823529,136,4.243434,1,10,10
SB505124,3.5626367218045116,133,5.744643,1,11,15
PF-4708671,3.6023460072992703,137,3.862684,1,12,9
Bicalutamide,4.582525333333333,102,4.649171,1,13,12
CHIR-99021,4.626767215686274,102,5.988363,1,14,16
SL0101,4.73143012745098,102,5.014249,1,15,13
Tretinoin,4.836959235294119,102,5.243287,1,16,14
