tissue,drug_name,n_cells,scc_bcgdrp,scc_drugmean,drugmean_reason
URINARY_TRACT,5-Fluorouracil,15,0.13214285714285715,,"constant within a drug, rank undefined"
URINARY_TRACT,ABT737,15,-0.4142857142857142,,"constant within a drug, rank undefined"
URINARY_TRACT,AGI-5198,15,0.11428571428571425,,"constant within a drug, rank undefined"
URINARY_TRACT,AGI-6780,14,0.2835164835164835,,"constant within a drug, rank undefined"
URINARY_TRACT,AMG-319,15,-0.06785714285714285,,"constant within a drug, rank undefined"
URINARY_TRACT,AZ960,14,0.3758241758241759,,"constant within a drug, rank undefined"
URINARY_TRACT,AZD3759,15,0.4892857142857142,,"constant within a drug, rank undefined"
URINARY_TRACT,AZD4547,15,0.11071428571428568,,"constant within a drug, rank undefined"
URINARY_TRACT,AZD5582,14,0.24835164835164836,,"constant within a drug, rank undefined"
URINARY_TRACT,AZD6738,15,0.37499999999999994,,"constant within a drug, rank undefined"
URINARY_TRACT,AZD7762,15,0.11428571428571425,,"constant within a drug, rank undefined"
URINARY_TRACT,AZD8055,13,0.18131868131868134,,"constant within a drug, rank undefined"
URINARY_TRACT,AZD8186,15,0.12857142857142856,,"constant within a drug, rank undefined"
URINARY_TRACT,Afatinib,15,0.5535714285714285,,"constant within a drug, rank undefined"
URINARY_TRACT,Afuresertib,15,0.6464285714285712,,"constant within a drug, rank undefined"
URINARY_TRACT,Alisertib,15,-0.10714285714285714,,"constant within a drug, rank undefined"
URINARY_TRACT,Alpelisib,15,0.5107142857142856,,"constant within a drug, rank undefined"
URINARY_TRACT,Avagacestat,15,0.3607142857142856,,"constant within a drug, rank undefined"
URINARY_TRACT,Axitinib,14,0.3186813186813187,,"constant within a drug, rank undefined"
URINARY_TRACT,BI-2536,15,0.10714285714285714,,"constant within a drug, rank undefined"
URINARY_TRACT,BIBR-1532,15,0.4107142857142856,,"constant within a drug, rank undefined"
URINARY_TRACT,BMS-345541,14,0.2967032967032967,,"constant within a drug, rank undefined"
URINARY_TRACT,Bleomycin (50 uM),14,0.3274725274725274,,"constant within a drug, rank undefined"
URINARY_TRACT,Bortezomib,15,-0.1928571428571428,,"constant within a drug, rank undefined"
URINARY_TRACT,Bosutinib,15,0.5821428571428571,,"constant within a drug, rank undefined"
URINARY_TRACT,CCT007093,15,0.1714285714285714,,"constant within a drug, rank undefined"
URINARY_TRACT,CZC24832,14,0.02417582417582418,,"constant within a drug, rank undefined"
URINARY_TRACT,Camptothecin,15,0.2642857142857143,,"constant within a drug, rank undefined"
URINARY_TRACT,Cediranib,15,0.25357142857142856,,"constant within a drug, rank undefined"
URINARY_TRACT,Cisplatin,14,-0.1076923076923077,,"constant within a drug, rank undefined"
URINARY_TRACT,Crizotinib,15,0.28928571428571426,,"constant within a drug, rank undefined"
URINARY_TRACT,Cyclophosphamide,15,0.049999999999999996,,"constant within a drug, rank undefined"
URINARY_TRACT,Cytarabine,14,-0.04175824175824176,,"constant within a drug, rank undefined"
URINARY_TRACT,Dabrafenib,15,0.22499999999999998,,"constant within a drug, rank undefined"
URINARY_TRACT,Dactolisib,15,0.0035714285714285704,,"constant within a drug, rank undefined"
URINARY_TRACT,Dasatinib,15,0.36785714285714277,,"constant within a drug, rank undefined"
URINARY_TRACT,Dinaciclib,14,0.6395604395604396,,"constant within a drug, rank undefined"
URINARY_TRACT,Docetaxel,15,0.1964285714285714,,"constant within a drug, rank undefined"
URINARY_TRACT,Doramapimod,15,0.06785714285714285,,"constant within a drug, rank undefined"
URINARY_TRACT,EHT-1864,15,0.14285714285714282,,"constant within a drug, rank undefined"
URINARY_TRACT,EPZ004777,15,0.07142857142857141,,"constant within a drug, rank undefined"
URINARY_TRACT,EPZ5676,15,0.21428571428571427,,"constant within a drug, rank undefined"
URINARY_TRACT,Entinostat,14,0.3186813186813187,,"constant within a drug, rank undefined"
URINARY_TRACT,Entospletinib,14,0.3318681318681319,,"constant within a drug, rank undefined"
URINARY_TRACT,Epirubicin,15,0.35,,"constant within a drug, rank undefined"
URINARY_TRACT,Erlotinib,15,0.42499999999999993,,"constant within a drug, rank undefined"
URINARY_TRACT,Foretinib,15,0.25357142857142856,,"constant within a drug, rank undefined"
URINARY_TRACT,Fulvestrant,15,0.1714285714285714,,"constant within a drug, rank undefined"
