tissue,mode,k,n,bcgdrp,drug_mean,random,delta,ci_low,ci_high,wilcoxon_p
URINARY_TRACT,rank drugs within a cell line,1.0,15,0.4,0.26666666666666666,0.005666666666666666,0.13333333333333333,-0.13333333333333333,0.4,0.31731050786291415
URINARY_TRACT,rank drugs within a cell line,3.0,15,0.6666666666666665,0.6888888888888888,0.01611111111111111,-0.02222222222222223,-0.11111111111111113,0.06666666666666667,0.580912420333197
URINARY_TRACT,rank drugs within a cell line,5.0,15,0.68,0.7200000000000001,0.03313333333333334,-0.03999999999999999,-0.09333333333333331,0.013333333333333353,0.4795001221869535
URINARY_TRACT,rank drugs within a cell line,10.0,15,0.8200000000000001,0.8266666666666668,0.06370000000000002,-0.00666666666666668,-0.04000000000000002,0.02666666666666666,0.3795370857491177
BREAST,rank drugs within a cell line,1.0,41,0.43902439024390244,0.4634146341463415,0.007195121951219513,-0.024390243902439025,-0.12195121951219512,0.04878048780487805,0.5637028616507731
BREAST,rank drugs within a cell line,3.0,41,0.6178861788617885,0.6910569105691056,0.02040650406504065,-0.07317073170731707,-0.13008130081300812,-0.01626016260162601,0.06550121425693119
BREAST,rank drugs within a cell line,5.0,41,0.6487804878048781,0.6926829268292684,0.032121951219512196,-0.04390243902439024,-0.08292682926829267,-0.004878048780487804,0.081169523930201
BREAST,rank drugs within a cell line,10.0,41,0.724390243902439,0.7390243902439024,0.06439024390243901,-0.014634146341463424,-0.03658536585365855,0.004878048780487799,0.04713562945211017
URINARY_TRACT,rank cell lines within a drug,,154,0.2582310546596261,,0.0,,0.22385409233623518,0.2922864635364635,
BREAST,rank cell lines within a drug,,160,0.09310111277755304,,0.0,,0.06784988418945052,0.11920412600044109,
