drug_name,n_cells,ceiling_rho
Trametinib,202,0.7909911949512081
Dasatinib,452,0.7301876042971188
Sepantronium bromide,409,0.6901288441907862
BI-2536,434,0.6735809317805735
Vorinostat,441,0.6628406607398204
Dinaciclib,183,0.6617099934990172
Axitinib,441,0.635655183631248
Selumetinib,429,0.6224742439160668
SN-38,373,0.6171260580513056
Entinostat,363,0.617049449796813
AZD7762,461,0.6121219061990543
Tanespimycin,416,0.6014599787270808
MG-132,180,0.5914338919925511
MK-1775,415,0.5877510533564906
Alisertib,413,0.5788768248683333
Paclitaxel,314,0.5740914914775278
Docetaxel,207,0.5737179487179487
Daporinad,204,0.5684350996785511
Dabrafenib,199,0.561091918536268
Navitoclax,423,0.5565489165710182
5-Fluorouracil,444,0.5521660749081346
Piperlongumine,82,0.5520848073228665
CHIR-99021,80,0.5500970551878812
Foretinib,441,0.538933335571991
ABT737,391,0.5350176426744352
I-BET-762,422,0.5349329922269916
Olaparib,455,0.5268793780198522
Linsitinib,426,0.5154723003146372
Afatinib,389,0.5006949640082442
Pictilisib,452,0.4979796567766949
Bortezomib,396,0.4932741630506513
MK-2206,400,0.48518487337763083
Telomerase Inhibitor IX,433,0.4807975885976332
Alpelisib,279,0.4767979444976824
Ibrutinib,286,0.4759856195079588
AZD6482,111,0.4635135135135135
PLX-4720,433,0.4630049928815676
Lapatinib,425,0.4418507040660446
Ruxolitinib,427,0.4314385021253707
Bosutinib,381,0.43049711098044396
AZD8055,376,0.416331169930583
Serdemetan,410,0.4050816821737746
AZD4547,377,0.4028137225129154
Tretinoin,79,0.3997179823251199
Dactolisib,330,0.399116612641071
Cediranib,201,0.3880094576621841
Methotrexate,314,0.3780237823534965
Tozasertib,11,0.3727272727272728
MIRA-1,296,0.35461224847725853
Temsirolimus,235,0.3434367905343722
NVP-ADW742,441,0.3277146716832092
Gefitinib,437,0.3132220756208335
KU-55933,429,0.3043564200684854
Venotoclax,241,0.29974155409611597
TW 37,165,0.2880468357110918
Sorafenib,448,0.2617276971659865
PRIMA-1MET,201,0.2387817236585624
Temozolomide,424,0.2143766652615198
Fulvestrant,76,0.15111954568678365
Veliparib,448,0.1456037787539798
BIBR-1532,435,0.1397944315771789
Nilotinib,414,0.12169762423534586
Cyclophosphamide,226,0.005943559010992257
