stratum,n_drugs,bcgdrp,bandrp_gate,delta,ci_low,ci_high,n_won
Other pathways,27,0.3109040450487371,0.24761284169216308,0.06329120335657411,-0.0005237088162669311,0.13840715784085533,15
Apoptosis regulation,5,0.33263459798293377,0.29966262525138393,0.032971972731549795,0.012383439549440389,0.049804412787761945,4
"Other, kinases",11,0.2660165199488616,0.24120460948899652,0.024811910459865097,-0.07599657820706604,0.12183876002345642,5
Cell cycle,7,0.4448897637542048,0.4289539634862251,0.01593580026797975,-0.020006099630430436,0.04195049491238824,6
PI3K/MTOR signaling,15,0.17480180934157827,0.16129921119030702,0.01350259815127122,-0.021443326367066334,0.06483716369231071,6
RTK signaling,22,0.20136031805963633,0.19971449252014944,0.001645825539486888,-0.0474285068683059,0.06274057822876414,6
Genome integrity,6,0.2299904615638222,0.24601156680300265,-0.0160211052391805,-0.0424167548574886,0.020157387313094202,1
Other,6,0.2840832328246875,0.31170161385876377,-0.027618381034076295,-0.058536654621845645,0.004221035769885746,2
Chromatin histone acetylation,6,0.29791098622112216,0.3358363260485213,-0.03792533982739915,-0.0899497279591081,0.01276190249989627,4
DNA replication,7,0.22532495796658059,0.2684398385742506,-0.04311488060767003,-0.15407524382476523,0.03656295106350469,4
