tissue,drug_name,n_cells,scc_bcgdrp
URINARY_TRACT,5-Fluorouracil,15,0.13214285714285715
URINARY_TRACT,ABT737,15,-0.4142857142857142
URINARY_TRACT,AGI-5198,15,0.11428571428571425
URINARY_TRACT,AGI-6780,14,0.2835164835164835
URINARY_TRACT,AMG-319,15,-0.06785714285714285
URINARY_TRACT,AZ960,14,0.3758241758241759
URINARY_TRACT,AZD3759,15,0.4892857142857142
URINARY_TRACT,AZD4547,15,0.11071428571428568
URINARY_TRACT,AZD5582,14,0.24835164835164836
URINARY_TRACT,AZD6738,15,0.37499999999999994
URINARY_TRACT,AZD7762,15,0.11428571428571425
URINARY_TRACT,AZD8055,13,0.18131868131868134
URINARY_TRACT,AZD8186,15,0.12857142857142856
URINARY_TRACT,Afatinib,15,0.5535714285714285
URINARY_TRACT,Afuresertib,15,0.6464285714285712
URINARY_TRACT,Alisertib,15,-0.10714285714285714
URINARY_TRACT,Alpelisib,15,0.5107142857142856
URINARY_TRACT,Avagacestat,15,0.3607142857142856
URINARY_TRACT,Axitinib,14,0.3186813186813187
URINARY_TRACT,BI-2536,15,0.10714285714285714
URINARY_TRACT,BIBR-1532,15,0.4107142857142856
URINARY_TRACT,BMS-345541,14,0.2967032967032967
URINARY_TRACT,Bleomycin (50 uM),14,0.3274725274725274
URINARY_TRACT,Bortezomib,15,-0.1928571428571428
URINARY_TRACT,Bosutinib,15,0.5821428571428571
URINARY_TRACT,CCT007093,15,0.1714285714285714
URINARY_TRACT,CZC24832,14,0.02417582417582418
URINARY_TRACT,Camptothecin,15,0.2642857142857143
URINARY_TRACT,Cediranib,15,0.25357142857142856
URINARY_TRACT,Cisplatin,14,-0.1076923076923077
URINARY_TRACT,Crizotinib,15,0.28928571428571426
URINARY_TRACT,Cyclophosphamide,15,0.049999999999999996
URINARY_TRACT,Cytarabine,14,-0.04175824175824176
URINARY_TRACT,Dabrafenib,15,0.22499999999999998
URINARY_TRACT,Dactolisib,15,0.0035714285714285704
URINARY_TRACT,Dasatinib,15,0.36785714285714277
URINARY_TRACT,Dinaciclib,14,0.6395604395604396
URINARY_TRACT,Docetaxel,15,0.1964285714285714
URINARY_TRACT,Doramapimod,15,0.06785714285714285
URINARY_TRACT,EHT-1864,15,0.14285714285714282
URINARY_TRACT,EPZ004777,15,0.07142857142857141
URINARY_TRACT,EPZ5676,15,0.21428571428571427
URINARY_TRACT,Entinostat,14,0.3186813186813187
URINARY_TRACT,Entospletinib,14,0.3318681318681319
URINARY_TRACT,Epirubicin,15,0.35
URINARY_TRACT,Erlotinib,15,0.42499999999999993
URINARY_TRACT,Foretinib,15,0.25357142857142856
URINARY_TRACT,Fulvestrant,15,0.1714285714285714
URINARY_TRACT,GDC0810,15,-0.06071428571428571
URINARY_TRACT,GNE-317,15,0.5
URINARY_TRACT,GSK1904529A,15,0.3214285714285714
URINARY_TRACT,GSK2578215A,15,0.35
URINARY_TRACT,GSK2606414,14,0.4945054945054946
URINARY_TRACT,GSK2830371,14,0.3758241758241759
URINARY_TRACT,GSK343,14,-0.006593406593406593
URINARY_TRACT,GSK591,14,0.4197802197802198
URINARY_TRACT,GW441756,15,0.28571428571428564
URINARY_TRACT,Gefitinib,15,0.2607142857142857
URINARY_TRACT,Gemcitabine,15,0.20357142857142854
URINARY_TRACT,I-BET-762,14,0.3362637362637363
URINARY_TRACT,I-BRD9,15,0.024999999999999998
URINARY_TRACT,IWP-2,14,0.45494505494505494
URINARY_TRACT,Ibrutinib,14,0.46373626373626364
URINARY_TRACT,Ipatasertib,15,0.5464285714285714
URINARY_TRACT,Irinotecan,15,0.21071428571428572
URINARY_TRACT,JNK Inhibitor VIII,15,0.039285714285714285
URINARY_TRACT,JQ1,15,0.2071428571428571
URINARY_TRACT,KRAS (G12C) Inhibitor-12,14,0.5340659340659341
URINARY_TRACT,KU-55933,15,-0.05714285714285713
URINARY_TRACT,LCL161,14,0.3274725274725274
URINARY_TRACT,LGK974,15,0.36785714285714277
URINARY_TRACT,LJI308,15,0.2678571428571428
URINARY_TRACT,LY2109761,14,0.1164835164835165
URINARY_TRACT,Lapatinib,15,0.5071428571428571
URINARY_TRACT,Leflunomide,14,0.35824175824175825
URINARY_TRACT,Lenalidomide,15,0.2607142857142857
URINARY_TRACT,Lestaurtinib,15,0.010714285714285713
URINARY_TRACT,Linsitinib,15,0.33571428571428563
URINARY_TRACT,MG-132,15,-0.3107142857142856
URINARY_TRACT,MIRA-1,15,0.2178571428571428
URINARY_TRACT,MK-1775,15,0.06428571428571428
URINARY_TRACT,MK-2206,15,0.6142857142857142
URINARY_TRACT,MK-8776,15,-0.039285714285714285
URINARY_TRACT,ML323,14,0.5780219780219781
URINARY_TRACT,MN-64,14,0.2351648351648352
URINARY_TRACT,Methotrexate,15,0.35
URINARY_TRACT,Motesanib,15,0.6
URINARY_TRACT,NU7441,15,-0.125
URINARY_TRACT,NVP-ADW742,15,0.4964285714285714
URINARY_TRACT,Navitoclax,15,-0.15714285714285714
URINARY_TRACT,Nilotinib,15,-0.13214285714285715
URINARY_TRACT,Niraparib,14,0.2879120879120879
URINARY_TRACT,Nutlin-3a (-),15,0.3214285714285714
URINARY_TRACT,OF-1,14,0.02417582417582418
URINARY_TRACT,OTX015,14,0.2923076923076923
URINARY_TRACT,Obatoclax Mesylate,14,0.15604395604395604
URINARY_TRACT,Olaparib,15,0.125
URINARY_TRACT,Osimertinib,15,0.5214285714285714
URINARY_TRACT,Oxaliplatin,15,0.3071428571428571
URINARY_TRACT,P22077,15,0.3107142857142856
URINARY_TRACT,PCI-34051,14,0.22637362637362637
URINARY_TRACT,PD0325901,15,0.5678571428571427
URINARY_TRACT,PD173074,15,0.28928571428571426
URINARY_TRACT,PFI-1,15,0.36428571428571427
URINARY_TRACT,PFI3,14,0.2879120879120879
URINARY_TRACT,PLX-4720,15,0.16785714285714282
URINARY_TRACT,PRIMA-1MET,14,-0.15164835164835166
URINARY_TRACT,PRT062607,14,0.45494505494505494
URINARY_TRACT,Paclitaxel,15,0.475
URINARY_TRACT,Palbociclib,15,0.3571428571428571
URINARY_TRACT,Pevonedistat,15,0.15357142857142855
URINARY_TRACT,Picolinici-acid,14,0.1956043956043956
URINARY_TRACT,Pictilisib,15,0.2321428571428571
URINARY_TRACT,Pyridostatin,15,0.27499999999999997
URINARY_TRACT,Refametinib,15,0.5428571428571428
URINARY_TRACT,Ribociclib,14,0.4769230769230769
URINARY_TRACT,Rucaparib,15,0.4892857142857142
URINARY_TRACT,Ruxolitinib,14,0.178021978021978
URINARY_TRACT,SB216763,15,0.38928571428571423
URINARY_TRACT,SCH772984,15,0.557142857142857
URINARY_TRACT,SGC0946,15,0.3214285714285714
URINARY_TRACT,SN-38,14,0.1384615384615385
URINARY_TRACT,Sabutoclax,14,0.4153846153846154
URINARY_TRACT,Sapitinib,15,0.4107142857142856
URINARY_TRACT,Savolitinib,15,0.1714285714285714
URINARY_TRACT,Selumetinib,15,0.3285714285714285
URINARY_TRACT,Sepantronium bromide,15,-0.12857142857142856
URINARY_TRACT,Serdemetan,15,0.32499999999999996
URINARY_TRACT,Sorafenib,15,0.3
URINARY_TRACT,Tamoxifen,15,0.5499999999999999
URINARY_TRACT,Tanespimycin,15,-0.05357142857142857
URINARY_TRACT,Taselisib,15,0.4464285714285714
URINARY_TRACT,Telomerase Inhibitor IX,15,0.1857142857142857
URINARY_TRACT,Temozolomide,15,-0.021428571428571425
URINARY_TRACT,Temsirolimus,15,-0.2678571428571428
URINARY_TRACT,Trametinib,15,0.5392857142857141
URINARY_TRACT,UMI-77,14,0.2351648351648352
URINARY_TRACT,Uprosertib,14,0.6483516483516484
URINARY_TRACT,VE-822,14,0.17362637362637365
URINARY_TRACT,VE821,15,0.6249999999999999
URINARY_TRACT,VX-11e,15,0.4071428571428571
URINARY_TRACT,Veliparib,15,0.2714285714285714
URINARY_TRACT,Venotoclax,15,0.42857142857142855
URINARY_TRACT,Vinblastine,13,0.46703296703296704
URINARY_TRACT,Vinorelbine,15,0.47142857142857136
URINARY_TRACT,Vismodegib,15,-0.039285714285714285
URINARY_TRACT,Vorinostat,15,0.3428571428571428
URINARY_TRACT,WEHI-539,15,-0.11785714285714284
URINARY_TRACT,WIKI4,15,0.22499999999999998
URINARY_TRACT,WZ4003,14,0.44175824175824174
URINARY_TRACT,Wee1 Inhibitor,15,0.25357142857142856
URINARY_TRACT,Wnt-C59,14,0.49890109890109896
URINARY_TRACT,YK-4-279,15,0.3214285714285714
URINARY_TRACT,ZM447439,15,0.1607142857142857
