depmap_id,cell_line_name,ccle_name,tissue,pubchem_id,drug_name,cell_idx,drug_idx,pred_logIC50,true_logIC50,has_true_IC50
ACH-000973,639-V,639V_URINARY_TRACT,URINARY_TRACT,6914657,Daporinad,513,141,-4.519996643066406,,False
ACH-000396,J82,J82_URINARY_TRACT,URINARY_TRACT,6914657,Daporinad,200,141,-3.7083849906921387,,False
ACH-000905,5637,5637_URINARY_TRACT,URINARY_TRACT,6710780,Vinblastine,470,137,-3.453369379043579,,False
ACH-000018,T24,T24_URINARY_TRACT,URINARY_TRACT,6710780,Vinblastine,7,137,-3.3414998054504395,,False
ACH-000905,5637,5637_URINARY_TRACT,URINARY_TRACT,6914657,Daporinad,470,141,-3.127350091934204,,False
ACH-000522,UM-UC-3,UMUC3_URINARY_TRACT,URINARY_TRACT,46926350,Dinaciclib,263,94,-2.905266284942627,,False
ACH-000547,HT-1197,HT1197_URINARY_TRACT,URINARY_TRACT,104842,SN-38,273,8,-2.2064316272735596,,False
ACH-000486,KU-19-19,KU1919_URINARY_TRACT,URINARY_TRACT,6914657,Daporinad,248,141,-2.2017982006073,,False
ACH-000720,TCCSUP,TCCSUP_URINARY_TRACT,URINARY_TRACT,6914657,Daporinad,369,141,-2.1756417751312256,,False
ACH-000973,639-V,639V_URINARY_TRACT,URINARY_TRACT,300471,Elesclomol,513,71,-1.9601356983184814,,False
ACH-000547,HT-1197,HT1197_URINARY_TRACT,URINARY_TRACT,300471,Elesclomol,273,71,-1.9440252780914307,,False
ACH-000142,CAL-29,CAL29_URINARY_TRACT,URINARY_TRACT,6914657,Daporinad,66,141,-1.9243826866149902,,False
ACH-000486,KU-19-19,KU1919_URINARY_TRACT,URINARY_TRACT,300471,Elesclomol,248,71,-1.9185614585876465,,False
ACH-000547,HT-1197,HT1197_URINARY_TRACT,URINARY_TRACT,6914657,Daporinad,273,141,-1.904078722000122,,False
ACH-000522,UM-UC-3,UMUC3_URINARY_TRACT,URINARY_TRACT,300471,Elesclomol,263,71,-1.7865732908248901,,False
ACH-000896,647-V,647V_URINARY_TRACT,URINARY_TRACT,6914657,Daporinad,467,141,-1.6740281581878662,,False
ACH-000384,SW 780,SW780_URINARY_TRACT,URINARY_TRACT,6914657,Daporinad,195,141,-1.6690057516098022,,False
ACH-000473,RT-112,RT112_URINARY_TRACT,URINARY_TRACT,300471,Elesclomol,240,71,-1.6637405157089233,,False
ACH-000802,BFTC-905,BFTC905_URINARY_TRACT,URINARY_TRACT,300471,Elesclomol,411,71,-1.4126999378204346,,False
ACH-000396,J82,J82_URINARY_TRACT,URINARY_TRACT,300471,Elesclomol,200,71,-1.2323800325393677,,False
ACH-000142,CAL-29,CAL29_URINARY_TRACT,URINARY_TRACT,300471,Elesclomol,66,71,-1.2301872968673706,,False
ACH-000384,SW 780,SW780_URINARY_TRACT,URINARY_TRACT,300471,Elesclomol,195,71,-1.1061632633209229,,False
ACH-000905,5637,5637_URINARY_TRACT,URINARY_TRACT,300471,Elesclomol,470,71,-0.9569768905639648,,False
ACH-000566,SW-1710,SW1710_URINARY_TRACT,URINARY_TRACT,300471,Elesclomol,284,71,-0.844185471534729,,False
ACH-000242,RT4,RT4_URINARY_TRACT,URINARY_TRACT,6914657,Daporinad,116,141,-0.8006688356399536,,False
ACH-000547,HT-1197,HT1197_URINARY_TRACT,URINARY_TRACT,25262965,AZD8055,273,66,-0.7933981418609619,,False
ACH-000242,RT4,RT4_URINARY_TRACT,URINARY_TRACT,300471,Elesclomol,116,71,-0.5419886112213135,,False
ACH-000720,TCCSUP,TCCSUP_URINARY_TRACT,URINARY_TRACT,300471,Elesclomol,369,71,-0.43467000126838684,,False
ACH-000896,647-V,647V_URINARY_TRACT,URINARY_TRACT,300471,Elesclomol,467,71,-0.3390512764453888,,False
ACH-000522,UM-UC-3,UMUC3_URINARY_TRACT,URINARY_TRACT,46236925,Sabutoclax,263,89,-0.09600545465946198,,False
ACH-000018,T24,T24_URINARY_TRACT,URINARY_TRACT,25262965,AZD8055,7,66,0.43502870202064514,,False
ACH-000547,HT-1197,HT1197_URINARY_TRACT,URINARY_TRACT,11455910,TW 37,273,16,0.8595174551010132,,False
ACH-000973,639-V,639V_URINARY_TRACT,URINARY_TRACT,11455910,TW 37,513,16,1.0341465473175049,,False
ACH-000973,639-V,639V_URINARY_TRACT,URINARY_TRACT,5494449,Tozasertib,513,119,1.0518548488616943,,False
ACH-000522,UM-UC-3,UMUC3_URINARY_TRACT,URINARY_TRACT,5494449,Tozasertib,263,119,1.0540305376052856,,False
ACH-000018,T24,T24_URINARY_TRACT,URINARY_TRACT,11404337,Obatoclax Mesylate,7,14,1.0677064657211304,,False
ACH-000547,HT-1197,HT1197_URINARY_TRACT,URINARY_TRACT,5494449,Tozasertib,273,119,1.1166855096817017,,False
ACH-000522,UM-UC-3,UMUC3_URINARY_TRACT,URINARY_TRACT,25099184,AZ960,263,62,1.2823573350906372,,False
ACH-000486,KU-19-19,KU1919_URINARY_TRACT,URINARY_TRACT,11455910,TW 37,248,16,1.2831016778945923,,False
ACH-000486,KU-19-19,KU1919_URINARY_TRACT,URINARY_TRACT,5494449,Tozasertib,248,119,1.3759788274765015,,False
ACH-000547,HT-1197,HT1197_URINARY_TRACT,URINARY_TRACT,16095342,GSK269962A,273,36,1.5014808177947998,,False
ACH-000522,UM-UC-3,UMUC3_URINARY_TRACT,URINARY_TRACT,49847690,AZD5582,263,100,1.5775643587112427,,False
ACH-000547,HT-1197,HT1197_URINARY_TRACT,URINARY_TRACT,637858,Piperlongumine,273,133,1.5836992263793945,,False
ACH-000396,J82,J82_URINARY_TRACT,URINARY_TRACT,11455910,TW 37,200,16,1.61471688747406,,False
ACH-000905,5637,5637_URINARY_TRACT,URINARY_TRACT,11455910,TW 37,470,16,1.7363371849060059,,False
ACH-000142,CAL-29,CAL29_URINARY_TRACT,URINARY_TRACT,11455910,TW 37,66,16,1.7367525100708008,,False
ACH-000473,RT-112,RT112_URINARY_TRACT,URINARY_TRACT,637858,Piperlongumine,240,133,1.7371840476989746,,False
ACH-000384,SW 780,SW780_URINARY_TRACT,URINARY_TRACT,11455910,TW 37,195,16,1.7815966606140137,,False
ACH-000547,HT-1197,HT1197_URINARY_TRACT,URINARY_TRACT,10077147,BX795,273,0,1.819888949394226,,False
ACH-000486,KU-19-19,KU1919_URINARY_TRACT,URINARY_TRACT,637858,Piperlongumine,248,133,1.8429622650146484,,False
ACH-000522,UM-UC-3,UMUC3_URINARY_TRACT,URINARY_TRACT,4261,Entinostat,263,79,1.850136637687683,,False
ACH-000018,T24,T24_URINARY_TRACT,URINARY_TRACT,11455910,TW 37,7,16,1.9133284091949463,,False
ACH-000566,SW-1710,SW1710_URINARY_TRACT,URINARY_TRACT,5494449,Tozasertib,284,119,2.065354347229004,,False
ACH-000522,UM-UC-3,UMUC3_URINARY_TRACT,URINARY_TRACT,637858,Piperlongumine,263,133,2.0906081199645996,,False
ACH-000547,HT-1197,HT1197_URINARY_TRACT,URINARY_TRACT,54685215,IOX2,273,117,2.100503444671631,,False
ACH-000547,HT-1197,HT1197_URINARY_TRACT,URINARY_TRACT,6450551,Axitinib,273,135,2.101109266281128,,False
ACH-000547,HT-1197,HT1197_URINARY_TRACT,URINARY_TRACT,44137675,AZD6482,273,82,2.1178739070892334,,False
