model,seed,subset,gdsc_pubchem_id,drug_name,n_pairs,n_cells,spearman,pearson
bandrp_gate,2020,no_gdsc_response,10074640,Masitinib,201,198,0.28550571025476784,0.39534237254947285
bandrp_gate,2020,no_gdsc_response,10127622,Selumetinib,207,204,-0.04274235964424455,0.016888734096293687
bandrp_gate,2020,no_gdsc_response,10184653,Afatinib,192,190,0.06047733350401585,0.0001381286804058847
bandrp_gate,2020,no_gdsc_response,10302451,Saracatinib,214,212,-0.06409939302810023,0.037888714835057125
bandrp_gate,2020,no_gdsc_response,10385095,Telomerase Inhibitor IX,213,211,0.24992999342470773,0.39197935152839275
bandrp_gate,2020,no_gdsc_response,104741,Fulvestrant,44,44,-0.34312956128430083,-0.3433058414785083
bandrp_gate,2020,no_gdsc_response,104842,SN-38,183,181,0.44272129064241006,0.5379832362120782
bandrp_gate,2020,no_gdsc_response,11152667,AZD7762,219,217,0.4528679452443672,0.5415614615563085
bandrp_gate,2020,no_gdsc_response,11175137,AT7867,194,191,0.3816270271894529,0.3870624819580876
bandrp_gate,2020,no_gdsc_response,11178236,Sepantronium bromide,194,193,0.18669703981011787,0.18827190271761035
bandrp_gate,2020,no_gdsc_response,11228183,ABT737,177,175,0.28261323804799937,0.5302200736031589
bandrp_gate,2020,no_gdsc_response,11234052,"Brivanib, BMS-540215",206,203,0.11893945252859564,0.23987575174842163
bandrp_gate,2020,no_gdsc_response,11364421,BI-2536,217,215,0.4855359465419521,0.5127915399238746
bandrp_gate,2020,no_gdsc_response,11455910,TW 37,211,209,0.23864428266902185,0.44169824320444157
bandrp_gate,2020,no_gdsc_response,11485656,Linifanib,208,205,0.3153137204896287,0.32370943458423956
bandrp_gate,2020,no_gdsc_response,11609586,Serdemetan,208,206,0.4948935877972617,0.5916363095925157
bandrp_gate,2020,no_gdsc_response,11625818,Idelalisib,204,201,0.07474149297130409,0.24592018759226092
bandrp_gate,2020,no_gdsc_response,11640390,Linsitinib,197,195,0.2575789834047299,0.29427594306803656
bandrp_gate,2020,no_gdsc_response,11647372,ZSTK474,213,211,0.12717495171111912,0.09116445084119586
bandrp_gate,2020,no_gdsc_response,11707110,Trametinib,98,97,-0.051903588494893904,0.03854853776933776
bandrp_gate,2020,no_gdsc_response,11960529,Veliparib,212,210,0.06793694448990922,0.07327870304102639
bandrp_gate,2020,no_gdsc_response,11977753,Dactolisib,149,147,0.16336325659968212,0.29823529072923666
bandrp_gate,2020,no_gdsc_response,123631,Gefitinib,214,212,0.03506923356838533,-0.04757151485422655
bandrp_gate,2020,no_gdsc_response,126941,Methotrexate,175,173,0.1289082665197795,0.23788298523513332
bandrp_gate,2020,no_gdsc_response,135423438,BIBF-1120,177,176,0.2175703139061665,0.3600053725795837
bandrp_gate,2020,no_gdsc_response,148124,Docetaxel,98,97,0.4931574098597885,0.4539164577721299
bandrp_gate,2020,no_gdsc_response,156414,CI-1033,206,203,0.17037850800551094,0.1387658756149459
bandrp_gate,2020,no_gdsc_response,159324,Tipifarnib,272,208,0.3549921619589156,0.4652168077589416
bandrp_gate,2020,no_gdsc_response,15953870,KU-60019,197,194,0.31678742293155193,0.4096213114740259
bandrp_gate,2020,no_gdsc_response,16038120,NVP-TAE684,205,202,0.1729939497945495,0.24102646181691678
bandrp_gate,2020,no_gdsc_response,16659841,AZD1480,104,103,0.3641470331182699,0.4386328797300324
bandrp_gate,2020,no_gdsc_response,16722836,Fedratinib,203,201,0.41365712166746765,0.4985382593225826
bandrp_gate,2020,no_gdsc_response,17755052,Pictilisib,212,210,0.09127353218073768,0.16359838686645858
bandrp_gate,2020,no_gdsc_response,208908,Lapatinib,198,196,0.1334664403384192,0.03703473628595638
bandrp_gate,2020,no_gdsc_response,2130404,AGK2,182,180,-0.026801911995807226,-0.002491046530415398
bandrp_gate,2020,no_gdsc_response,216239,Sorafenib,219,216,0.265301325299561,0.3362681693060657
bandrp_gate,2020,no_gdsc_response,227681,MIRA-1,126,126,0.363702982322962,0.4828610442601933
bandrp_gate,2020,no_gdsc_response,23582824,GSK1059615,133,131,0.054735859499314685,0.08433791427035839
bandrp_gate,2020,no_gdsc_response,23725625,Olaparib,215,212,0.3949960470351389,0.4499370642203085
bandrp_gate,2020,no_gdsc_response,24180719,PLX-4720,216,214,0.11573350233012325,0.07539992646632102
bandrp_gate,2020,no_gdsc_response,24771867,Alisertib,204,201,0.38323941564026504,0.557979188595718
bandrp_gate,2020,no_gdsc_response,24772860,SNX-2112,216,214,0.4398401146478314,0.5018292876715524
bandrp_gate,2020,no_gdsc_response,24785538,BMS-754807,207,204,0.10391279171240878,0.13328484905487978
bandrp_gate,2020,no_gdsc_response,24821094,Ibrutinib,141,139,0.10019500020357772,0.11054176935661254
bandrp_gate,2020,no_gdsc_response,24856436,MK-1775,194,192,0.37978936019157117,0.4725520134390192
bandrp_gate,2020,no_gdsc_response,24889392,Quizartinib,208,205,0.1714415795910442,0.32576163083138504
bandrp_gate,2020,no_gdsc_response,24978538,Navitoclax,201,199,0.2631490775258374,0.4543217024058472
bandrp_gate,2020,no_gdsc_response,25102847,Cabozantinib,179,176,0.21202510622675796,0.30486900939200295
bandrp_gate,2020,no_gdsc_response,25126798,Ruxolitinib,217,214,0.3948776935905114,0.4965993599848502
bandrp_gate,2020,no_gdsc_response,25262965,AZD8055,226,223,0.2693984141477415,0.3168755317755182
bandrp_gate,2020,no_gdsc_response,2907,Cyclophosphamide,106,105,0.026196540575222593,0.0386237559047017
bandrp_gate,2020,no_gdsc_response,3011155,Nelarabine,198,196,-0.030346318343716743,0.09503616658422745
bandrp_gate,2020,no_gdsc_response,3062316,Dasatinib,210,207,0.040405231481035635,0.06994226172127678
bandrp_gate,2020,no_gdsc_response,3385,5-Fluorouracil,203,201,0.3344393204903339,0.3816980717904483
bandrp_gate,2020,no_gdsc_response,36314,Paclitaxel,153,152,0.5297627922794828,0.5519252209184246
bandrp_gate,2020,no_gdsc_response,387447,Bortezomib,202,200,0.34322208022935957,0.2942071540071597
bandrp_gate,2020,no_gdsc_response,4261,Entinostat,184,182,0.5085324166337528,0.6127773373676155
bandrp_gate,2020,no_gdsc_response,42642645,Foretinib,214,211,0.27794962939755014,0.40498745791410085
bandrp_gate,2020,no_gdsc_response,44137675,AZD6482,218,216,0.03388144101819794,0.1373388432165039
bandrp_gate,2020,no_gdsc_response,44259,Staurosporine,66,66,-0.0046134897645787945,-0.10698372287370667
bandrp_gate,2020,no_gdsc_response,44462760,Dabrafenib,100,99,0.209542527719761,0.27917935943873123
bandrp_gate,2020,no_gdsc_response,444795,Tretinoin,214,211,0.40582103044619167,0.4724760834864273
bandrp_gate,2020,no_gdsc_response,452548,Teniposide,111,110,0.5179712968203617,0.6193554793771946
bandrp_gate,2020,no_gdsc_response,46191454,PHA-793887,218,215,0.4658390992589393,0.4958234876112615
bandrp_gate,2020,no_gdsc_response,46224516,UNC0638,204,202,0.23625406367128188,0.2734495396655911
bandrp_gate,2020,no_gdsc_response,462382,MG-132,74,73,0.227650704565327,0.23341474497245443
bandrp_gate,2020,no_gdsc_response,46843906,XMD11-50,140,138,0.5265762387205438,0.6674666049733461
bandrp_gate,2020,no_gdsc_response,46926350,Dinaciclib,86,85,0.5278953153288384,0.4998562427638435
bandrp_gate,2020,no_gdsc_response,46930998,MK-2206,203,200,0.3147419402850404,0.4667587918288326
bandrp_gate,2020,no_gdsc_response,46943432,I-BET-762,213,210,0.39960747649998124,0.5298128052563118
bandrp_gate,2020,no_gdsc_response,49846579,Venotoclax,110,109,0.36990070813867254,0.5799023297080281
bandrp_gate,2020,no_gdsc_response,51039095,AZD4547,172,170,0.31647966794236937,0.21253431181245394
bandrp_gate,2020,no_gdsc_response,5113032,Selisistat,199,196,0.05730581208405468,0.06790722285349328
bandrp_gate,2020,no_gdsc_response,5278396,KU-55933,210,207,0.269847651078368,0.3268948013675508
bandrp_gate,2020,no_gdsc_response,5284616,Rapamycin,200,198,0.3032030370412822,0.4639403834665023
bandrp_gate,2020,no_gdsc_response,5287969,Flavopiridol,104,104,0.5574309185959672,0.49188933077389635
bandrp_gate,2020,no_gdsc_response,5291,Imatinib,210,207,0.2559515785161349,0.3629050333110734
bandrp_gate,2020,no_gdsc_response,52918385,PRIMA-1MET,97,96,0.17273622640073485,0.45101519117527494
bandrp_gate,2020,no_gdsc_response,5311,Vorinostat,212,209,0.5062114900997828,0.511739633310914
bandrp_gate,2020,no_gdsc_response,5328940,Bosutinib,178,175,0.21448037215663623,0.37510861384166566
bandrp_gate,2020,no_gdsc_response,5329102,Sunitinib,213,210,0.41980736543927555,0.4179445056364777
bandrp_gate,2020,no_gdsc_response,5394,Temozolomide,203,202,0.21961941726287423,0.25941882298141467
bandrp_gate,2020,no_gdsc_response,5494449,Tozasertib,31,31,0.530241935483871,0.7375767263460413
bandrp_gate,2020,no_gdsc_response,56649450,Alpelisib,127,125,-0.018768244259623586,0.022322428179197325
bandrp_gate,2020,no_gdsc_response,5746,Mitomycin-C,189,188,0.6015022491967431,0.604440062066749
bandrp_gate,2020,no_gdsc_response,5978,Vincristine,225,222,0.595293505366186,0.6465229757691929
bandrp_gate,2020,no_gdsc_response,637858,Piperlongumine,211,209,0.4776122167615044,0.6514310381476273
bandrp_gate,2020,no_gdsc_response,644241,Nilotinib,198,195,0.163298324737417,0.33045744466390536
bandrp_gate,2020,no_gdsc_response,6450551,Axitinib,216,214,0.42466668532834323,0.4824210238989577
bandrp_gate,2020,no_gdsc_response,6505803,Tanespimycin,189,186,-0.04065932649800956,-0.03721362959560702
bandrp_gate,2020,no_gdsc_response,66577038,Sphingosine Kinase 1 Inhibitor II,213,210,0.1412303356502354,0.15746196105894308
bandrp_gate,2020,no_gdsc_response,6852167,PIK-93,213,211,0.2594092873113815,0.4395136345981405
bandrp_gate,2020,no_gdsc_response,6914657,Daporinad,180,178,0.29699831217275235,0.3941173303956149
bandrp_gate,2020,no_gdsc_response,6918289,Temsirolimus,116,115,0.19703030245111386,0.4450194302827884
bandrp_gate,2020,no_gdsc_response,6918638,Belinostat,108,107,0.5450392624346497,0.692291778627759
bandrp_gate,2020,no_gdsc_response,6918837,Panobinostat,222,219,0.5309543153863158,0.5389586052678683
bandrp_gate,2020,no_gdsc_response,71729975,GSK-J4,30,30,0.5181312569521692,0.6401578293274728
bandrp_gate,2020,no_gdsc_response,82146,Bexarotene,202,199,0.20000938363356238,0.3696524191452557
bandrp_gate,2020,no_gdsc_response,9444,5-azacytidine,185,183,0.19035894964080444,0.25525663692586276
bandrp_gate,2020,no_gdsc_response,9549297,SU11274,184,181,0.2873159895676719,0.5592611680261486
bandrp_gate,2020,no_gdsc_response,9825149,NVP-ADW742,202,200,0.2427007352406554,0.3509563503236113
bandrp_gate,2020,no_gdsc_response,9826308,GW843682X,195,193,0.40041084018680045,0.5444583023589186
bandrp_gate,2020,no_gdsc_response,9868037,OSI-930,152,150,0.40736681059978785,0.5782736569020865
bandrp_gate,2020,no_gdsc_response,9884685,PI-103,208,206,0.19861108932518362,0.3091758329552608
bandrp_gate,2020,no_gdsc_response,9903786,TPCA-1,216,213,0.23831299527534944,0.2776644595144694
bandrp_gate,2020,no_gdsc_response,9907093,TGX221,210,207,-0.011692019028180858,0.08693813458467445
bandrp_gate,2020,no_gdsc_response,9908783,IC-87114,208,205,0.03766237783012829,0.19729539701506615
bandrp_gate,2020,no_gdsc_response,9911830,Tivozanib,193,191,0.15503139037492772,0.23739460916331584
bandrp_gate,2020,no_gdsc_response,9927531,BIBR-1532,207,205,0.1570287909044808,0.2709046017662182
bandrp_gate,2020,no_gdsc_response,9933475,Cediranib,94,94,-0.004255319148936169,0.07052659837309788
bandrp_gate,2020,no_gdsc_response,9956119,CHIR-99021,205,203,0.2963975871697647,0.5356240953510962
bandrp_gate,2020,no_gdsc_response,9967941,SB52334,203,200,0.1294297654254184,0.15560161402284667
bandrp_gate,2021,no_gdsc_response,10074640,Masitinib,201,198,0.28380037365213273,0.4034068700073741
bandrp_gate,2021,no_gdsc_response,10127622,Selumetinib,207,204,-0.10540959680434088,0.018425222950888068
bandrp_gate,2021,no_gdsc_response,10184653,Afatinib,192,190,-0.048019057065246167,-0.10405356396911664
bandrp_gate,2021,no_gdsc_response,10302451,Saracatinib,214,212,-0.0404033663247602,0.05705377312894878
bandrp_gate,2021,no_gdsc_response,10385095,Telomerase Inhibitor IX,213,211,0.46429354207202334,0.4789106779036595
bandrp_gate,2021,no_gdsc_response,104741,Fulvestrant,44,44,-0.3835600031136046,-0.37851762448498794
bandrp_gate,2021,no_gdsc_response,104842,SN-38,183,181,0.4971886158279934,0.553299077300643
bandrp_gate,2021,no_gdsc_response,11152667,AZD7762,219,217,0.47625388523199763,0.5385699467631974
bandrp_gate,2021,no_gdsc_response,11175137,AT7867,194,191,0.39999227522262754,0.3820659770414254
bandrp_gate,2021,no_gdsc_response,11178236,Sepantronium bromide,194,193,0.1540656334374253,0.2376766073017501
bandrp_gate,2021,no_gdsc_response,11228183,ABT737,177,175,0.3235043011906081,0.5236303695007876
bandrp_gate,2021,no_gdsc_response,11234052,"Brivanib, BMS-540215",206,203,0.33218566652288334,0.37798867358845967
bandrp_gate,2021,no_gdsc_response,11364421,BI-2536,217,215,0.5752180691304356,0.5711844560051553
bandrp_gate,2021,no_gdsc_response,11455910,TW 37,211,209,0.35661101318648086,0.45104808792971546
bandrp_gate,2021,no_gdsc_response,11485656,Linifanib,208,205,0.2781803361488807,0.30435804887048246
bandrp_gate,2021,no_gdsc_response,11609586,Serdemetan,208,206,0.41773698960057454,0.5449258430146482
bandrp_gate,2021,no_gdsc_response,11625818,Idelalisib,204,201,0.07071577672986612,0.24617684225330846
bandrp_gate,2021,no_gdsc_response,11640390,Linsitinib,197,195,0.21289706707993353,0.2613550306828573
bandrp_gate,2021,no_gdsc_response,11647372,ZSTK474,213,211,-0.024702074381048728,-0.09914142097013569
bandrp_gate,2021,no_gdsc_response,11707110,Trametinib,98,97,0.0174754619904808,0.07049956968479583
