pharmacodb_compound_id,compound_uid,ctrp_compound_name,ctrp_pubchem,ctrp_inchikey,ctrp_smiles,gdsc_pubchem_id,gdsc_drug_name,gdsc_inchikey,match_type
23375,PDBC00173,5-Fluorouracil,3385,,,3385,5-Fluorouracil,GHASVSINZRGABV-UHFFFAOYSA-N,pubchem
27431,PDBC00418,AGK-2,2130404,,,2130404,AGK2,SVENPFFEMUOOGK-UHFFFAOYSA-N,pubchem
27666,PDBC02016,AT7867,11175137,,,11175137,AT7867,LZMOSYUFVYJEPY-UHFFFAOYSA-N,pubchem
27715,PDBC00054,AZD6482,44137675,,,44137675,AZD6482,IRTDIKMSKMREGO-UHFFFAOYSA-N,pubchem
27717,PDBC00022,AZD7762,11152667,,,11152667,AZD7762,IAYGCINLNONXHY-UHFFFAOYSA-N,pubchem
27719,PDBC00049,AZD8055,25262965,,,25262965,AZD8055,KVLFRAWTRWDEDF-UHFFFAOYSA-N,pubchem
27732,PDBC00466,Abt-737,11228183,,,11228183,ABT737,HPLNQCPCUACXLM-UHFFFAOYSA-N,pubchem
27929,PDBC00462,Adavosertib,24856436,,,24856436,MK-1775,BKWJAKQVGHWELA-UHFFFAOYSA-N,pubchem
27954,PDBC00031,Afatinib,10184653,,,10184653,Afatinib,ULXXDDBFHOBEHA-UHFFFAOYSA-N,pubchem
27991,PDBC01880,Alisertib,24771867,,,24771867,Alisertib,ZLHFILGSQDJULK-UHFFFAOYSA-N,pubchem
28453,PDBC00021,Axitinib,6450551,,,6450551,Axitinib,RITAVMQDGBJQJZ-UHFFFAOYSA-N,pubchem
28457,PDBC00695,Azacitidine,9444,,,9444,5-azacytidine,NMUSYJAQQFHJEW-UHFFFAOYSA-N,pubchem
28514,PDBC01967,Azd4547,51039095,,,51039095,AZD4547,VRQMAABPASPXMW-UHFFFAOYSA-N,pubchem
28595,PDBC00127,BI-2536,11364421,,,11364421,BI-2536,XQVVPGYIWAGRNI-UHFFFAOYSA-N,pubchem
