model,seed,subset,n_pairs,n_cells,n_drugs_total,n_drugs_eligible,macro_spearman,median_spearman,macro_pearson,min_cells_per_drug
bandrp_gate,2020,no_gdsc_response,20263,229,112,112,0.255924985841334,0.2567652809604324,0.33406757878644405,10
bandrp_gate,2021,no_gdsc_response,20263,229,112,112,0.269009532399134,0.29863025471017957,0.33776760786348436,10
bandrp_gate,2022,no_gdsc_response,20263,229,112,112,0.23150931139269318,0.25447863019177663,0.315033104008568,10
bandrp_gate,2023,no_gdsc_response,20263,229,112,112,0.24000424510461352,0.2790507307722586,0.34364136312557575,10
bandrp_gate,2024,no_gdsc_response,20263,229,112,112,0.2487917116152271,0.24671215494552745,0.31074011678043406,10
bcgdrp,2020,no_gdsc_response,20263,229,112,112,0.2745392148745219,0.2903889996998379,0.3358356671797043,10
bcgdrp,2021,no_gdsc_response,20263,229,112,112,0.28237670522734093,0.29570322694712614,0.34660706816520304,10
bcgdrp,2022,no_gdsc_response,20263,229,112,112,0.2593790770423243,0.28362887094299694,0.312358612480718,10
bcgdrp,2023,no_gdsc_response,20263,229,112,112,0.2626470784603281,0.28359111996055114,0.3194099966617416,10
bcgdrp,2024,no_gdsc_response,20263,229,112,112,0.2424476207707981,0.2674293394531343,0.3046155004262468,10
