epoch,train_mse,val_mse,test_mse
0,2.828185558319092,2.6610615253448486,2.789340019226074
1,2.4210643768310547,2.2877626419067383,2.3043224811553955
2,2.3347671031951904,2.3618669509887695,2.445244550704956
3,2.3129069805145264,2.5883355140686035,2.6523396968841553
4,2.2779080867767334,2.4630491733551025,2.511427879333496
5,2.1889891624450684,2.3025307655334473,2.274242639541626
6,2.2358906269073486,2.3002588748931885,2.318709373474121
7,2.179032802581787,2.3078408241271973,2.30269455909729
8,2.1120307445526123,2.285407304763794,2.24115252494812
9,2.405101776123047,2.625394344329834,2.893218994140625
10,2.407921552658081,2.613337755203247,2.8739066123962402
11,2.3838279247283936,2.517487049102783,2.7644031047821045
12,2.3871657848358154,2.563187837600708,2.771824836730957
13,2.4058213233947754,2.6138288974761963,2.8003063201904297
14,2.364790201187134,2.4295451641082764,2.5589420795440674
15,2.302924871444702,2.5443241596221924,2.806766986846924
16,2.4119389057159424,2.587296724319458,2.8837475776672363
17,2.3898396492004395,2.583346128463745,2.887087821960449
18,2.386681079864502,2.562058687210083,2.8599424362182617
19,2.3830888271331787,2.5850353240966797,2.8657474517822266
20,2.3979148864746094,2.5892856121063232,2.849226951599121
21,2.37188458442688,2.465160608291626,2.7383201122283936
22,2.416623115539551,2.490062713623047,2.6815755367279053
23,2.4116108417510986,2.5303471088409424,2.73457670211792
24,2.279723882675171,2.344606399536133,2.414006233215332
25,2.2003533840179443,2.3417224884033203,2.418334722518921
26,2.2166404724121094,2.365007162094116,2.3851661682128906
27,2.251415729522705,2.2694249153137207,2.380966901779175
28,2.225294351577759,2.362778902053833,2.4459214210510254
29,2.168164014816284,2.252509593963623,2.324554443359375
30,2.148484945297241,2.248516082763672,2.3031115531921387
31,2.1156413555145264,2.350567102432251,2.314379930496216
32,2.154398202896118,2.44313907623291,2.574716329574585
33,2.179133415222168,2.2012939453125,2.280694007873535
34,2.0890002250671387,2.152047872543335,2.2390780448913574
35,2.0842678546905518,2.272034168243408,2.268428325653076
36,2.079313278198242,2.19193959236145,2.263296604156494
37,2.1038711071014404,2.285706043243408,2.3121325969696045
38,2.163583993911743,2.206549644470215,2.274895668029785
39,2.0876975059509277,2.355591058731079,2.3076562881469727
40,2.1355080604553223,2.2426085472106934,2.2276060581207275
41,2.1076059341430664,2.2244882583618164,2.2801828384399414
42,2.094376802444458,2.2344865798950195,2.2488913536071777
43,2.1243481636047363,2.1437246799468994,2.1815621852874756
44,2.1433095932006836,2.3829805850982666,2.3073689937591553
45,2.1269290447235107,2.3089187145233154,2.2275447845458984
46,2.114312171936035,2.311060667037964,2.3591091632843018
47,2.134289026260376,2.2160348892211914,2.2380616664886475
48,2.13873028755188,2.1831812858581543,2.3107423782348633
49,2.4865293502807617,2.532822608947754,2.7307546138763428
50,2.2494678497314453,2.287475109100342,2.415781259536743
51,2.1501972675323486,2.3581161499023438,2.3909225463867188
52,2.092022180557251,2.423232316970825,2.467689037322998
53,2.10490083694458,2.2153987884521484,2.2066266536712646
54,2.071636199951172,2.2073581218719482,2.236754894256592
55,2.0633206367492676,2.2071704864501953,2.229872226715088
56,2.0459508895874023,2.298266649246216,2.3528032302856445
57,2.0495338439941406,2.1577117443084717,2.203286647796631
58,2.0876073837280273,2.3287057876586914,2.429699182510376
59,2.2436583042144775,2.277912139892578,2.393449306488037
60,2.190174102783203,2.2512905597686768,2.3057429790496826
61,2.1035244464874268,2.3684065341949463,2.388791561126709
62,2.082876205444336,2.2872960567474365,2.32427716255188
63,2.069815158843994,2.1403794288635254,2.1427717208862305
64,2.0862066745758057,2.1795542240142822,2.195791721343994
65,2.0329740047454834,2.226926803588867,2.2495241165161133
66,2.1468002796173096,2.342406988143921,2.425090789794922
67,2.124668836593628,2.2596089839935303,2.3235225677490234
68,2.0810866355895996,2.311286449432373,2.2444474697113037
69,2.0438268184661865,2.1368932723999023,2.13812255859375
70,2.080915927886963,2.251093864440918,2.217341661453247
71,2.027592182159424,2.2425053119659424,2.231201171875
72,2.0288076400756836,2.221881151199341,2.165670871734619
73,2.0006306171417236,2.2664670944213867,2.3163394927978516
74,2.0503833293914795,2.2940571308135986,2.3140439987182617
75,2.0095319747924805,2.2805659770965576,2.276250123977661
76,2.0091681480407715,2.2017993927001953,2.2195725440979004
77,2.035062551498413,2.2658238410949707,2.2482428550720215
78,2.1173648834228516,2.300718069076538,2.388786554336548
79,2.0242209434509277,2.2142560482025146,2.178306818008423
