depmap_id,x,y,tissue,cell_line,primary_split,n_drugs
ACH-000655,-8.956083,-14.49319,CENTRAL_NERVOUS_SYSTEM,SF268,train or val,154
ACH-000403,-9.012995,10.90751,LARGE_INTESTINE,NCIH747,held out,155
ACH-000007,-5.3930106,19.94432,LARGE_INTESTINE,LS513,train or val,115
ACH-000680,-5.321552,18.072163,LARGE_INTESTINE,SW948,train or val,156
ACH-000776,-7.729752,-4.1214046,CENTRAL_NERVOUS_SYSTEM,ONS76,train or val,155
ACH-000475,-6.4743896,8.255991,LIVER,HUH1,train or val,154
ACH-000969,-3.121839,15.008559,LARGE_INTESTINE,KM12,train or val,155
ACH-000983,20.829554,-2.4035592,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,KCL22,train or val,154
ACH-000372,30.623146,-2.3504286,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,P12ICHIKAWA,held out,132
ACH-000226,14.538708,-0.92014587,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,SUPM2,train or val,152
ACH-000457,-10.843891,-0.07562544,KIDNEY,CAL54,train or val,156
ACH-000476,-8.395796,-3.684695,LIVER,JHH4,train or val,154
ACH-000881,-4.212064,-11.528897,SKIN,MELJUSO,train or val,154
ACH-000835,-4.4393034,-12.049375,SOFT_TISSUE,GCT,train or val,154
ACH-000396,-8.463088,-11.124223,URINARY_TRACT,J82,train or val,154
ACH-000132,-9.092658,6.6456604,OVARY,JHOS2,train or val,159
ACH-000958,-4.362629,8.435664,LARGE_INTESTINE,SW48,held out,152
ACH-000696,-5.213146,-5.9409847,OVARY,OVCAR8,train or val,154
ACH-000365,36.972855,7.7079325,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,SUDHL4,train or val,160
ACH-000292,-3.3073323,-8.064987,LUNG,NCIH841,train or val,150
ACH-000171,-6.7219515,-3.2104788,KIDNEY,VMRCRCZ,held out,156
ACH-000111,-3.6327384,-1.1047219,BREAST,HCC1187,train or val,157
ACH-000350,-8.518479,8.876142,LARGE_INTESTINE,COLO678,train or val,155
ACH-000348,-8.824182,-17.414782,SKIN,RPMI7951,train or val,154
ACH-000211,-6.413787,-15.101357,CENTRAL_NERVOUS_SYSTEM,DAOY,held out,153
ACH-000560,3.9234288,-2.2961316,STOMACH,ECC10,train or val,156
ACH-000903,-8.938266,-9.85,THYROID,FTC133,held out,149
ACH-000207,-10.643892,8.193531,UPPER_AERODIGESTIVE_TRACT,DETROIT562,train or val,154
ACH-000644,-6.351382,-11.929434,SKIN,COLO829,train or val,153
ACH-000258,4.8730206,4.852904,BREAST,DU4475,train or val,156
ACH-000910,-3.2343347,7.2565856,BREAST,MDAMB453,train or val,160
ACH-000139,-6.768266,11.354001,PANCREAS,PANC0327,train or val,124
ACH-000532,-7.723698,21.469284,LARGE_INTESTINE,SNU61,train or val,143
ACH-000345,6.521425,-16.640514,AUTONOMIC_GANGLIA,KPNRTBM1,train or val,160
ACH-000257,5.8959513,-3.110339,LUNG,CORL279,train or val,121
ACH-000621,-5.2967014,-12.609972,BREAST,MDAMB157,train or val,160
ACH-000330,-2.3550344,11.532333,BREAST,EFM19,train or val,160
ACH-000489,-6.874823,19.294563,LARGE_INTESTINE,SW1116,train or val,157
ACH-000117,-5.9933534,12.137005,BREAST,EFM192A,train or val,156
ACH-000440,37.854862,2.1651483,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,CA46,train or val,154
ACH-000927,-4.3585443,10.138545,BREAST,BT474,held out,158
ACH-000323,-8.694133,-19.103693,CENTRAL_NERVOUS_SYSTEM,42MGBA,train or val,154
ACH-000640,-6.7773814,-14.32057,SKIN,SKMEL31,train or val,160
ACH-000978,1.423701,-5.2915006,ENDOMETRIUM,EN,train or val,156
ACH-000135,-11.685245,-16.52687,FIBROBLAST,HS940T,train or val,160
ACH-000376,-7.900257,-14.017437,CENTRAL_NERVOUS_SYSTEM,SF295,train or val,160
ACH-000950,-5.7188683,10.888973,LARGE_INTESTINE,LOVO,train or val,157
ACH-000814,-6.4808655,-17.504028,SKIN,HS939T,train or val,160
ACH-000716,-4.8805594,-9.621443,THYROID,TT2609C02,train or val,154
ACH-000040,-9.187116,-20.51892,CENTRAL_NERVOUS_SYSTEM,U118MG,train or val,154
ACH-000201,-4.917562,-10.500621,SOFT_TISSUE,A204,train or val,154
ACH-000817,18.361197,7.8248844,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,RPMI8226,train or val,154
ACH-000637,-9.708259,0.08347129,OESOPHAGUS,KYSE520,train or val,154
ACH-000162,38.824303,3.9437242,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,GA10,held out,154
ACH-001016,-9.200929,-15.963978,CENTRAL_NERVOUS_SYSTEM,BECKER,train or val,156
ACH-000880,-8.691571,9.492182,STOMACH,AGS,train or val,154
ACH-000486,-8.155592,3.220398,URINARY_TRACT,KU1919,train or val,154
ACH-000974,-6.6400514,4.114813,ENDOMETRIUM,SNGM,held out,156
ACH-000748,-8.596815,-19.481539,BONE,SJSA1,train or val,123
ACH-000501,-8.353574,10.855863,LARGE_INTESTINE,LS123,train or val,157
ACH-000613,-6.443061,-11.617234,BONE,HOS,train or val,156
ACH-000504,-10.378649,-19.223398,CENTRAL_NERVOUS_SYSTEM,SNB75,train or val,160
ACH-000002,22.764523,10.929472,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,HL60,train or val,154
ACH-000144,-8.401197,2.34313,STOMACH,RERFGC1B,train or val,154
ACH-000714,16.651028,-2.185494,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,KMS11,train or val,160
ACH-000976,-6.525821,10.30449,BILIARY_TRACT,HUCCT1,held out,156
ACH-000196,-2.8173728,7.3913407,BREAST,HCC1599,train or val,162
ACH-000874,30.757826,9.467398,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,RS411,train or val,153
ACH-000269,-3.3090332,-11.80142,CENTRAL_NERVOUS_SYSTEM,AM38,train or val,154
ACH-000668,-10.046307,9.144966,BREAST,HCC70,train or val,160
ACH-000212,-6.9192743,-3.3124723,BREAST,CAL120,train or val,158
ACH-000720,-9.1057005,-8.599369,URINARY_TRACT,TCCSUP,train or val,154
ACH-001190,-3.310627,-9.465326,SKIN,SKMEL2,train or val,150
ACH-000546,-10.506687,6.56803,UPPER_AERODIGESTIVE_TRACT,HSC4,train or val,154
ACH-000947,-1.163152,-2.7551951,OVARY,OVK18,train or val,161
ACH-000893,-11.173822,-1.620847,LUNG,NCIH1651,train or val,156
ACH-000177,1.864846,2.3799696,PROSTATE,NCIH660,train or val,160
ACH-000656,36.525154,3.0411587,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,SUDHL8,train or val,152
ACH-000464,-9.132579,-14.914096,CENTRAL_NERVOUS_SYSTEM,CAS1,train or val,153
ACH-000035,-12.126176,2.7633307,LUNG,NCIH1650,held out,154
ACH-000298,3.755765,1.8869938,LUNG,NCIH2029,train or val,162
ACH-000482,-10.244372,11.361301,LUNG,RERFLCKJ,train or val,154
ACH-000906,-5.370036,-9.149564,OVARY,ES2,train or val,153
ACH-000648,-5.6701746,0.63727343,PLEURA,NCIH28,train or val,156
ACH-000703,7.3997045,-4.9015164,LUNG,DMS79,train or val,161
ACH-000221,1.9147463,-10.887766,LIVER,SNU398,train or val,154
ACH-000702,18.898186,-3.3437753,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,L1236,train or val,156
ACH-000855,-8.023023,7.825199,OESOPHAGUS,KYSE150,train or val,120
ACH-000075,-8.234833,-15.716268,CENTRAL_NERVOUS_SYSTEM,U87MG,train or val,133
ACH-000441,-5.2652674,-11.573502,SKIN,SH4,train or val,156
ACH-000698,1.6025667,4.776398,LUNG,DMS53,train or val,154
ACH-000244,-10.221032,-22.871403,CENTRAL_NERVOUS_SYSTEM,DKMG,train or val,154
ACH-000349,-2.1225915,5.884699,BREAST,HCC1500,train or val,152
ACH-000429,-4.8062873,8.571781,KIDNEY,A704,train or val,154
ACH-000528,-9.864579,7.7971873,LUNG,ABC1,train or val,160
ACH-000562,-6.9884124,11.3248825,LUNG,HCC78,train or val,156
ACH-000643,-8.172898,11.301398,BREAST,HDQP1,train or val,158
ACH-000358,5.409484,-4.197322,LUNG,NCIH69,train or val,121
ACH-000242,-5.601086,12.159505,URINARY_TRACT,RT4,train or val,154
ACH-000416,-5.146018,-2.8335686,LUNG,NCIH838,train or val,160
