pubchem_id,x,y,drug_name,target_pathway,n_cells,response_sd,response_mean
126565,-0.15811583,16.009739,Lestaurtinib,"Other, kinases",525,1.6499132333139925,0.043207603809523806
176158,1.3232008,14.673881,SB216763,WNT signaling,531,1.0825850430591468,5.221709570621469
6505803,-3.604208,22.313326,Tanespimycin,Protein stability and degradation,525,1.6165738035171093,0.0012888495238095202
5311497,15.632266,10.704506,Vinorelbine,Mitosis,528,2.167742615740959,-2.8420215189393945
11667893,8.124234,-6.1716256,Motesanib,RTK signaling,525,1.0825812902673406,5.587259744761905
5278396,-7.8234186,15.197373,KU-55933,Genome integrity,530,1.1478230137780738,5.093651818867924
300471,13.307102,-6.6768727,Elesclomol,Protein stability and degradation,103,2.095260161676235,-1.5940641262135922
10184653,-13.935111,0.23993519,Afatinib,EGFR signaling,533,1.4981514659166781,1.6766358649155724
24776445,8.305304,-9.51088,Vismodegib,Other,525,1.0146060308326572,5.00189903047619
24180719,-5.655911,-5.774674,PLX-4720,ERK MAPK signaling,531,1.4825168233489623,4.3119277645951035
10077147,-3.3440437,-1.1844605,BX795,"Other, kinases",103,1.2386184276460854,2.7213450970873785
11327430,-7.2875805,14.820492,NU7441,Genome integrity,522,1.3730764478133992,3.198179804597701
10459196,-3.4135249,17.44415,SL0101,"Other, kinases",103,0.8509347070532269,4.734175941747572
16720766,-10.72585,-13.835224,Pevonedistat,Other,528,2.1524463180552433,0.9053276117424242
11488320,-12.308876,-1.1364087,AZD8931,RTK signaling,533,1.6826522658273981,3.8192352701688557
156422,-11.084106,4.659623,Doramapimod,JNK and p38 signaling,530,1.1269835873645515,5.068710203773585
11624601,-0.92657655,-3.5483823,JNK Inhibitor VIII,JNK and p38 signaling,526,0.9810258301310398,5.177809085551331
51042438,0.2345497,-13.119945,Uprosertib,PI3K/MTOR signaling,499,1.6098008490205074,2.9061626713426856
24737642,-6.0986,-10.311858,LCL161,Apoptosis regulation,495,1.1817546916412802,4.822024593939394
10384072,2.4396741,15.1142235,Wee1 Inhibitor,Cell cycle,527,1.5389723341880666,2.0833480872865273
11433190,-9.641995,-5.069417,Nutlin-3a (-),p53 pathway,535,1.7839712962929815,4.57391141682243
208908,-15.375592,-0.34947008,Lapatinib,RTK signaling,533,1.6242965971626666,3.3013353564727947
1401,-2.5472157,-3.4880593,PD173074,RTK signaling,534,1.3836177332348827,3.881105822097378
9914412,-12.440008,2.9963622,ZM447439,Mitosis,522,1.7423899267553202,2.6872202681992334
24771867,-6.009752,-2.4901674,Alisertib,Mitosis,524,2.2905448859605553,1.766311322519084
56649450,-4.6102376,-11.115621,Alpelisib,PI3K/MTOR signaling,533,1.444176679555568,3.5349391669793624
46930998,0.6739789,10.572491,MK-2206,PI3K/MTOR signaling,535,1.5266433336311234,2.8022890299065417
5330286,-3.8570783,3.3993719,Palbociclib,Cell cycle,535,1.640540874227311,3.5713526112149534
51001932,-15.550035,14.274713,Taselisib,PI3K/MTOR signaling,534,1.7015702319371557,1.8785566629213482
57345410,-14.331266,-12.6191435,EPZ5676,Chromatin histone methylation,531,1.0662283674179012,5.614330316384181
11977753,-2.3881848,7.782827,Dactolisib,PI3K/MTOR signaling,528,1.4716988623340703,-1.4083711212121213
17755052,-11.789004,11.4381275,Pictilisib,PI3K/MTOR signaling,534,1.3055203194243397,1.286666563670412
25262965,-9.771362,9.733835,AZD8055,PI3K/MTOR signaling,436,1.3767732631907068,0.026469034403669735
9826528,-17.01803,-5.851719,PD0325901,ERK MAPK signaling,535,2.1800248255103627,1.1945668542056074
24866313,0.99494654,2.529857,SCH772984,ERK MAPK signaling,533,1.883871461298132,2.3763623846153843
10127622,-15.581315,-5.5013976,Selumetinib,ERK MAPK signaling,525,1.7937183040864184,3.200438582857143
9927531,9.497845,1.7933747,BIBR-1532,Genome integrity,525,0.9665649171161633,5.0313827714285715
2155128,2.330849,-1.2740681,IWP-2,WNT signaling,495,0.9041706736465572,2.907787474747475
3899,10.585927,-10.073934,Leflunomide,DNA replication,496,0.9303986965538313,5.061296052419355
2314623,4.883054,12.574866,CCT007093,Cell cycle,519,0.8788999886868335,5.229769017341041
11404337,-17.55008,4.613847,Obatoclax Mesylate,Apoptosis regulation,451,1.1056339757553946,0.552659911308204
9938202,-13.661928,6.4233766,EHT-1864,Cytoskeleton,520,0.9902638581502939,3.689439938461539
25227847,1.0800453,-3.4217882,Pyridostatin,DNA replication,524,1.2903920654260108,3.6541765553435113
46883536,0.33373028,-15.94735,Avagacestat,Other,529,1.0967430466308454,4.853525965973534
3385,13.074697,3.8810034,5-Fluorouracil,Other,535,1.7409037210361256,4.534823878504673
68947304,14.183648,-14.5970955,AMG-319,PI3K/MTOR signaling,524,1.1775215289117036,4.862596001908397
11634725,-5.769779,-3.88973,VX-11e,ERK MAPK signaling,527,1.4757602591860894,2.6893030740037953
16224745,8.655887,15.836233,MK-8776,Cell cycle,524,1.6601309898284264,3.1028881431297712
3062316,-0.4625425,0.41637704,Dasatinib,RTK signaling,531,2.402608964410515,1.442449593220339
36314,18.458103,5.325278,Paclitaxel,Mitosis,528,2.0514899753928058,-2.709181090909091
4261,3.24814,-7.85231,Entinostat,Chromatin histone acetylation,497,1.63595010117395,2.073651171026157
