depmap_id,row,tissue,primary_split
ACH-000350,0,LARGE_INTESTINE,train or val
ACH-000674,1,STOMACH,train or val
ACH-000236,2,LARGE_INTESTINE,train or val
ACH-000222,3,PANCREAS,train or val
ACH-000722,4,LARGE_INTESTINE,train or val
ACH-000775,5,LUNG,train or val
ACH-001190,6,SKIN,train or val
ACH-000644,7,SKIN,train or val
ACH-000121,8,LUNG,train or val
ACH-000082,9,BONE,train or val
ACH-000480,10,LIVER,train or val
ACH-000491,11,LARGE_INTESTINE,train or val
ACH-000793,12,STOMACH,train or val
ACH-000111,13,BREAST,train or val
ACH-000363,14,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,train or val
ACH-000352,15,BREAST,train or val
ACH-000349,16,BREAST,train or val
ACH-000514,17,LUNG,train or val
ACH-000186,18,LUNG,held out
ACH-000399,19,LUNG,train or val
ACH-000177,20,PROSTATE,train or val
ACH-000559,21,LUNG,train or val
ACH-000698,22,LUNG,train or val
ACH-000803,23,LUNG,held out
ACH-000508,24,LUNG,train or val
ACH-000335,25,PLEURA,held out
ACH-001321,26,THYROID,train or val
ACH-000155,27,PANCREAS,train or val
ACH-000396,28,URINARY_TRACT,train or val
ACH-000638,29,LUNG,held out
ACH-000362,30,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,train or val
ACH-000081,31,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,held out
ACH-000326,32,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,train or val
ACH-000551,33,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,train or val
ACH-000301,34,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,train or val
ACH-000072,35,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,train or val
ACH-000074,36,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,held out
ACH-000983,37,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,train or val
ACH-000295,38,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,train or val
ACH-000920,39,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,train or val
ACH-000105,40,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,train or val
ACH-000432,41,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,train or val
ACH-000059,42,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,train or val
ACH-000614,43,SKIN,train or val
ACH-000484,44,KIDNEY,train or val
ACH-000188,45,UPPER_AERODIGESTIVE_TRACT,train or val
ACH-000200,46,CENTRAL_NERVOUS_SYSTEM,train or val
ACH-000546,47,UPPER_AERODIGESTIVE_TRACT,train or val
ACH-000548,48,UPPER_AERODIGESTIVE_TRACT,train or val
ACH-000018,49,URINARY_TRACT,train or val
ACH-000356,50,STOMACH,train or val
ACH-000563,51,LUNG,train or val
ACH-000303,52,STOMACH,train or val
ACH-000718,53,LUNG,train or val
ACH-000465,54,SKIN,train or val
ACH-000822,55,SKIN,held out
ACH-000304,56,SKIN,train or val
ACH-000985,57,LARGE_INTESTINE,train or val
ACH-000579,58,SKIN,train or val
ACH-000572,59,SKIN,train or val
ACH-000322,60,SKIN,train or val
ACH-000258,61,BREAST,train or val
ACH-000650,62,SKIN,train or val
ACH-000580,63,SKIN,train or val
ACH-000805,64,SKIN,train or val
ACH-000441,65,SKIN,train or val
ACH-000425,66,SKIN,train or val
ACH-000401,67,SKIN,train or val
ACH-000450,68,SKIN,held out
ACH-000814,69,SKIN,train or val
ACH-000615,70,SKIN,train or val
ACH-000730,71,SKIN,train or val
ACH-000423,72,SKIN,train or val
ACH-000103,73,OVARY,train or val
ACH-000812,74,SKIN,train or val
ACH-000810,75,SKIN,train or val
ACH-000915,76,SKIN,train or val
ACH-000664,77,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,train or val
ACH-000218,78,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,train or val
ACH-000294,79,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,held out
ACH-000336,80,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,train or val
ACH-000113,81,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,train or val
ACH-000146,82,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,held out
ACH-000373,83,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,train or val
ACH-000168,84,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,train or val
ACH-000247,85,STOMACH,train or val
ACH-000249,86,LARGE_INTESTINE,train or val
ACH-000120,87,AUTONOMIC_GANGLIA,train or val
ACH-000610,88,LUNG,train or val
ACH-000560,89,STOMACH,train or val
ACH-000267,90,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,train or val
ACH-000439,91,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,train or val
ACH-000386,92,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,train or val
ACH-000345,93,AUTONOMIC_GANGLIA,train or val
ACH-000225,94,STOMACH,train or val
ACH-000506,95,LUNG,train or val
ACH-000703,96,LUNG,train or val
ACH-000743,97,LUNG,train or val
ACH-000767,98,LUNG,train or val
ACH-000124,99,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,train or val
ACH-000136,100,AUTONOMIC_GANGLIA,train or val
ACH-000151,101,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,train or val
ACH-000780,102,LUNG,train or val
ACH-000135,103,FIBROBLAST,train or val
ACH-000713,104,OVARY,train or val
ACH-000708,105,LARGE_INTESTINE,train or val
ACH-000958,106,LARGE_INTESTINE,held out
ACH-000360,107,LARGE_INTESTINE,held out
ACH-000470,108,LARGE_INTESTINE,train or val
ACH-000400,109,LARGE_INTESTINE,train or val
ACH-000986,110,LARGE_INTESTINE,train or val
ACH-000680,111,LARGE_INTESTINE,train or val
ACH-000341,112,AUTONOMIC_GANGLIA,train or val
ACH-000144,113,STOMACH,train or val
ACH-000643,114,BREAST,train or val
ACH-000647,115,OESOPHAGUS,train or val
ACH-000189,116,KIDNEY,train or val
ACH-000476,117,LIVER,train or val
ACH-000429,118,KIDNEY,train or val
ACH-000555,119,KIDNEY,train or val
ACH-000914,120,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,train or val
ACH-000885,121,OVARY,train or val
ACH-000823,122,OESOPHAGUS,held out
ACH-000585,123,LUNG,train or val
ACH-000936,124,OVARY,held out
ACH-000678,125,STOMACH,train or val
ACH-000930,126,BREAST,train or val
ACH-000298,127,LUNG,train or val
ACH-000528,128,LUNG,train or val
ACH-000924,129,LUNG,train or val
ACH-000867,130,LUNG,train or val
ACH-000204,131,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,train or val
