panel_group,variant,parameter_value,metric,value
dcg_alpha,exp_meth,0.1,RMSE,1.39963606
dcg_alpha,exp_meth,0.1,PCC,0.86583383
dcg_alpha,exp_meth,0.15,RMSE,1.40245048
dcg_alpha,exp_meth,0.15,PCC,0.86436886
dcg_alpha,exp_meth,0.18,RMSE,1.39538798
dcg_alpha,exp_meth,0.18,PCC,0.86807184
dcg_alpha,exp_meth,0.2,RMSE,1.36439142
dcg_alpha,exp_meth,0.2,PCC,0.87062602
dcg_alpha,exp_meth,0.22,RMSE,1.37250249
dcg_alpha,exp_meth,0.22,PCC,0.86924294
dcg_alpha,exp_meth,0.25,RMSE,1.38617992
dcg_alpha,exp_meth,0.25,PCC,0.86685901
dcg_alpha,exp_meth,0.3,RMSE,1.38039255
dcg_alpha,exp_meth,0.3,PCC,0.86688315
dcg_alpha,exp_only,0.1,RMSE,1.40451339
dcg_alpha,exp_only,0.1,PCC,0.8630885
dcg_alpha,exp_only,0.15,RMSE,1.38197504
dcg_alpha,exp_only,0.15,PCC,0.87023254
dcg_alpha,exp_only,0.18,RMSE,1.39681989
dcg_alpha,exp_only,0.18,PCC,0.86338798
dcg_alpha,exp_only,0.2,RMSE,1.38645355
dcg_alpha,exp_only,0.2,PCC,0.86796115
dcg_alpha,exp_only,0.22,RMSE,1.37291562
dcg_alpha,exp_only,0.22,PCC,0.87001199
dcg_alpha,exp_only,0.25,RMSE,1.37326357
dcg_alpha,exp_only,0.25,PCC,0.86825555
dcg_alpha,exp_only,0.3,RMSE,1.40471677
dcg_alpha,exp_only,0.3,PCC,0.86307977
dcg_alpha,meth_only,0.1,RMSE,1.38956335
dcg_alpha,meth_only,0.1,PCC,0.86554781
dcg_alpha,meth_only,0.15,RMSE,1.37740508
dcg_alpha,meth_only,0.15,PCC,0.86835307
dcg_alpha,meth_only,0.18,RMSE,1.40097513
dcg_alpha,meth_only,0.18,PCC,0.86699448
dcg_alpha,meth_only,0.2,RMSE,1.37912321
dcg_alpha,meth_only,0.2,PCC,0.86770072
dcg_alpha,meth_only,0.22,RMSE,1.40017004
dcg_alpha,meth_only,0.22,PCC,0.86329481
dcg_alpha,meth_only,0.25,RMSE,1.39704991
dcg_alpha,meth_only,0.25,PCC,0.86408591
dcg_alpha,meth_only,0.3,RMSE,1.38103496
dcg_alpha,meth_only,0.3,PCC,0.86669695
lambda_ban,BCGDRP,0.001,RMSE,1.3981
lambda_ban,BCGDRP,0.001,PCC,0.863
lambda_ban,BCGDRP,0.002,RMSE,1.3815
lambda_ban,BCGDRP,0.002,PCC,0.8675
lambda_ban,BCGDRP,0.003,RMSE,1.3827
lambda_ban,BCGDRP,0.003,PCC,0.8677
lambda_ban,BCGDRP,0.004,RMSE,1.4008
lambda_ban,BCGDRP,0.004,PCC,0.8671
lambda_ban,BCGDRP,0.005,RMSE,1.3644
lambda_ban,BCGDRP,0.005,PCC,0.8706
lambda_ban,BCGDRP,0.006,RMSE,1.3847
lambda_ban,BCGDRP,0.006,PCC,0.8667
lambda_ban,BCGDRP,0.007,RMSE,1.3895
lambda_ban,BCGDRP,0.007,PCC,0.8656
lambda_ban,BCGDRP,0.008,RMSE,1.3797
lambda_ban,BCGDRP,0.008,PCC,0.867
lambda_ban,BCGDRP,0.009,RMSE,1.3943
lambda_ban,BCGDRP,0.009,PCC,0.8663
lambda_ban,BCGDRP,0.01,RMSE,1.3882
lambda_ban,BCGDRP,0.01,PCC,0.8665
temperature,BCGDRP,0.08,RMSE,1.3998
temperature,BCGDRP,0.08,PCC,0.8651
temperature,BCGDRP,0.09,RMSE,1.4034
temperature,BCGDRP,0.09,PCC,0.863
temperature,BCGDRP,0.1,RMSE,1.3938
temperature,BCGDRP,0.1,PCC,0.8642
temperature,BCGDRP,0.11,RMSE,1.403
temperature,BCGDRP,0.11,PCC,0.8648
temperature,BCGDRP,0.12,RMSE,1.3644
temperature,BCGDRP,0.12,PCC,0.8706
temperature,BCGDRP,0.13,RMSE,1.397
temperature,BCGDRP,0.13,PCC,0.8633
temperature,BCGDRP,0.14,RMSE,1.4155
temperature,BCGDRP,0.14,PCC,0.8626
temperature,BCGDRP,0.15,RMSE,1.3783
temperature,BCGDRP,0.15,PCC,0.8679
temperature,BCGDRP,0.16,RMSE,1.3998
temperature,BCGDRP,0.16,PCC,0.8638
