cell_line,drug_name,pred_logIC50,case
HCC1187,Bortezomib,-6.051825523376465,BREAST
MDA-MB-436,Bortezomib,-6.0297627449035645,BREAST
HCC1806,Bortezomib,-5.984403133392334,BREAST
BT-549,Bortezomib,-5.499621868133545,BREAST
MCF7,Bortezomib,-5.665350914001465,BREAST
AU565,Bortezomib,-5.582458972930908,BREAST
HCC1395,Bortezomib,-5.284692764282227,BREAST
HCC1419,Bortezomib,-5.292261123657227,BREAST
MDA-MB-453,Bortezomib,-5.15643835067749,BREAST
HDQ-P1,Bortezomib,-5.417903423309326,BREAST
CAMA-1,Bortezomib,-5.152619361877441,BREAST
HCC1954,Bortezomib,-5.173397064208984,BREAST
EFM-192A,Bortezomib,-5.025151252746582,BREAST
MDA-MB-468,Bortezomib,-5.278561115264893,BREAST
Hs 578T,Bortezomib,-4.771369934082031,BREAST
HCC2218,Bortezomib,-5.077881336212158,BREAST
MDA-MB-361,Bortezomib,-5.172177314758301,BREAST
HCC70,Bortezomib,-5.277865886688232,BREAST
BT-20,Bortezomib,-4.9853620529174805,BREAST
CAL-120,Bortezomib,-4.763838291168213,BREAST
Du4475,Bortezomib,-5.12860107421875,BREAST
HCC1569,Bortezomib,-4.761698246002197,BREAST
CAL-51,Bortezomib,-4.727306365966797,BREAST
HCC202,Bortezomib,-4.91913011597424,BREAST
MDA-MB-415,Bortezomib,-4.80562686920166,BREAST
HCC2157,Bortezomib,-4.721953392028809,BREAST
HCC1143,Bortezomib,-4.910404205322266,BREAST
HCC1428,Bortezomib,-4.799559593200684,BREAST
HCC1937,Bortezomib,-4.765699863433838,BREAST
MDA-MB-157,Bortezomib,-4.597896099090576,BREAST
MDA-MB-175-VII,Bortezomib,-4.663348197937012,BREAST
UACC-893,Bortezomib,-4.670980930328369,BREAST
EFM-19,Bortezomib,-4.342090606689453,BREAST
BT-483,Bortezomib,-4.527289390563965,BREAST
UACC-812,Bortezomib,-4.453701972961426,BREAST
HCC1500,Bortezomib,-4.432689666748047,BREAST
HCC1599,Bortezomib,-4.180445194244385,BREAST
CAL-85-1,Bortezomib,-4.411274433135986,BREAST
BT-474,Bortezomib,-4.286433219909668,BREAST
MDA-MB-231,Bortezomib,-3.898447036743164,BREAST
ZR-75-30,Bortezomib,-3.8586692810058594,BREAST
T-47D,Bortezomib,-4.09727668762207,BREAST
HCC1187,Docetaxel,-5.746060371398926,BREAST
MDA-MB-436,Docetaxel,-5.362922191619873,BREAST
HCC1806,Docetaxel,-5.602715492248535,BREAST
BT-549,Docetaxel,-4.900943756103516,BREAST
MCF7,Docetaxel,-5.264737606048584,BREAST
AU565,Docetaxel,-4.796011924743652,BREAST
HCC1395,Docetaxel,-4.779236316680908,BREAST
HCC1419,Docetaxel,-4.672235012054443,BREAST
MDA-MB-453,Docetaxel,-4.812429428100586,BREAST
HDQ-P1,Docetaxel,-4.241824626922607,BREAST
CAMA-1,Docetaxel,-4.664019584655762,BREAST
HCC1954,Docetaxel,-4.448691368103027,BREAST
EFM-192A,Docetaxel,-4.357384204864502,BREAST
MDA-MB-468,Docetaxel,-4.352756500244141,BREAST
Hs 578T,Docetaxel,-4.451425075531006,BREAST
HCC2218,Docetaxel,-4.550465106964111,BREAST
MDA-MB-361,Docetaxel,-4.179806232452393,BREAST
HCC70,Docetaxel,-3.3637969493865967,BREAST
BT-20,Docetaxel,-4.055889129638672,BREAST
CAL-120,Docetaxel,-3.921332359313965,BREAST
Du4475,Docetaxel,-5.046433448791504,BREAST
HCC1569,Docetaxel,-4.5065083503723145,BREAST
CAL-51,Docetaxel,-4.052616596221924,BREAST
HCC202,Docetaxel,-3.884907722473145,BREAST
MDA-MB-415,Docetaxel,-2.3979437351226807,BREAST
HCC2157,Docetaxel,-4.484558582305908,BREAST
HCC1143,Docetaxel,-3.196390390396118,BREAST
HCC1428,Docetaxel,-4.214457035064697,BREAST
HCC1937,Docetaxel,-3.560166358947754,BREAST
MDA-MB-157,Docetaxel,-4.200563907623291,BREAST
MDA-MB-175-VII,Docetaxel,-2.439368486404419,BREAST
UACC-893,Docetaxel,-2.8837428092956543,BREAST
EFM-19,Docetaxel,-3.4039571285247803,BREAST
BT-483,Docetaxel,-3.368994951248169,BREAST
UACC-812,Docetaxel,-3.32901382446289,BREAST
HCC1500,Docetaxel,-3.691961526870727,BREAST
HCC1599,Docetaxel,-3.6369011402130127,BREAST
CAL-85-1,Docetaxel,-2.6913697719573975,BREAST
BT-474,Docetaxel,-3.3226122856140137,BREAST
MDA-MB-231,Docetaxel,-2.8146190643310547,BREAST
ZR-75-30,Docetaxel,-2.8625802993774414,BREAST
T-47D,Docetaxel,-2.996316432952881,BREAST
HCC1187,Sepantronium bromide,-4.479194641113281,BREAST
MDA-MB-436,Sepantronium bromide,-4.506761074066162,BREAST
HCC1806,Sepantronium bromide,-4.113216400146484,BREAST
BT-549,Sepantronium bromide,-4.6641364097595215,BREAST
MCF7,Sepantronium bromide,-1.5285929441452026,BREAST
AU565,Sepantronium bromide,-3.462059497833252,BREAST
