pubchem_id,drug_name,mean_pred_logIC50,median_pred_logIC50,std_pred_logIC50,mean_true_logIC50,n_test_cells,n_pairs,case
387447,Bortezomib,-4.91913011597424,-4.80562686920166,0.5362305571701461,-4.9025018942065355,41,41,BREAST
148124,Docetaxel,-4.03596826394399,-4.190185070037842,0.857887155529947,-3.834312683060056,42,42,BREAST
11178236,Sepantronium bromide,-3.3535619945060917,-3.462059497833252,1.2429026894162356,-3.834262061409834,41,41,BREAST
6710780,Vinblastine,-2.81863318907248,-2.8717472553253174,0.9286683749730932,-2.2994594739095584,37,37,BREAST
36314,Paclitaxel,-2.291293350661673,-2.232077121734619,0.79961030501449,-2.4289220862272307,41,41,BREAST
46926350,Dinaciclib,-2.2865070169036454,-2.405031204223633,0.504793989943212,-2.3011653880160807,37,37,BREAST
5311497,Vinorelbine,-2.284676961055616,-2.286867380142212,0.856396217126679,-2.150629413564031,41,41,BREAST
24360,Camptothecin,-1.7203962584821189,-1.6523209810256958,0.7908754127959757,-0.7301325062062682,41,41,BREAST
462382,MG-132,-1.009791992959522,-1.0316956639289856,0.1702976511254822,-1.0329275203957444,42,42,BREAST
11977753,Dactolisib,-0.9787316126067463,-1.0898187160491943,0.5734509641596833,-1.2243040545684536,41,41,BREAST
