pubchem_id,drug_name,mean_pred_logIC50,median_pred_logIC50,std_pred_logIC50,mean_true_logIC50,n_test_cells,n_pairs,case
387447,Bortezomib,-4.495851437250773,-4.527551651000977,0.2186129822113319,-4.828836091359457,15,15,URINARY_TRACT
148124,Docetaxel,-4.455836566289266,-4.451725006103516,0.2982876178626133,-4.5690892219543455,15,15,URINARY_TRACT
6710780,Vinblastine,-3.785516280394334,-3.914838552474976,0.7141527410920137,-3.26053117788755,13,13,URINARY_TRACT
11178236,Sepantronium bromide,-3.7618170738220216,-4.236055374145508,1.0882657775302296,-4.137969656785329,15,15,URINARY_TRACT
5311497,Vinorelbine,-3.1301700274149575,-3.0890252590179443,0.6892710607133852,-2.635193122426669,15,15,URINARY_TRACT
36314,Paclitaxel,-3.026608610153198,-3.05674409866333,0.6016914612298013,-2.81729463438193,15,15,URINARY_TRACT
46926350,Dinaciclib,-2.6285207952771867,-2.745464563369751,0.4616773865667431,-2.366326834474291,14,14,URINARY_TRACT
24360,Camptothecin,-1.6513978779315948,-1.73980975151062,0.740314533806658,-2.753294037282467,15,15,URINARY_TRACT
11977753,Dactolisib,-1.227690827846527,-1.2659146785736084,0.5273940892532839,-1.2956378599007925,15,15,URINARY_TRACT
104842,SN-38,-1.0603773253304618,-0.9666023701429368,2.6259733793928235,-2.388380817004613,14,14,URINARY_TRACT
