cell_line,drug_name,pred_logIC50,case
639-V,Bortezomib,-4.622922897338867,URINARY_TRACT
KU-19-19,Bortezomib,-4.768505096435547,URINARY_TRACT
UM-UC-3,Bortezomib,-4.785984992980957,URINARY_TRACT
BFTC-905,Bortezomib,-4.419928550720215,URINARY_TRACT
HT-1197,Bortezomib,-4.67465877532959,URINARY_TRACT
CAL-29,Bortezomib,-4.591625213623047,URINARY_TRACT
SW-1710,Bortezomib,-4.463846206665039,URINARY_TRACT
T24,Bortezomib,-4.648157596588135,URINARY_TRACT
J82,Bortezomib,-4.527551651000977,URINARY_TRACT
RT-112,Bortezomib,-4.5481767654418945,URINARY_TRACT
SW 780,Bortezomib,-4.4878363609313965,URINARY_TRACT
5637,Bortezomib,-4.4393439292907715,URINARY_TRACT
647-V,Bortezomib,-4.196593284606934,URINARY_TRACT
TCCSUP,Bortezomib,-4.305913925170898,URINARY_TRACT
RT4,Bortezomib,-3.956726312637329,URINARY_TRACT
639-V,Docetaxel,-4.620469570159912,URINARY_TRACT
KU-19-19,Docetaxel,-5.001974105834961,URINARY_TRACT
UM-UC-3,Docetaxel,-4.769659519195557,URINARY_TRACT
BFTC-905,Docetaxel,-4.651995658874512,URINARY_TRACT
HT-1197,Docetaxel,-4.631076812744141,URINARY_TRACT
CAL-29,Docetaxel,-4.656322956085205,URINARY_TRACT
SW-1710,Docetaxel,-4.373232364654541,URINARY_TRACT
T24,Docetaxel,-4.495608806610107,URINARY_TRACT
J82,Docetaxel,-4.4504570960998535,URINARY_TRACT
RT-112,Docetaxel,-4.451725006103516,URINARY_TRACT
SW 780,Docetaxel,-4.3413825035095215,URINARY_TRACT
5637,Docetaxel,-4.45035982131958,URINARY_TRACT
647-V,Docetaxel,-4.042311668395996,URINARY_TRACT
TCCSUP,Docetaxel,-4.017858982086182,URINARY_TRACT
RT4,Docetaxel,-3.8831136226654057,URINARY_TRACT
639-V,Vinblastine,-4.690522193908691,URINARY_TRACT
KU-19-19,Vinblastine,-4.721109867095947,URINARY_TRACT
UM-UC-3,Vinblastine,-4.484334945678711,URINARY_TRACT
BFTC-905,Vinblastine,-4.44216775894165,URINARY_TRACT
HT-1197,Vinblastine,-3.94179368019104,URINARY_TRACT
CAL-29,Vinblastine,-3.914838552474976,URINARY_TRACT
SW-1710,Vinblastine,-3.4979054927825928,URINARY_TRACT
T24,Vinblastine,-3.785516280394334,URINARY_TRACT
J82,Vinblastine,-3.796536922454834,URINARY_TRACT
RT-112,Vinblastine,-3.97978138923645,URINARY_TRACT
SW 780,Vinblastine,-3.5194716453552246,URINARY_TRACT
5637,Vinblastine,-3.785516280394334,URINARY_TRACT
647-V,Vinblastine,-2.769566059112549,URINARY_TRACT
TCCSUP,Vinblastine,-2.7242166996002197,URINARY_TRACT
RT4,Vinblastine,-2.729466438293457,URINARY_TRACT
639-V,Sepantronium bromide,-4.62833833694458,URINARY_TRACT
KU-19-19,Sepantronium bromide,-4.394293308258057,URINARY_TRACT
UM-UC-3,Sepantronium bromide,-4.701457500457764,URINARY_TRACT
BFTC-905,Sepantronium bromide,-4.190060615539551,URINARY_TRACT
HT-1197,Sepantronium bromide,-2.214066982269287,URINARY_TRACT
CAL-29,Sepantronium bromide,-3.498411178588867,URINARY_TRACT
SW-1710,Sepantronium bromide,-4.236055374145508,URINARY_TRACT
T24,Sepantronium bromide,-4.661801815032959,URINARY_TRACT
J82,Sepantronium bromide,-4.526760578155518,URINARY_TRACT
RT-112,Sepantronium bromide,-2.6983933448791504,URINARY_TRACT
SW 780,Sepantronium bromide,-2.63179087638855,URINARY_TRACT
5637,Sepantronium bromide,-4.45053243637085,URINARY_TRACT
647-V,Sepantronium bromide,-4.221436023712158,URINARY_TRACT
TCCSUP,Sepantronium bromide,-4.248051643371582,URINARY_TRACT
RT4,Sepantronium bromide,-1.1258060932159424,URINARY_TRACT
639-V,Vinorelbine,-4.088557720184326,URINARY_TRACT
KU-19-19,Vinorelbine,-4.1356635093688965,URINARY_TRACT
UM-UC-3,Vinorelbine,-3.624841928482056,URINARY_TRACT
BFTC-905,Vinorelbine,-4.0421528816223145,URINARY_TRACT
HT-1197,Vinorelbine,-3.298661231994629,URINARY_TRACT
CAL-29,Vinorelbine,-3.3315680027008057,URINARY_TRACT
SW-1710,Vinorelbine,-2.6296074390411377,URINARY_TRACT
T24,Vinorelbine,-2.5716843605041504,URINARY_TRACT
J82,Vinorelbine,-2.9997541904449463,URINARY_TRACT
RT-112,Vinorelbine,-3.604323625564575,URINARY_TRACT
SW 780,Vinorelbine,-3.0890252590179443,URINARY_TRACT
5637,Vinorelbine,-2.9385621547698975,URINARY_TRACT
647-V,Vinorelbine,-2.1383562088012695,URINARY_TRACT
TCCSUP,Vinorelbine,-1.9758784770965576,URINARY_TRACT
RT4,Vinorelbine,-2.4839134216308594,URINARY_TRACT
639-V,Paclitaxel,-3.8496129512786865,URINARY_TRACT
KU-19-19,Paclitaxel,-3.832748889923096,URINARY_TRACT
UM-UC-3,Paclitaxel,-3.405237197875977,URINARY_TRACT
BFTC-905,Paclitaxel,-3.867176771163941,URINARY_TRACT
HT-1197,Paclitaxel,-3.129314422607422,URINARY_TRACT
CAL-29,Paclitaxel,-3.215176582336426,URINARY_TRACT
SW-1710,Paclitaxel,-2.4576776027679443,URINARY_TRACT
T24,Paclitaxel,-2.6590471267700195,URINARY_TRACT
J82,Paclitaxel,-3.05674409866333,URINARY_TRACT
RT-112,Paclitaxel,-3.4352521896362305,URINARY_TRACT
SW 780,Paclitaxel,-2.9174575805664062,URINARY_TRACT
5637,Paclitaxel,-3.0373575687408447,URINARY_TRACT
647-V,Paclitaxel,-2.3104093074798584,URINARY_TRACT
TCCSUP,Paclitaxel,-2.0032505989074707,URINARY_TRACT
RT4,Paclitaxel,-2.2226662635803223,URINARY_TRACT
639-V,Dinaciclib,-3.0099637508392334,URINARY_TRACT
KU-19-19,Dinaciclib,-3.2687079906463623,URINARY_TRACT
UM-UC-3,Dinaciclib,-2.6285207952771867,URINARY_TRACT
BFTC-905,Dinaciclib,-3.0577456951141357,URINARY_TRACT
HT-1197,Dinaciclib,-2.925280809402466,URINARY_TRACT
CAL-29,Dinaciclib,-2.8422091007232666,URINARY_TRACT
SW-1710,Dinaciclib,-2.16092300415039,URINARY_TRACT
T24,Dinaciclib,-2.357349395751953,URINARY_TRACT
J82,Dinaciclib,-2.679763078689575,URINARY_TRACT
RT-112,Dinaciclib,-3.10451340675354,URINARY_TRACT
SW 780,Dinaciclib,-2.72151517868042,URINARY_TRACT
5637,Dinaciclib,-2.769413948059082,URINARY_TRACT
647-V,Dinaciclib,-1.902104139328003,URINARY_TRACT
TCCSUP,Dinaciclib,-1.878011465072632,URINARY_TRACT
RT4,Dinaciclib,-2.1217901706695557,URINARY_TRACT
639-V,Camptothecin,-2.7319328784942627,URINARY_TRACT
KU-19-19,Camptothecin,-2.6055831909179688,URINARY_TRACT
UM-UC-3,Camptothecin,-2.8331663608551025,URINARY_TRACT
BFTC-905,Camptothecin,-2.003220796585083,URINARY_TRACT
HT-1197,Camptothecin,-2.2648701667785645,URINARY_TRACT
CAL-29,Camptothecin,-1.73980975151062,URINARY_TRACT
SW-1710,Camptothecin,-1.90470027923584,URINARY_TRACT
T24,Camptothecin,-1.7703800201416016,URINARY_TRACT
J82,Camptothecin,-1.2117912769317627,URINARY_TRACT
RT-112,Camptothecin,-1.0143650770187378,URINARY_TRACT
SW 780,Camptothecin,-1.3528077602386477,URINARY_TRACT
5637,Camptothecin,-0.9870736598968506,URINARY_TRACT
647-V,Camptothecin,-0.7746131420135498,URINARY_TRACT
TCCSUP,Camptothecin,-0.4536844193935394,URINARY_TRACT
RT4,Camptothecin,-1.122969388961792,URINARY_TRACT
639-V,Dactolisib,-1.5090572834014893,URINARY_TRACT
KU-19-19,Dactolisib,-2.06378173828125,URINARY_TRACT
UM-UC-3,Dactolisib,-1.3530312776565552,URINARY_TRACT
BFTC-905,Dactolisib,-0.9300090074539183,URINARY_TRACT
HT-1197,Dactolisib,-2.3060057163238525,URINARY_TRACT
CAL-29,Dactolisib,-1.3033723831176758,URINARY_TRACT
SW-1710,Dactolisib,-1.1099967956542969,URINARY_TRACT
