model,seed,test_mse,test_rmse,test_pcc,test_scc
BANDRP-gate,2020,2.050369,1.431911,0.857692,0.825536
BANDRP-gate,2021,2.143359,1.463004,0.849502,0.818637
BANDRP-gate,2022,2.264941,1.504972,0.840313,0.807245
BANDRP-gate,2023,2.138123,1.462232,0.850455,0.814898
BANDRP-gate,2024,1.998828,1.413799,0.863154,0.827911
BANDRP-gate,mean,2.119124,1.455387,0.852223,0.818846
BANDRP-gate,sd,0.101746,0.034860,0.008686,0.008324
BCGDRP,2020,1.861564,1.364391,0.870115,0.837379
BCGDRP,2021,1.874796,1.369232,0.869936,0.836479
BCGDRP,2022,1.925079,1.387472,0.866289,0.832137
BCGDRP,2023,1.974995,1.405345,0.863659,0.829105
BCGDRP,2024,1.927375,1.388299,0.866813,0.832408
BCGDRP,mean,1.912762,1.382948,0.867362,0.833502
BCGDRP,sd,0.045554,0.016456,0.002710,0.003402
