gdsc_pubchem_id,drug_name,n_cells,bandrp_gate,bcgdrp,delta
11707110,Trametinib,97,-0.12631424591309873,0.5943199966877188,0.7206342426008175
10127622,Selumetinib,204,-0.08617147611792114,0.37365876262683917,0.4598302387447603
3062316,Dasatinib,207,-0.010236199301122078,0.3979522677408892,0.4081884670420113
10184653,Afatinib,190,-0.013548493404833722,0.3543366002998127,0.3678850937046464
24821094,Ibrutinib,139,0.08217406413991327,0.41502165123099316,0.33284758709107987
56649450,Alpelisib,125,-0.03740349674628212,0.28980020476077184,0.32720370150705397
156414,CI-1033,203,0.10136911366224835,0.3738447236533727,0.2724756099911243
208908,Lapatinib,196,0.101625115556747,0.34080232141100514,0.23917720585425814
10302451,Saracatinib,212,-0.061973819277360495,0.17372559775777519,0.2356994170351357
123631,Gefitinib,212,0.0364291696985918,0.23824878536532057,0.20181961566672876
24180719,PLX-4720,214,0.09947358574564083,0.2625545735565482,0.16308098781090738
6505803,Tanespimycin,186,0.05197361989528594,0.21002018790814964,0.1580465680128637
5291,Imatinib,207,0.15515809423013308,0.3036769756343132,0.1485188814041801
44462760,Dabrafenib,99,0.18318301245015742,0.2766811982893137,0.09349818583915628
5328940,Bosutinib,175,0.21638884043215204,0.3045239127489774,0.08813507231682535
11485656,Linifanib,205,0.25310938021291596,0.3195426003438763,0.06643322013096037
17755052,Pictilisib,210,0.14581611287263155,0.2113809639260235,0.06556485105339196
10385095,Telomerase Inhibitor IX,211,0.35089568057884657,0.4141403968675106,0.06324471628866402
24978538,Navitoclax,199,0.3166756264513875,0.3785519360068692,0.06187630955548168
46926350,Dinaciclib,85,0.4406756954419304,0.4994598776407174,0.058784182198787005
5394,Temozolomide,202,0.1976775191791636,0.25567488615514644,0.057997366975982845
126941,Methotrexate,173,0.16838700395811096,0.2232178870646055,0.05483088310649453
3011155,Nelarabine,196,0.04190181193637922,0.0936444605876311,0.051742648651251874
11364421,BI-2536,215,0.4805822433526304,0.5297457744060713,0.0491635310534409
148124,Docetaxel,97,0.49134164496562976,0.5392426449754366,0.04790100000980685
36314,Paclitaxel,152,0.5053216351735543,0.5529317158734335,0.047610080699879154
11455910,TW 37,209,0.29763852153189413,0.34482187729196456,0.04718335576007043
9826308,GW843682X,193,0.36071679047764704,0.3986826730841432,0.03796588260649614
135423438,BIBF-1120,176,0.18537403510989686,0.22113158265759494,0.03575754754769808
11640390,Linsitinib,195,0.19357363792610105,0.22862383280682025,0.0350501948807192
9956119,CHIR-99021,203,0.32273648251544385,0.3573967673847954,0.034660284869351576
3385,5-Fluorouracil,201,0.30877293242959647,0.34013013647300555,0.03135720404340908
11178236,Sepantronium bromide,193,0.16723518591010414,0.1981379192178096,0.03090273330770546
11228183,ABT737,175,0.3358159893068636,0.3657952658650349,0.029979276558171286
6914657,Daporinad,178,0.3196134738781837,0.3485626410531381,0.028949167174954438
46930998,MK-2206,200,0.2981497616563046,0.3250950991697851,0.026945337513480494
24772860,SNX-2112,214,0.43668229856480806,0.46176597283189463,0.025083674267086575
2907,Cyclophosphamide,105,0.03830497922271202,0.06176819341257452,0.023463214189862504
24856436,MK-1775,192,0.3782766192443489,0.4016136560866005,0.02333703684225158
10074640,Masitinib,198,0.25791088138505724,0.27751043022452787,0.019599548839470626
2130404,AGK2,180,-0.0038275691106250806,0.01541396555958284,0.01924153467020792
11625818,Idelalisib,201,0.06553210165943021,0.08132766651602176,0.015795564856591546
4261,Entinostat,182,0.4916003109178878,0.5067428100293523,0.01514249911146448
46191454,PHA-793887,215,0.4298160560201385,0.44283837010849697,0.013022314088358466
11152667,AZD7762,217,0.43903517716550466,0.4505447750664959,0.011509597900991209
9444,5-azacytidine,183,0.21094557040338174,0.22066844304698857,0.009722872643606828
24771867,Alisertib,201,0.3873944770534161,0.39545166379302366,0.008057186739607536
5978,Vincristine,222,0.5619473893251825,0.5696820160999696,0.00773462677478709
5113032,Selisistat,196,0.04734155366472812,0.05352826374203969,0.006186710077311572
5311,Vorinostat,209,0.45485532132103434,0.46057099423849923,0.005715672917464887
25126798,Ruxolitinib,214,0.36633610473532036,0.3718809840982946,0.005544879362974264
11647372,ZSTK474,211,0.09315682253383936,0.09823656843486075,0.005079745901021393
23582824,GSK1059615,131,0.0573444908350352,0.05826674454152386,0.0009222537064886641
44137675,AZD6482,216,0.06556535477579878,0.06546852087374,-9.68339020587794e-05
25262965,AZD8055,223,0.2972130239599286,0.29598338932868484,-0.001229634631243759
49846579,Venotoclax,109,0.3809478030566703,0.3758659915329904,-0.005081811523679924
11960529,Veliparib,210,0.04826307957081674,0.04096899054024972,-0.007294089030567025
644241,Nilotinib,195,0.14498483464982426,0.13699985815532967,-0.007984976494494589
9927531,BIBR-1532,205,0.16647032605900072,0.1571828958948222,-0.009287430164178517
9908783,IC-87114,205,0.06553774567580709,0.05274614587040534,-0.012791599805401746
5284616,Rapamycin,198,0.26152211669231196,0.24796098950245407,-0.013561127189857886
9907093,TGX221,207,0.008876371444635017,-0.008262938904688119,-0.017139310349323138
16659841,AZD1480,103,0.33206884880296855,0.3139129763060125,-0.01815587249695605
159324,Tipifarnib,208,0.32642845958897704,0.30538445204537457,-0.021044007543602472
66577038,Sphingosine Kinase 1 Inhibitor II,210,0.11645584148820225,0.09460507692819192,-0.021850764560010325
9549297,SU11274,181,0.28572329257753537,0.26361924634176515,-0.022104046235770225
11977753,Dactolisib,147,0.19691963888956548,0.17393537808005766,-0.022984260809507828
52918385,PRIMA-1MET,96,0.2135349158273833,0.18972828230042432,-0.02380663352695897
216239,Sorafenib,216,0.25079813362462566,0.22668792284990685,-0.02411021077471881
387447,Bortezomib,200,0.3629923429396552,0.3325787044401124,-0.030413638499542817
71729975,GSK-J4,30,0.5222246941045607,0.4911679644048944,-0.03105672969966633
46843906,XMD11-50,138,0.4782067772247708,0.4469628038721855,-0.031243973352585275
9967941,SB52334,200,0.11450677899245813,0.08313494287575005,-0.03137183611670809
11609586,Serdemetan,206,0.4299646415044219,0.3971750542246717,-0.032789587279750176
24785538,BMS-754807,204,0.0845757900875144,0.04987539353860486,-0.03470039654890954
24889392,Quizartinib,205,0.14739670015883546,0.11147541185575241,-0.035921288303083054
16722836,Fedratinib,201,0.38662909023398884,0.3484809600898327,-0.038148130144156134
637858,Piperlongumine,209,0.4593146558893972,0.4179978653811262,-0.04131679050827097
6918289,Temsirolimus,115,0.2570408741909704,0.21495535843357444,-0.04208551575739594
6450551,Axitinib,214,0.4328030809393694,0.3903640755511759,-0.04243900538819351
5278396,KU-55933,207,0.25602259208538014,0.21105153175959274,-0.044971060325787404
23725625,Olaparib,212,0.36341394430461793,0.3178034818940852,-0.04561046241053274
16038120,NVP-TAE684,202,0.1283328863728715,0.08254941260917126,-0.04578347376370023
227681,MIRA-1,126,0.33124809005803557,0.28087669411976324,-0.050371395938272334
9868037,OSI-930,150,0.38531566571305226,0.33444960743360785,-0.050866058279444404
15953870,KU-60019,194,0.2910037782193543,0.23879547242667284,-0.05220830579268146
6852167,PIK-93,211,0.2772850239326782,0.22335307591200673,-0.053931948020671444
444795,Tretinoin,211,0.3747993365966839,0.31737507398576686,-0.05742426261091704
25102847,Cabozantinib,176,0.24856063946734008,0.18811529112334238,-0.0604453483439977
5494449,Tozasertib,31,0.5729032258064516,0.5121774193548386,-0.06072580645161296
46943432,I-BET-762,210,0.3868840407294645,0.32572613393750055,-0.06115790679196392
11234052,"Brivanib, BMS-540215",203,0.24957268905797164,0.18248621528186604,-0.0670864737761056
9825149,NVP-ADW742,200,0.2213321685958219,0.15197204629835864,-0.06936012229746324
5746,Mitomycin-C,188,0.4861546824054864,0.4157501980795474,-0.07040448432593904
