tissue,drug_name,n_cells,scc_bcgdrp
BREAST,5-Fluorouracil,42,0.10542095454177135
BREAST,ABT737,41,-0.09773519163763067
BREAST,AGI-5198,41,-0.1261324041811847
BREAST,AGI-6780,36,0.12664092664092666
BREAST,AMG-319,40,0.17185741088180115
BREAST,AZ960,37,0.038406827880512084
BREAST,AZD3759,41,0.3979094076655053
BREAST,AZD4547,41,0.12386759581881537
BREAST,AZD5582,36,0.20386100386100386
BREAST,AZD6482,38,0.1975051975051975
BREAST,AZD6738,41,0.07909407665505229
BREAST,AZD7762,42,0.2725062798800746
BREAST,AZD8055,40,0.20994371482176363
BREAST,AZD8186,41,0.31428571428571433
BREAST,Afatinib,40,0.039024390243902446
BREAST,Afuresertib,41,0.1275261324041812
BREAST,Alisertib,39,0.09311740890688261
BREAST,Alpelisib,41,0.13466898954703838
BREAST,Avagacestat,41,-0.3054006968641116
BREAST,Axitinib,42,0.007535856089457906
BREAST,BI-2536,37,-0.08795637743006164
BREAST,BIBR-1532,40,0.01557223264540338
BREAST,BMS-345541,37,-0.037932669511616876
BREAST,Bleomycin (50 uM),37,0.1519677572309151
BREAST,Bortezomib,41,0.19355400696864117
BREAST,Bosutinib,41,-0.02543554006968642
BREAST,CCT007093,39,0.11194331983805669
BREAST,CZC24832,37,-0.09459459459459459
BREAST,Camptothecin,41,0.012891986062717771
BREAST,Cediranib,41,0.06167247386759582
BREAST,Cisplatin,42,0.0639332306944332
BREAST,Crizotinib,41,-0.09947735191637633
BREAST,Cyclophosphamide,41,0.04198606271777005
BREAST,Cytarabine,37,0.36510194404931245
BREAST,Dabrafenib,41,0.05557491289198607
BREAST,Dactolisib,41,0.1961672473867596
BREAST,Daporinad,21,0.33506493506493507
BREAST,Dasatinib,41,0.5952961672473869
BREAST,Dinaciclib,37,0.2631578947368421
BREAST,Docetaxel,42,0.3170731707317073
BREAST,Doramapimod,40,0.2816135084427768
BREAST,EHT-1864,40,0.02288930581613509
BREAST,EPZ004777,41,-0.1693379790940767
BREAST,EPZ5676,41,-0.060452961672473875
BREAST,Entinostat,40,0.19455909943714825
BREAST,Entospletinib,37,-0.24466571834992884
BREAST,Epirubicin,41,0.03101045296167248
BREAST,Erlotinib,41,0.290418118466899
BREAST,Foretinib,40,0.37354596622889313
BREAST,Fulvestrant,41,0.21689895470383277
BREAST,GDC0810,41,0.13501742160278749
BREAST,GNE-317,40,0.15722326454033772
BREAST,GSK1904529A,41,0.05801393728222998
BREAST,GSK2578215A,41,0.09006968641114985
BREAST,GSK2606414,37,0.08724513987671882
BREAST,GSK269962A,39,0.07692307692307694
BREAST,GSK2830371,37,0.038406827880512084
BREAST,GSK343,37,0.10739687055476528
BREAST,GSK591,41,-0.06689895470383277
BREAST,GW441756,38,0.09683772841667579
BREAST,Gefitinib,41,0.2961672473867596
BREAST,Gemcitabine,41,0.0888501742160279
BREAST,I-BET-762,37,-0.032716927453769556
BREAST,I-BRD9,41,0.25452961672473867
BREAST,IWP-2,37,0.22901849217638687
BREAST,Ibrutinib,35,0.19299719887955183
BREAST,Ipatasertib,41,0.23832752613240424
BREAST,Irinotecan,41,-0.04250871080139374
BREAST,JNK Inhibitor VIII,38,-0.015647226173541962
BREAST,JQ1,41,0.22926829268292684
BREAST,KRAS (G12C) Inhibitor-12,37,-0.08297771455666192
BREAST,KU-55933,40,-0.033395872420262665
BREAST,LCL161,37,0.10099573257467992
BREAST,LGK974,41,0.007142857142857145
BREAST,LJI308,40,-0.18686679174484055
BREAST,LY2109761,37,-0.12162162162162161
BREAST,Lapatinib,41,0.20296167247386765
BREAST,Leflunomide,37,-0.09080132764343289
BREAST,Lenalidomide,41,-0.0008710801393728224
BREAST,Lestaurtinib,41,0.35121951219512204
BREAST,Linsitinib,41,0.05731707317073171
BREAST,MG-132,42,0.17219026010858116
BREAST,MIRA-1,41,0.08501742160278748
BREAST,MK-1775,41,0.18675958188153313
BREAST,MK-2206,42,0.2554898306458148
BREAST,MK-8776,40,0.028142589118198877
BREAST,ML323,37,0.09672830725462303
BREAST,MN-64,37,-0.008297771455666191
BREAST,Methotrexate,37,0.31057373162636315
BREAST,Motesanib,41,0.053484320557491305
BREAST,NU7441,41,0.10452961672473869
BREAST,NVP-ADW742,41,-0.05000000000000001
BREAST,Navitoclax,42,-0.04270318450692813
