tissue,drug_name,n_cells,slope,sd_ratio
URINARY_TRACT,5-Fluorouracil,15,0.6043751301165983,0.5607257621120105
URINARY_TRACT,ABT737,15,-0.5378365285241642,0.4313217684093804
URINARY_TRACT,AGI-5198,15,0.14771861615231166,0.5299350187146106
URINARY_TRACT,AGI-6780,14,0.6377140965636365,0.49438735553053437
URINARY_TRACT,AMG-319,15,-0.355968903612688,0.5129805041606608
URINARY_TRACT,AZ960,14,0.4993403865731155,0.5389648342267549
URINARY_TRACT,AZD3759,15,0.6551575846341008,0.7866392474452218
URINARY_TRACT,AZD4547,15,0.5722568750776632,0.2273880489634963
URINARY_TRACT,AZD5582,14,0.27589943679568435,0.23852219946206987
URINARY_TRACT,AZD6738,15,0.7282468999028395,0.4973434225495384
URINARY_TRACT,AZD7762,15,0.24110598599736563,0.5953862660794459
URINARY_TRACT,AZD8055,13,0.10281843938176581,0.4137939880435481
URINARY_TRACT,AZD8186,15,0.3770426716640277,0.5474704749873909
URINARY_TRACT,Afatinib,15,0.6689950361703665,0.6966235014421347
URINARY_TRACT,Afuresertib,15,1.337210313080546,0.5615800184576071
URINARY_TRACT,Alisertib,15,-0.20868456266076266,0.5637094533005161
URINARY_TRACT,Alpelisib,15,1.1262180351904458,0.5378081658567536
URINARY_TRACT,Avagacestat,15,0.7205045142802741,0.42283573242434735
URINARY_TRACT,Axitinib,14,0.7202563676042717,0.3394704347692731
URINARY_TRACT,BI-2536,15,0.11206623797208164,0.46185388704418673
URINARY_TRACT,BIBR-1532,15,0.6621285360579464,0.5554220273613799
URINARY_TRACT,BMS-345541,14,0.3745151087125045,0.4697292775389364
URINARY_TRACT,Bleomycin (50 uM),14,0.76823459389975,0.3911861165651595
URINARY_TRACT,Bortezomib,15,-0.1853326803532338,0.3728537417756709
URINARY_TRACT,Bosutinib,15,1.0266645756486814,0.4036676944034058
URINARY_TRACT,CCT007093,15,0.5906878607719773,0.5153100656518369
URINARY_TRACT,CZC24832,14,-0.02463718336848706,0.6932649564116672
URINARY_TRACT,Camptothecin,15,0.5407389115075688,0.48118149384645403
URINARY_TRACT,Cediranib,15,0.35866713450136334,0.37076604155414294
URINARY_TRACT,Cisplatin,14,-0.16882493378476104,0.41889524645397413
URINARY_TRACT,Crizotinib,15,0.21990360169131246,0.6276808233807579
URINARY_TRACT,Cyclophosphamide,15,0.17997212466058404,0.7835627411191824
URINARY_TRACT,Cytarabine,14,0.16478964914236646,0.5281762389144025
URINARY_TRACT,Dabrafenib,15,1.0822615510510607,0.39238309971015944
URINARY_TRACT,Dactolisib,15,-0.2715940540188529,0.43387453755215644
URINARY_TRACT,Dasatinib,15,0.29856463663484134,0.7869467291199581
URINARY_TRACT,Dinaciclib,14,1.1930337920270644,0.3177936734494871
URINARY_TRACT,Docetaxel,15,0.6818612115573771,0.21111397474826973
URINARY_TRACT,Doramapimod,15,0.16127895413617235,0.7706217945793329
URINARY_TRACT,EHT-1864,15,0.38294391161014524,0.4244748267460972
URINARY_TRACT,EPZ004777,15,0.08202429512858,0.57173163582013
URINARY_TRACT,EPZ5676,15,-0.05121669827965212,0.6275311343640029
URINARY_TRACT,Entinostat,14,0.4183375613700791,0.4623231180935325
URINARY_TRACT,Entospletinib,14,0.32004073859286586,0.6970238320496329
URINARY_TRACT,Epirubicin,15,0.6074254955477214,0.5083643899097577
