stratum,n,expression,methylation,mutation,pathway,exp_minus_meth
Other,13,0.7003591558319159,0.5321014759171862,0.06490220891792628,0.6551940063586492,0.16825767991472973
Genome integrity,11,0.6932994027575805,0.5531335067022686,0.21600433445857717,0.6831200622604113,0.14016589605531193
ERK MAPK signaling,9,0.6906593851469914,0.5517170529009225,0.2324643936926585,0.6497228179803096,0.1389423322460689
Cell cycle,9,0.6895247953701523,0.5129343272887481,0.12774546263262498,0.6723400563208184,0.17659046808140422
DNA replication,13,0.6689455341547554,0.5505703006238372,0.12513293072679865,0.6689574963107184,0.11837523353091828
Chromatin histone methylation,5,0.6688218132835224,0.5176163927329298,0.06845043968240414,0.6704211413201423,0.1512054205505926
Protein stability and degradation,7,0.661118605862541,0.4736161711902951,0.1341848926754587,0.6221480526062735,0.18750243467224592
Chromatin other,6,0.6544267053701015,0.49898794427096305,0.17926971700556601,0.6034542326995157,0.15543876109913846
Mitosis,7,0.6424790180667312,0.47651599434925734,0.10928784475579166,0.59281354794741,0.1659630237174739
Other pathways,23,0.6388920965526669,0.47966496579873014,0.10122554797794865,0.6468940944475374,0.15922713075393674
RTK signaling,14,0.610086167994048,0.491143327630564,0.10294009542067253,0.577908969806861,0.11894284036348401
"Other, kinases",12,0.5869241520184916,0.499286004002985,0.13899994135843188,0.5607816711590295,0.08763814801550657
WNT signaling,7,0.5809469955022515,0.4412031813649064,0.09391261628458393,0.5504087407052366,0.1397438141373451
Apoptosis regulation,10,0.5585767056214526,0.42343037750330836,0.09448288952959502,0.5022695780615889,0.1351463281181442
PI3K/MTOR signaling,17,0.5134590891723959,0.40687253499507975,0.13299936558428785,0.49096893847546286,0.10658655417731616
EGFR signaling,6,0.4094276094276093,0.4263261546280413,0.19949177307667867,0.3857950574931706,-0.01689854520043199
