drug_name,n_cells_ceiling,ceiling_rho,bcgdrp,bandrp_gate,n_cells_model,frac_of_ceiling
Trametinib,202,0.7909911949512081,0.5943199966877188,-0.1263142459130987,97,0.7513610776974315
Dasatinib,452,0.7301876042971188,0.3979522677408892,-0.010236199301122,207,0.5450000320451338
Sepantronium bromide,409,0.6901288441907862,0.1981379192178096,0.1672351859101041,193,0.2871027937546026
BI-2536,434,0.6735809317805735,0.5297457744060713,0.4805822433526304,215,0.7864619519524074
Vorinostat,441,0.6628406607398204,0.4605709942384992,0.4548553213210343,209,0.6948442084473805
Dinaciclib,183,0.6617099934990172,0.4994598776407174,0.4406756954419304,85,0.7548017750187708
Axitinib,441,0.635655183631248,0.3903640755511759,0.4328030809393694,214,0.6141129429971444
Selumetinib,429,0.6224742439160668,0.3736587626268391,-0.0861714761179211,204,0.6002798770855209
SN-38,373,0.6171260580513056,0.3662210943399089,0.4394222343628346,181,0.5934299638818081
Entinostat,363,0.617049449796813,0.5067428100293523,0.4916003109178878,182,0.8212353324295429
AZD7762,461,0.6121219061990543,0.4505447750664959,0.4390351771655046,217,0.7360376593351071
Tanespimycin,416,0.6014599787270808,0.2100201879081496,0.0519736198952859,186,0.3491839778810098
MG-132,180,0.5914338919925511,0.150238802216649,0.2548171404523056,73,0.2540246750325583
MK-1775,415,0.5877510533564906,0.4016136560866005,0.3782766192443489,192,0.6833057189656935
Alisertib,413,0.5788768248683333,0.3954516637930236,0.3873944770534161,201,0.6831361125624089
Paclitaxel,314,0.5740914914775278,0.5529317158734335,0.5053216351735543,152,0.9631421543112653
Docetaxel,207,0.5737179487179487,0.5392426449754366,0.4913416449656297,97,0.9399089677784147
Daporinad,204,0.5684350996785511,0.3485626410531381,0.3196134738781837,178,0.6131969001390829
Dabrafenib,199,0.561091918536268,0.2766811982893137,0.1831830124501574,99,0.49311207156769893
Navitoclax,423,0.5565489165710182,0.3785519360068692,0.3166756264513875,199,0.6801772939190768
5-Fluorouracil,444,0.5521660749081346,0.3401301364730055,0.3087729324295964,201,0.6159924557654033
Piperlongumine,82,0.5520848073228665,0.4179978653811262,0.4593146558893972,209,0.7571261875653744
CHIR-99021,80,0.5500970551878812,0.3573967673847954,0.3227364825154438,203,0.6496976561031207
Foretinib,441,0.538933335571991,0.2125029272598652,0.2983432551497305,211,0.39430280747864216
ABT737,391,0.5350176426744352,0.3657952658650349,0.3358159893068636,175,0.6837069223297106
I-BET-762,422,0.5349329922269916,0.3257261339375005,0.3868840407294645,210,0.6089101600958704
Olaparib,455,0.5268793780198522,0.3178034818940852,0.3634139443046179,212,0.6031807186845539
Linsitinib,426,0.5154723003146372,0.2286238328068202,0.193573637926101,195,0.4435230228031096
Afatinib,389,0.5006949640082442,0.3543366002998127,-0.0135484934048337,190,0.7076895630489671
Pictilisib,452,0.4979796567766949,0.2113809639260235,0.1458161128726315,210,0.42447710674416445
Bortezomib,396,0.4932741630506513,0.3325787044401124,0.3629923429396552,200,0.6742268891264875
