tissue,depmap_id,cell_line_name,n_drugs,prec@1_bcgdrp,prec@1_drugmean,prec@1_random,ndcg@1_bcgdrp,ndcg@1_drugmean,prec@3_bcgdrp,prec@3_drugmean,prec@3_random,ndcg@3_bcgdrp,ndcg@3_drugmean,prec@5_bcgdrp,prec@5_drugmean,prec@5_random,ndcg@5_bcgdrp,ndcg@5_drugmean,prec@10_bcgdrp,prec@10_drugmean,prec@10_random,ndcg@10_bcgdrp,ndcg@10_drugmean
URINARY_TRACT,ACH-000018,T24,160,0.0,1.0,0.005,0.8522789992312004,1.0,0.3333333333333333,0.3333333333333333,0.02,0.9352930743583047,0.9649239556132183,0.8,0.8,0.028000000000000004,0.9539612854716029,0.9581216019999358,0.9,0.9,0.061,0.9622390934884275,0.9731572125871517
URINARY_TRACT,ACH-000142,CAL-29,154,1.0,0.0,0.0,1.0,0.9380769406242238,0.6666666666666666,0.6666666666666666,0.01833333333333333,0.9529277864327931,0.9725824922750786,0.6,0.6,0.027000000000000003,0.956068471565724,0.9510905800371203,0.9,0.9,0.061500000000000006,0.9833792835535453,0.9782690683661408
URINARY_TRACT,ACH-000242,RT4,154,0.0,0.0,0.015,0.9879492886528005,0.9879492886528005,0.6666666666666666,0.6666666666666666,0.008333333333333333,0.9894178017814775,0.9456888976572508,0.6,0.6,0.03,0.974983972548188,0.9509096412258494,0.8,0.9,0.0605,0.9593996026233417,0.9715934305949517
URINARY_TRACT,ACH-000384,SW 780,154,1.0,1.0,0.005,1.0,1.0,0.6666666666666666,1.0,0.011666666666666665,0.9659627192973157,0.9956710110293393,0.8,1.0,0.037000000000000005,0.9399981505895062,0.9965247441435776,0.9,0.8,0.064,0.9801387780324599,0.9557778703123117
URINARY_TRACT,ACH-000396,J82,154,1.0,1.0,0.01,1.0,1.0,0.3333333333333333,0.3333333333333333,0.025,0.8955238493227744,0.8985410469603197,0.4,0.4,0.029000000000000005,0.8582611641378692,0.8696203806737083,0.6,0.6,0.066,0.8852142099369406,0.9081353652285381
URINARY_TRACT,ACH-000473,RT-112,156,0.0,0.0,0.01,0.9825860566913008,0.9825860566913008,1.0,0.6666666666666666,0.013333333333333332,0.995896783429048,0.9677505971016461,0.8,0.8,0.038000000000000006,0.9919757226052621,0.9855281622781877,0.8,0.8,0.061,0.978178686470353,0.9506508085239703
URINARY_TRACT,ACH-000486,KU-19-19,154,1.0,0.0,0.005,1.0,0.9483873080487492,0.6666666666666666,0.6666666666666666,0.021666666666666664,0.9897258819458585,0.9692301131722102,0.6,0.6,0.034,0.9836817435500698,0.9757663618926838,0.9,0.8,0.06449999999999999,0.995095543144669,0.9732978676037569
URINARY_TRACT,ACH-000522,UM-UC-3,123,0.0,0.0,0.0,0.9516951599615276,0.9516951599615276,0.3333333333333333,0.6666666666666666,0.018333333333333333,0.8110582338453989,0.976268650217891,0.8,1.0,0.044000000000000004,0.8634654596922291,0.9900558455331238,0.9,0.9,0.0715,0.925341831328834,0.9515963389273203
URINARY_TRACT,ACH-000547,HT-1197,150,0.0,0.0,0.005,0.9897785883927304,0.9897785883927304,0.6666666666666666,1.0,0.011666666666666665,0.9249226282131446,0.9875493383038748,0.4,0.6,0.034,0.9015674513306456,0.9617481452961557,0.9,0.9,0.059000000000000004,0.9636033805498224,0.9788562757696231
URINARY_TRACT,ACH-000566,SW-1710,156,0.0,0.0,0.0,0.9732863925473901,0.9732863925473901,1.0,1.0,0.011666666666666665,0.9920094308214289,0.9920094308214289,0.8,1.0,0.037000000000000005,0.9099057492268228,0.993421265177017,0.7,0.7,0.059,0.9343147832388277,0.946008139253922
URINARY_TRACT,ACH-000720,TCCSUP,154,1.0,1.0,0.01,1.0,1.0,1.0,1.0,0.016666666666666666,1.0,0.9995778658254969,0.6,0.6,0.044000000000000004,0.9771809909630701,0.958244987743292,0.8,0.9,0.0665,0.9701992279418548,0.9800102629074807
URINARY_TRACT,ACH-000802,BFTC-905,156,1.0,0.0,0.0,1.0,0.9360909940269106,0.6666666666666666,0.3333333333333333,0.018333333333333333,0.9934029222920259,0.9651415532865988,0.8,0.8,0.025,0.9842038460804612,0.9716878064655126,0.8,0.8,0.066,0.9822494230390119,0.9720645131295764
URINARY_TRACT,ACH-000896,647-V,154,0.0,0.0,0.01,0.9304356716256921,0.9067594735178349,0.6666666666666666,0.6666666666666666,0.008333333333333333,0.9547812799530044,0.9479832347071901,0.6,0.6,0.029000000000000005,0.8838136072095935,0.8880112496470461,0.7,0.8,0.06849999999999999,0.9069533042142909,0.9355239686750642
URINARY_TRACT,ACH-000905,5637,153,0.0,0.0,0.0,0.8101957817829523,0.9154298021831481,0.6666666666666666,0.6666666666666666,0.025,0.9283629019604014,0.954087907255354,0.8,0.8,0.03,0.9548969567265414,0.975092066051219,0.7,0.8,0.06849999999999999,0.9191188041540972,0.961001603081131
URINARY_TRACT,ACH-000973,639-V,153,0.0,0.0,0.01,0.7852350476400165,0.884163278990919,0.6666666666666666,0.6666666666666666,0.013333333333333332,0.8934089438896826,0.9372761932820276,0.8,0.6,0.031,0.9384024122470491,0.9168810201376305,1.0,0.9,0.05800000000000001,0.9627598844207848,0.9500761824260572
BREAST,ACH-000019,MCF7,158,0.0,0.0,0.005,0.9436294738117114,0.9436294738117114,0.6666666666666666,1.0,0.02333333333333333,0.9373428148724338,0.9824059007680259,0.6,0.6,0.024000000000000004,0.9335125826444269,0.9676903169213371,0.8,0.9,0.073,0.9384034886832926,0.9749479742943598
BREAST,ACH-000111,HCC1187,157,1.0,1.0,0.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.026666666666666665,0.821488784322116,0.9359079228387388,0.4,0.6,0.040999999999999995,0.7950455164224601,0.9086321247648399,0.6,0.6,0.07550000000000001,0.8453214656345147,0.8983023791043939
BREAST,ACH-000117,EFM-192A,156,1.0,1.0,0.01,1.0,1.0,0.3333333333333333,0.6666666666666666,0.015,0.8172466263739345,0.9769200868265677,0.6,0.6,0.036000000000000004,0.8443461362947421,0.8985800592038758,0.6,0.6,0.0625,0.8858865356542085,0.9057954621249777
BREAST,ACH-000147,T-47D,158,1.0,1.0,0.005,1.0,1.0,0.6666666666666666,0.6666666666666666,0.016666666666666666,0.9802961752083983,0.9864357270168849,0.6,0.6,0.033,0.9485759520473639,0.9642962808464158,0.7,0.8,0.06699999999999999,0.9622957705915014,0.983855498835913
BREAST,ACH-000148,Hs 578T,159,0.0,0.0,0.01,0.9273187570033293,0.9273187570033293,0.6666666666666666,0.6666666666666666,0.016666666666666666,0.864889972757216,0.8945488380387364,0.8,0.8,0.02,0.8986266498278344,0.920674920229528,0.7,0.8,0.05050000000000001,0.9238841481157848,0.9429347981643296
BREAST,ACH-000196,HCC1599,162,0.0,0.0,0.005,0.8565207081089005,0.8565207081089005,0.3333333333333333,0.6666666666666666,0.03,0.8905365205593451,0.9286612988455802,0.6,0.8,0.035,0.9384249007809483,0.9566218252391396,0.8,0.8,0.068,0.9398438817187188,0.9519157437749199
BREAST,ACH-000212,CAL-120,158,0.0,0.0,0.015,0.919727208469478,0.919727208469478,0.6666666666666666,0.6666666666666666,0.021666666666666664,0.9824513426705811,0.9668693592728391,0.6,0.8,0.027000000000000003,0.9569721232172667,0.961934174322818,0.8,0.8,0.0705,0.9733093839050504,0.9686998291177017
BREAST,ACH-000223,HCC1937,158,1.0,1.0,0.01,1.0,1.0,1.0,1.0,0.015,1.0,0.9939416102773835,0.6,0.6,0.027000000000000003,0.8945784782838103,0.955086360832096,0.7,0.6,0.06149999999999999,0.920319433115417,0.9180228985404302
BREAST,ACH-000248,AU565,157,0.0,0.0,0.01,0.9698853290475661,0.9698853290475661,0.6666666666666666,0.6666666666666666,0.018333333333333333,0.9681035641322095,0.9618549764300955,0.8,0.6,0.04,0.9653387358526615,0.9607028310567041,0.9,0.9,0.0625,0.9846045369464778,0.9831648620238655
BREAST,ACH-000258,Du4475,156,0.0,0.0,0.01,0.8976375657152936,0.8976375657152936,0.3333333333333333,0.3333333333333333,0.01833333333333333,0.883622945575231,0.8703295424710896,0.4,0.4,0.025000000000000005,0.8473043741457955,0.8465651359383453,0.5,0.4,0.063,0.9231260593530893,0.8814967647033917
BREAST,ACH-000277,HCC1419,153,1.0,1.0,0.005,1.0,1.0,0.3333333333333333,0.6666666666666666,0.01833333333333333,0.8616027783153982,0.9840005554840284,0.6,0.8,0.037000000000000005,0.8723535937371805,0.9658300872006231,0.5,0.6,0.059000000000000004,0.8582163930070622,0.9135784009499246
BREAST,ACH-000288,BT-549,160,1.0,1.0,0.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.016666666666666666,0.9630801903187173,0.9630801903187173,0.6,0.6,0.032,0.9602395782665916,0.9117772500034923,0.8,0.8,0.06449999999999999,0.9519103222380141,0.9468477437087895
BREAST,ACH-000330,EFM-19,160,1.0,1.0,0.015,1.0,1.0,0.3333333333333333,0.6666666666666666,0.025,0.9495831500556574,0.9955077847009514,0.8,1.0,0.030000000000000006,0.9650909382258047,0.9988381207397744,0.9,0.9,0.07,0.9739070705376253,0.9845412414547811
BREAST,ACH-000349,HCC1500,152,1.0,1.0,0.005,1.0,1.0,0.6666666666666666,0.3333333333333333,0.02166666666666667,0.9648097283993299,0.9067277836221075,0.6,0.6,0.037000000000000005,0.9091588407219927,0.93025416844391,0.6,0.5,0.0695,0.8892425001929736,0.8750714581358822
BREAST,ACH-000352,HCC1428,158,0.0,0.0,0.005,0.8837591400861344,0.8837591400861344,1.0,1.0,0.019999999999999997,0.9648957682011803,0.9648957682011803,0.8,0.8,0.029000000000000005,0.9523331459461322,0.9692183296795531,0.6,0.6,0.06199999999999999,0.9175836025580052,0.9218976026007114
BREAST,ACH-000374,HCC1143,158,0.0,0.0,0.01,0.9943353356287297,0.9943353356287297,0.6666666666666666,0.6666666666666666,0.021666666666666664,0.9818560647957981,0.9919166344959531,0.6,0.4,0.033,0.899662496621248,0.9213201364608805,0.7,0.7,0.061500000000000006,0.9023960808138225,0.9274123282852228
BREAST,ACH-000536,BT-20,157,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.021666666666666664,0.9986007790068423,1.0,0.6,0.6,0.035,0.880712386388299,0.9600182676015762,0.9,0.9,0.071,0.9452851741735013,0.9627371333156399
BREAST,ACH-000554,UACC-893,162,0.0,0.0,0.005,0.9355532059908152,0.9355532059908152,0.6666666666666666,0.6666666666666666,0.021666666666666664,0.9861027176156077,0.9861027176156077,0.6,0.6,0.034,0.9646783537557568,0.8854021110491209,0.6,0.5,0.06449999999999999,0.8968553001622419,0.885770943137614
BREAST,ACH-000568,UACC-812,115,0.0,0.0,0.005,0.9937908527506035,0.9937908527506035,0.3333333333333333,0.6666666666666666,0.02,0.7978144388979729,0.9897436561880447,0.6,0.6,0.04100000000000001,0.8263330204840789,0.9463430387109624,0.8,0.8,0.08349999999999999,0.9147042710266529,0.9556066314478802
BREAST,ACH-000573,MDA-MB-436,160,1.0,1.0,0.01,1.0,1.0,0.6666666666666666,1.0,0.02,0.8006886492244801,0.9874337783132672,0.6,0.6,0.029000000000000005,0.8898554790597116,0.9348840587005031,0.8,0.8,0.064,0.9115226891007379,0.9317042614518725
BREAST,ACH-000621,MDA-MB-157,160,1.0,1.0,0.02,1.0,1.0,0.3333333333333333,0.3333333333333333,0.014999999999999998,0.9587981245463276,0.9584123420797029,0.8,0.8,0.027000000000000003,0.9878173176264691,0.9875300752141263,0.8,0.8,0.059000000000000004,0.9878473042913553,0.9568315647821776
BREAST,ACH-000624,HCC1806,157,0.0,0.0,0.0,0.8837870163047838,0.8837870163047838,0.3333333333333333,0.3333333333333333,0.016666666666666666,0.9439084103508624,0.922929954182837,0.6,0.6,0.043,0.9463238170738767,0.9497996805568466,0.9,0.8,0.064,0.976719490318727,0.9484749583872621
